Reservations,DayRentValue,CarPhotoURL,City,Region,Doors,Model,CarNo,MemberNo,Gear,BookingDiscount,WeekRentValue,Cylinders,Seats,MobileSalesMan,MemberName,WD,Passengers,MonthRentValue,CarKey,Milage,CarName
"[{'ReservationKey': 0, 'CarKey': 123941, 'CustomerName': 'Running Contract, 917', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '2/17/2024 7:12:00 PM', 'ToDateTime': '8/15/2024 7:12:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,Dubai,BUSINESS BAY,4,2023,44617,2369,-1,0.0,630.0,4,2,971525264314,AL MONSEF RENT A CAR L.L.C.,2,5,2400.0,123941,181,CITROEN C3
"[{'ReservationKey': 0, 'CarKey': 123954, 'CustomerName': 'Running Contract, 1407', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/25/2024 7:41:00 PM', 'ToDateTime': '8/4/2024 7:41:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,Dubai,BUSINESS BAY,4,2024,17255,2369,-1,0.0,630.0,4,2,971525264314,AL MONSEF RENT A CAR L.L.C.,2,5,2400.0,123954,10143,CITROEN C4
"[{'ReservationKey': 0, 'CarKey': 123953, 'CustomerName': 'Running Contract, 1400', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/25/2024 10:32:00 AM', 'ToDateTime': '8/5/2024 10:32:00 AM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,Dubai,BUSINESS BAY,4,2024,17419,2369,-1,0.0,630.0,4,2,971525264314,AL MONSEF RENT A CAR L.L.C.,2,5,2400.0,123953,10296,CITROEN C4
"[{'ReservationKey': 0, 'CarKey': 123949, 'CustomerName': 'Running Contract, 1403', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/26/2024 10:57:00 AM', 'ToDateTime': '8/25/2024 10:57:00 AM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,Dubai,BUSINESS BAY,4,2024,18460,2369,-1,0.0,630.0,4,2,971525264314,AL MONSEF RENT A CAR L.L.C.,2,5,2400.0,123949,24855,CITROEN C4
"[{'ReservationKey': 0, 'CarKey': 127788, 'CustomerName': 'Running Contract, 1399', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/24/2024 10:19:00 AM', 'ToDateTime': '8/4/2024 10:19:00 AM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,Dubai,BUSINESS BAY,4,2024,18644,2369,-1,0.0,630.0,4,2,971525264314,AL MONSEF RENT A CAR L.L.C.,2,5,2400.0,127788,8471,CITROEN C4
"[{'ReservationKey': 0, 'CarKey': 123951, 'CustomerName': 'Running Contract, 1411', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/30/2024 12:57:00 PM', 'ToDateTime': '8/29/2024 12:57:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,Dubai,BUSINESS BAY,4,2024,19548,2369,-1,0.0,630.0,4,2,971525264314,AL MONSEF RENT A CAR L.L.C.,2,5,2400.0,123951,14556,CITROEN C4
"[{'ReservationKey': 0, 'CarKey': 123950, 'CustomerName': 'Running Contract, 1246', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '5/31/2024 1:42:00 PM', 'ToDateTime': '8/29/2024 1:42:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,Dubai,BUSINESS BAY,4,2024,21620,2369,-1,0.0,630.0,4,2,971525264314,AL MONSEF RENT A CAR L.L.C.,2,5,2400.0,123950,8395,CITROEN C4
"[{'ReservationKey': 0, 'CarKey': 123946, 'CustomerName': 'Running Contract, 1303', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '6/17/2024 6:27:00 PM', 'ToDateTime': '7/17/2024 6:27:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,Dubai,BUSINESS BAY,4,2024,22568,2369,-1,0.0,630.0,4,2,971525264314,AL MONSEF RENT A CAR L.L.C.,2,5,2400.0,123946,11171,CITROEN C4
"[{'ReservationKey': 0, 'CarKey': 127792, 'CustomerName': 'Running Contract, 1332', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '6/28/2024 3:03:00 PM', 'ToDateTime': '7/28/2024 3:03:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,Dubai,BUSINESS BAY,4,2024,24829,2369,-1,0.0,630.0,4,2,971525264314,AL MONSEF RENT A CAR L.L.C.,2,5,2400.0,127792,8293,CITROEN C4
"[{'ReservationKey': 0, 'CarKey': 123948, 'CustomerName': 'Running Contract, 1352', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/6/2024 5:32:00 PM', 'ToDateTime': '8/5/2024 5:32:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,Dubai,BUSINESS BAY,4,2024,25569,2369,-1,0.0,630.0,4,2,971525264314,AL MONSEF RENT A CAR L.L.C.,2,5,2400.0,123948,12387,CITROEN C4
"[{'ReservationKey': 0, 'CarKey': 123947, 'CustomerName': 'Running Contract, 1297', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '6/16/2024 11:05:00 AM', 'ToDateTime': '8/19/2024 11:05:00 AM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,Dubai,BUSINESS BAY,4,2024,28302,2369,-1,0.0,630.0,4,2,971525264314,AL MONSEF RENT A CAR L.L.C.,2,5,2400.0,123947,4865,CITROEN C4
"[{'ReservationKey': 0, 'CarKey': 127780, 'CustomerName': 'Running Contract, 1333', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '6/30/2024 12:00:00 PM', 'ToDateTime': '7/30/2024 12:00:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,Dubai,BUSINESS BAY,4,2024,28853,2369,-1,0.0,630.0,4,2,971525264314,AL MONSEF RENT A CAR L.L.C.,2,5,2400.0,127780,7762,CITROEN C4
"[{'ReservationKey': 0, 'CarKey': 127771, 'CustomerName': 'Running Contract, 1410', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/30/2024 2:47:00 PM', 'ToDateTime': '8/14/2024 2:47:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,Dubai,BUSINESS BAY,4,2023,30156,2369,-1,0.0,630.0,4,2,971525264314,AL MONSEF RENT A CAR L.L.C.,2,5,2400.0,127771,16026,CITROEN C4
