Reservations,DayRentValue,CarPhotoURL,City,Region,Doors,Model,CarNo,MemberNo,Gear,BookingDiscount,WeekRentValue,Cylinders,Seats,MobileSalesMan,MemberName,WD,Passengers,MonthRentValue,CarKey,Milage,CarName
,100.0,,DUBAI,UAE,4,2021,19112,2826,-1,-1.0,630.0,4,2,971561962872,AUTOBOTS RENT A CAR L.L.C.,2,5,2400.0,92753,63112,HYUNDAI SONATA
"[{'ReservationKey': 0, 'CarKey': 95022, 'CustomerName': 'Running Contract, 1355', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/4/2024 10:00:00 PM', 'ToDateTime': '8/3/2024 10:00:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,DUBAI,UAE,4,2023,15979,2826,-1,-1.0,630.0,4,2,971561962872,AUTOBOTS RENT A CAR L.L.C.,2,5,2400.0,95022,25512,JAC S3
"[{'ReservationKey': 0, 'CarKey': 95023, 'CustomerName': 'Running Contract, 1265', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '4/11/2024 4:10:00 PM', 'ToDateTime': '5/11/2024 4:10:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,DUBAI,UAE,4,2023,27291,2826,-1,-1.0,630.0,4,2,971561962872,AUTOBOTS RENT A CAR L.L.C.,2,5,2400.0,95023,24865,JAC S3
,100.0,,DUBAI,UAE,4,2023,42151,2826,-1,-1.0,630.0,4,2,971561962872,AUTOBOTS RENT A CAR L.L.C.,2,5,2400.0,95021,21342,JAC S3
"[{'ReservationKey': 0, 'CarKey': 95025, 'CustomerName': 'Running Contract, 1371', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/22/2024 9:20:00 AM', 'ToDateTime': '7/23/2024 9:20:00 AM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,DUBAI,UAE,4,2023,46510,2826,-1,-1.0,630.0,4,2,971561962872,AUTOBOTS RENT A CAR L.L.C.,2,5,2400.0,95025,19813,JAC S3
"[{'ReservationKey': 0, 'CarKey': 95024, 'CustomerName': 'Running Contract, 1240', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '3/30/2024 2:10:00 PM', 'ToDateTime': '4/29/2024 2:10:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,DUBAI,UAE,4,2023,99195,2826,-1,-1.0,630.0,4,2,971561962872,AUTOBOTS RENT A CAR L.L.C.,2,5,2400.0,95024,19119,JAC S3
,250.0,,DUBAI,UAE,4,2024,56081,2826,-1,-1.0,1400.0,4,2,971561962872,AUTOBOTS RENT A CAR L.L.C.,2,5,4000.0,128789,4563,KIA CARENS
,100.0,,DUBAI,UAE,4,2023,19113,2826,-1,-1.0,630.0,4,2,971561962872,AUTOBOTS RENT A CAR L.L.C.,2,5,2400.0,92754,17437,KIA CERATO
"[{'ReservationKey': 0, 'CarKey': 92755, 'CustomerName': 'Running Contract, 1280', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '4/18/2024 10:10:00 PM', 'ToDateTime': '5/18/2024 10:10:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,DUBAI,UAE,4,2023,19114,2826,-1,-1.0,630.0,4,2,971561962872,AUTOBOTS RENT A CAR L.L.C.,2,5,2400.0,92755,12563,KIA K5
,100.0,,DUBAI,UAE,4,2023,97870,2826,-1,-1.0,0.0,4,2,971561962872,AUTOBOTS RENT A CAR L.L.C.,2,5,0.0,78015,22131,KIA K5
"[{'ReservationKey': 0, 'CarKey': 116728, 'CustomerName': 'Running Contract, 1246', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '4/2/2024 12:30:00 PM', 'ToDateTime': '7/31/2024 12:30:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",120.0,,DUBAI,UAE,4,2024,13234,2826,-1,-1.0,770.0,4,2,971561962872,AUTOBOTS RENT A CAR L.L.C.,2,5,2100.0,116728,8121,KIA PEGAS
"[{'ReservationKey': 0, 'CarKey': 116727, 'CustomerName': 'Running Contract, 1372', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/22/2024 10:20:00 AM', 'ToDateTime': '8/21/2024 10:20:00 AM', 'DayRentValue': 0.0, 'Documents': None}]",120.0,,DUBAI,UAE,4,2024,13980,2826,-1,-1.0,770.0,4,2,971561962872,AUTOBOTS RENT A CAR L.L.C.,2,5,2100.0,116727,9953,KIA PEGAS
"[{'ReservationKey': 0, 'CarKey': 116725, 'CustomerName': 'Running Contract, 1357', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/5/2024 3:50:00 PM', 'ToDateTime': '8/4/2024 3:50:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",120.0,,DUBAI,UAE,4,2024,21354,2826,-1,-1.0,770.0,4,2,971561962872,AUTOBOTS RENT A CAR L.L.C.,2,5,2100.0,116725,9601,KIA PEGAS
"[{'ReservationKey': 0, 'CarKey': 116726, 'CustomerName': 'Running Contract, 1268', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '4/11/2024 10:35:00 PM', 'ToDateTime': '5/11/2024 10:35:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",120.0,,DUBAI,UAE,4,2024,26501,2826,-1,-1.0,770.0,4,2,971561962872,AUTOBOTS RENT A CAR L.L.C.,2,5,2100.0,116726,4019,KIA PEGAS
"[{'ReservationKey': 0, 'CarKey': 116724, 'CustomerName': 'Running Contract, 1318', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '5/29/2024 8:15:00 AM', 'ToDateTime': '6/28/2024 8:15:00 AM', 'DayRentValue': 0.0, 'Documents': None}]",120.0,,DUBAI,UAE,4,2024,30763,2826,-1,-1.0,770.0,4,2,971561962872,AUTOBOTS RENT A CAR L.L.C.,2,5,2100.0,116724,7005,KIA PEGAS
"[{'ReservationKey': 0, 'CarKey': 98051, 'CustomerName': 'Running Contract, 1235', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '3/26/2024 11:15:00 PM', 'ToDateTime': '4/25/2024 11:15:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,DUBAI,UAE,4,2023,72569,2826,-1,-1.0,630.0,4,2,971561962872,AUTOBOTS RENT A CAR L.L.C.,2,5,2400.0,98051,11449,KIA PEGAS
