Reservations,DayRentValue,CarPhotoURL,City,Region,Doors,Model,CarNo,MemberNo,Gear,BookingDiscount,WeekRentValue,Cylinders,Seats,MobileSalesMan,MemberName,WD,Passengers,MonthRentValue,CarKey,Milage,CarName
,100.0,,deira,al khabasi,4,2021,79565,2047,-1,0.0,630.0,4,2,971522257090,AVENTADOR 1 CAR RENTAL,2,5,2400.0,70517,45332,AUDI Q5
,100.0,,deira,al khabasi,4,2019,15325,2047,-1,0.0,630.0,4,2,971522257090,AVENTADOR 1 CAR RENTAL,2,5,2400.0,22119,119414,AUDI Q8
,100.0,,deira,al khabasi,4,2020,40062,2047,-1,0.0,630.0,4,2,971522257090,AVENTADOR 1 CAR RENTAL,2,5,2400.0,22104,143774,AUDI Q8
,100.0,,deira,al khabasi,4,2022,62405,2047,-1,0.0,630.0,4,2,971522257090,AVENTADOR 1 CAR RENTAL,2,5,2400.0,68299,35800,BENTLEY BENTAYGA
,100.0,,deira,al khabasi,4,2021,94948,2047,-1,0.0,630.0,4,2,971522257090,AVENTADOR 1 CAR RENTAL,2,5,2400.0,95178,19434,BENTLEY CONTINENTAL
"[{'ReservationKey': 0, 'CarKey': 98453, 'CustomerName': 'Running Contract, 14297', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '2/2/2024 11:39:33 PM', 'ToDateTime': '2/2/2024 11:39:33 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,deira,al khabasi,4,2020,52558,2047,-1,0.0,630.0,4,2,971522257090,AVENTADOR 1 CAR RENTAL,2,5,2400.0,98453,89920,BENTLEY GT
,100.0,,deira,al khabasi,4,2021,82646,2047,-1,0.0,630.0,4,2,971522257090,AVENTADOR 1 CAR RENTAL,2,5,2400.0,70518,0,BMW 330-I
"[{'ReservationKey': 0, 'CarKey': 126277, 'CustomerName': 'Running Contract, 15641', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '6/27/2024 11:30:00 PM', 'ToDateTime': '7/1/2024 11:30:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,deira,al khabasi,4,2024,12724,2047,-1,0.0,630.0,4,2,971522257090,AVENTADOR 1 CAR RENTAL,2,5,2400.0,126277,36575,BMW 740
,100.0,,deira,al khabasi,4,2021,19850,2047,-1,0.0,630.0,4,2,971522257090,AVENTADOR 1 CAR RENTAL,2,5,2400.0,22151,72413,BMW 740
,100.0,,deira,al khabasi,4,2020,26738,2047,-1,0.0,630.0,4,2,971522257090,AVENTADOR 1 CAR RENTAL,2,5,2400.0,22078,99521,BMW 740
,100.0,,deira,al khabasi,4,2024,93865,2047,-1,0.0,630.0,4,2,971522257090,AVENTADOR 1 CAR RENTAL,2,5,2400.0,134781,12754,BMW 740
,100.0,,deira,al khabasi,4,2020,79604,2047,-1,0.0,630.0,4,2,971522257090,AVENTADOR 1 CAR RENTAL,2,5,2400.0,70516,74754,BMW 740-XI
"[{'ReservationKey': 0, 'CarKey': 83402, 'CustomerName': 'Running Contract, 13159', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '11/1/2023 7:58:52 PM', 'ToDateTime': '11/1/2023 7:58:52 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,deira,al khabasi,4,2021,39532,2047,-1,0.0,630.0,4,2,971522257090,AVENTADOR 1 CAR RENTAL,2,5,2400.0,83402,36042,BMW X3
,100.0,,deira,al khabasi,4,2020,69041,2047,-1,0.0,630.0,4,2,971522257090,AVENTADOR 1 CAR RENTAL,2,5,2400.0,119946,17769,BMW X7
"[{'ReservationKey': 0, 'CarKey': 138362, 'CustomerName': 'Running Contract, 15844', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/31/2024 5:10:00 PM', 'ToDateTime': '8/3/2024 5:10:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,deira,al khabasi,4,2024,4907,2047,-1,0.0,630.0,4,2,971522257090,AVENTADOR 1 CAR RENTAL,2,5,2400.0,138362,7304,BMW-XM
"[{'ReservationKey': 0, 'CarKey': 112678, 'CustomerName': 'Running Contract, 15837', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/31/2024 12:10:00 PM', 'ToDateTime': '8/8/2024 12:10:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,deira,al khabasi,4,2021,16485,2047,-1,0.0,630.0,4,2,971522257090,AVENTADOR 1 CAR RENTAL,2,5,2400.0,112678,40067,BMW430 CONV
,100.0,,deira,al khabasi,4,2019,38659,2047,-1,0.0,630.0,4,2,971522257090,AVENTADOR 1 CAR RENTAL,2,5,2400.0,22064,146757,C300-CONVE
,100.0,,deira,al khabasi,4,2019,88175,2047,-1,0.0,630.0,4,2,971522257090,AVENTADOR 1 CAR RENTAL,2,5,2400.0,22066,145631,C300-CONVE
"[{'ReservationKey': 0, 'CarKey': 22141, 'CustomerName': 'Running Contract, 14791', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '3/5/2024 11:43:26 AM', 'ToDateTime': '3/5/2024 11:43:26 AM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,deira,al khabasi,4,2021,24499,2047,-1,0.0,630.0,4,2,971522257090,AVENTADOR 1 CAR RENTAL,2,5,2400.0,22141,50772,CADILLAC ESCALADE
,100.0,,deira,al khabasi,4,2021,87205,2047,-1,0.0,630.0,4,2,971522257090,AVENTADOR 1 CAR RENTAL,2,5,2400.0,98449,104232,CADILLAC ESCALLADE
"[{'ReservationKey': 0, 'CarKey': 78532, 'CustomerName': 'Running Contract, 16295', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '8/1/2024 5:05:00 PM', 'ToDateTime': '8/4/2024 5:05:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,deira,al khabasi,4,2020,43328,2047,-1,0.0,630.0,4,2,971522257090,AVENTADOR 1 CAR RENTAL,2,5,2400.0,78532,22645,CHEVROLET MALIBU
"[{'ReservationKey': 0, 'CarKey': 22156, 'CustomerName': 'Running Contract, 16304', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '8/2/2024 10:27:21 AM', 'ToDateTime': '8/9/2024 10:27:21 AM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,deira,al khabasi,4,2022,52192,2047,-1,0.0,630.0,4,2,971522257090,AVENTADOR 1 CAR RENTAL,2,5,2400.0,22156,58416,CHEVROLET TAHOE
,100.0,,deira,al khabasi,4,2024,9448,2047,-1,0.0,630.0,4,2,971522257090,AVENTADOR 1 CAR RENTAL,2,5,2400.0,127685,56715,CULLINAN
"[{'ReservationKey': 0, 'CarKey': 126275, 'CustomerName': 'Running Contract, 16274', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/31/2024 9:38:00 PM', 'ToDateTime': '8/3/2024 9:38:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,deira,al khabasi,4,2022,13764,2047,-1,0.0,630.0,4,2,971522257090,AVENTADOR 1 CAR RENTAL,2,5,2400.0,126275,102564,DEFENDER
,100.0,,deira,al khabasi,4,2020,79896,2047,-1,0.0,630.0,4,2,971522257090,AVENTADOR 1 CAR RENTAL,2,5,2400.0,70513,97162,DODGE CHARGER
,100.0,,deira,al khabasi,4,2022,46217,2047,-1,0.0,630.0,4,2,971522257090,AVENTADOR 1 CAR RENTAL,2,5,2400.0,128259,33792,FERRARI F8 TRIBUTO
"[{'ReservationKey': 0, 'CarKey': 98251, 'CustomerName': 'Running Contract, 12698', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '8/30/2023 3:39:00 PM', 'ToDateTime': '8/30/2023 3:39:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,deira,al khabasi,4,2018,15793,2047,-1,0.0,630.0,4,2,971522257090,AVENTADOR 1 CAR RENTAL,2,5,2400.0,98251,144084,FERRARI-488
"[{'ReservationKey': 0, 'CarKey': 22153, 'CustomerName': 'Running Contract, 15858', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/29/2024 10:47:01 AM', 'ToDateTime': '8/3/2024 10:47:01 AM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,deira,al khabasi,4,2021,23719,2047,-1,0.0,630.0,4,2,971522257090,AVENTADOR 1 CAR RENTAL,2,5,2400.0,22153,44464,FIAT 500
"[{'ReservationKey': 0, 'CarKey': 22166, 'CustomerName': 'Running Contract, 16278', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '8/1/2024 9:30:00 AM', 'ToDateTime': '8/2/2024 9:30:00 AM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,deira,al khabasi,4,2020,85547,2047,-1,0.0,630.0,4,2,971522257090,AVENTADOR 1 CAR RENTAL,2,5,2400.0,22166,147007,FORD FUSION
