Reservations,DayRentValue,CarPhotoURL,City,Region,Doors,Model,CarNo,MemberNo,Gear,BookingDiscount,WeekRentValue,Cylinders,Seats,MobileSalesMan,MemberName,WD,Passengers,MonthRentValue,CarKey,Milage,CarName
,100.0,,DUBAI,DUBAI,4,2018,27248,2892,-1,-1.0,0.0,4,2,971527162332,DREAMZ RENT A CAR L.L.C.,2,5,0.0,1254,130015,AUDI A3
"[{'ReservationKey': 0, 'CarKey': 128641, 'CustomerName': 'Running Contract, 1000049', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/18/2024 12:24:07 PM', 'ToDateTime': '8/17/2024 12:24:07 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,DUBAI,DUBAI,4,2024,83543,2892,-1,-1.0,630.0,4,2,971527162332,DREAMZ RENT A CAR L.L.C.,2,5,2400.0,128641,11910,AUDI A3
,100.0,,DUBAI,DUBAI,4,2020,91971,2892,-1,-1.0,0.0,4,2,971527162332,DREAMZ RENT A CAR L.L.C.,2,5,0.0,1224,110762,AUDI A3
,100.0,,DUBAI,DUBAI,4,2022,85313,2892,-1,-1.0,630.0,4,2,971527162332,DREAMZ RENT A CAR L.L.C.,2,5,2400.0,92475,26602,AUDI A5
,100.0,,DUBAI,DUBAI,4,2018,27247,2892,-1,-1.0,0.0,4,2,971527162332,DREAMZ RENT A CAR L.L.C.,2,5,0.0,1238,134204,AUDI A6
"[{'ReservationKey': 0, 'CarKey': 69407, 'CustomerName': 'Running Contract, 12175', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/29/2024 12:46:00 PM', 'ToDateTime': '8/27/2024 12:46:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,DUBAI,DUBAI,4,2023,46537,2892,-1,-1.0,4000.0,4,2,971527162332,DREAMZ RENT A CAR L.L.C.,2,5,15000.0,69407,30698,AUDI A6
"[{'ReservationKey': 0, 'CarKey': 69408, 'CustomerName': 'Running Contract, 1000050', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/20/2024 1:25:27 PM', 'ToDateTime': '8/19/2024 1:25:27 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,DUBAI,DUBAI,4,2023,46538,2892,-1,-1.0,4000.0,4,2,971527162332,DREAMZ RENT A CAR L.L.C.,2,5,15000.0,69408,35904,AUDI A6
"[{'ReservationKey': 0, 'CarKey': 1291, 'CustomerName': 'Running Contract, 11909', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '5/3/2024 5:23:00 PM', 'ToDateTime': '5/3/2024 5:23:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,DUBAI,DUBAI,4,2018,82749,2892,-1,-1.0,0.0,4,2,971527162332,DREAMZ RENT A CAR L.L.C.,2,5,0.0,1291,160800,AUDI A6
,100.0,,DUBAI,DUBAI,4,2018,82751,2892,-1,-1.0,0.0,4,2,971527162332,DREAMZ RENT A CAR L.L.C.,2,5,0.0,1288,145375,AUDI A6
"[{'ReservationKey': 0, 'CarKey': 118550, 'CustomerName': 'Running Contract, 12136', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/15/2024 2:11:00 PM', 'ToDateTime': '8/14/2024 2:11:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,DUBAI,DUBAI,4,2024,40358,2892,-1,-1.0,630.0,4,2,971527162332,DREAMZ RENT A CAR L.L.C.,2,5,2400.0,118550,12230,AUDI Q5
"[{'ReservationKey': 0, 'CarKey': 1323, 'CustomerName': 'Running Contract, 12162', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/22/2024 5:00:00 PM', 'ToDateTime': '7/29/2024 5:00:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,DUBAI,DUBAI,4,2020,24859,2892,-1,-1.0,0.0,4,2,971527162332,DREAMZ RENT A CAR L.L.C.,2,5,0.0,1323,110307,BMW 520 i
,699.0,,DUBAI,DUBAI,4,2024,11834,2892,-1,-1.0,3999.0,4,2,971527162332,DREAMZ RENT A CAR L.L.C.,2,5,13999.0,115760,16565,BMW 520I
"[{'ReservationKey': 0, 'CarKey': 109324, 'CustomerName': 'Running Contract, 12130', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/12/2024 7:20:52 PM', 'ToDateTime': '7/24/2024 7:20:52 PM', 'DayRentValue': 0.0, 'Documents': None}]",1500.0,,DUBAI,DUBAI,4,2023,45778,2892,-1,-1.0,0.0,4,2,971527162332,DREAMZ RENT A CAR L.L.C.,2,5,2400.0,109324,17093,BMW 735I
