Reservations,DayRentValue,CarPhotoURL,City,Region,Doors,Model,CarNo,MemberNo,Gear,BookingDiscount,WeekRentValue,Cylinders,Seats,MobileSalesMan,MemberName,WD,Passengers,MonthRentValue,CarKey,Milage,CarName
"[{'ReservationKey': 0, 'CarKey': 63111, 'CustomerName': 'Running Contract, 1145', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '5/11/2022 1:00:00 PM', 'ToDateTime': '5/12/2022 1:00:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,Dubai,Business Bay,4,2022,791,2278,-1,0.0,630.0,4,2,971213456789,MASTERKEY RENT A CAR L.L.C.,2,5,2400.0,63111,18120,BENTLEY
,100.0,,Dubai,Business Bay,4,2022,17545,2278,-1,0.0,630.0,4,2,971213456789,MASTERKEY RENT A CAR L.L.C.,2,5,2400.0,62095,33451,CULINAN
,100.0,,Dubai,Business Bay,4,2022,17545,2278,-1,0.0,630.0,4,2,971213456789,MASTERKEY RENT A CAR L.L.C.,2,5,2400.0,63220,0,CULINAN
,100.0,,Dubai,Business Bay,4,2022,34435,2278,-1,0.0,630.0,4,2,971213456789,MASTERKEY RENT A CAR L.L.C.,2,5,2400.0,126253,33839,AUDI A8
,100.0,,Dubai,Business Bay,4,2022,34435,2278,-1,0.0,630.0,4,2,971213456789,MASTERKEY RENT A CAR L.L.C.,2,5,2400.0,126267,33939,AUDI A8
"[{'ReservationKey': 0, 'CarKey': 122007, 'CustomerName': 'Running Contract, 25514', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '6/24/2024 10:38:00 PM', 'ToDateTime': '6/25/2024 10:38:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,Dubai,Business Bay,4,2023,7127,2278,-1,0.0,630.0,4,2,971213456789,MASTERKEY RENT A CAR L.L.C.,2,5,2400.0,122007,25124,MERCEDES C200 
"[{'ReservationKey': 0, 'CarKey': 122038, 'CustomerName': 'Running Contract, 25476', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/18/2024 9:00:00 PM', 'ToDateTime': '7/19/2024 9:00:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,Dubai,Business Bay,4,2023,7127,2278,-1,0.0,630.0,4,2,971213456789,MASTERKEY RENT A CAR L.L.C.,2,5,2400.0,122038,26261,MERCEDES C200 
,100.0,,Dubai,Business Bay,4,2022,791,2278,-1,0.0,630.0,4,2,971213456789,MASTERKEY RENT A CAR L.L.C.,2,5,2400.0,63219,0,BENTLEY
"[{'ReservationKey': 0, 'CarKey': 141676, 'CustomerName': 'Running Contract, 26568', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '8/1/2024 2:00:00 PM', 'ToDateTime': '8/2/2024 2:00:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,Dubai,Business Bay,4,2023,5512,2278,-1,0.0,630.0,4,2,971213456789,MASTERKEY RENT A CAR L.L.C.,2,5,2400.0,141676,1610,MCLAREN ARTURA
"[{'ReservationKey': 0, 'CarKey': 141695, 'CustomerName': 'Running Contract, 25995', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/12/2024 6:03:00 PM', 'ToDateTime': '7/31/2024 6:03:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,Dubai,Business Bay,4,2023,5512,2278,-1,0.0,630.0,4,2,971213456789,MASTERKEY RENT A CAR L.L.C.,2,5,2400.0,141695,1590,MCLAREN ARTURA
"[{'ReservationKey': 0, 'CarKey': 138664, 'CustomerName': 'Running Contract, 26572', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '8/1/2024 12:52:00 PM', 'ToDateTime': '8/2/2024 12:52:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,Dubai,Business Bay,4,2023,59111,2278,-1,0.0,630.0,4,2,971213456789,MASTERKEY RENT A CAR L.L.C.,2,5,2400.0,138664,19543,MERCEDES 200
,100.0,,Dubai,Business Bay,4,2023,59111,2278,-1,0.0,630.0,4,2,971213456789,MASTERKEY RENT A CAR L.L.C.,2,5,2400.0,138679,14237,MERCEDES 200
