DayRentValue,WD,MemberName,WeekRentValue,MonthRentValue,BookingDiscount,Doors,Seats,CarName,Gear,Region,Milage,CarKey,City,CarNo,MemberNo,Passengers,MobileSalesMan,Model,CarPhotoURL,Reservations,Cylinders
100.0,2,ROTANA STAR RENT A CAR,630.0,2400.0,0.0,4,2,AUDI RSQ3,-1,ALBARSHA 1,72405,8687,Dubai,99443,2114,5,971504947393,2021,,,4
100.0,2,ROTANA STAR RENT A CAR,630.0,2400.0,0.0,4,2,LAMBORGHINI URUS MY2,-1,ALBARSHA 1,80966,9246,Dubai,82020,2114,5,971504947393,2022,,,4
100.0,2,ROTANA STAR RENT A CAR,630.0,2400.0,0.0,4,2,MERCEDES G63,-1,ALBARSHA 1,36296,100274,Dubai,4813,2114,5,971504947393,2023,,"[{'ReservationKey': 0, 'CarKey': 100274, 'CustomerName': 'Running Contract, 72706', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '8/1/2024 4:10:00 PM', 'ToDateTime': '8/2/2024 4:10:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,ROTANA STAR RENT A CAR,630.0,2400.0,0.0,4,2,MERCEDES G63,-1,ALBARSHA 1,70981,100275,Dubai,4813,2114,5,971504947393,2023,,"[{'ReservationKey': 0, 'CarKey': 100275, 'CustomerName': 'Running Contract, 72467', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/29/2024 3:20:00 PM', 'ToDateTime': '7/30/2024 3:20:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,ROTANA STAR RENT A CAR,630.0,2400.0,0.0,4,2,AUDI Q3,-1,ALBARSHA 1,70368,9166,Dubai,92020,2114,5,971504947393,2022,,"[{'ReservationKey': 0, 'CarKey': 9166, 'CustomerName': 'Running Contract, 68587', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '5/15/2024 3:40:00 PM', 'ToDateTime': '6/14/2024 3:40:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,ROTANA STAR RENT A CAR,630.0,2400.0,0.0,4,2,CADILLAC ESCALADE,-1,ALBARSHA 1,73177,67960,Dubai,63030,2114,5,971504947393,2022,,,4
100.0,2,ROTANA STAR RENT A CAR,630.0,2400.0,0.0,4,2,CHEVROLET CORVETTE,-1,ALBARSHA 1,47942,67970,Dubai,63030,2114,5,971504947393,2022,,"[{'ReservationKey': 0, 'CarKey': 67970, 'CustomerName': 'Running Contract, 72784', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '8/1/2024 7:55:00 PM', 'ToDateTime': '8/2/2024 7:55:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,ROTANA STAR RENT A CAR,630.0,2400.0,0.0,4,2,LAMBORGHINI URUS MY,-1,ALBARSHA 1,62896,67479,Dubai,90905,2114,5,971504947393,2022,,"[{'ReservationKey': 0, 'CarKey': 67479, 'CustomerName': 'Running Contract, 72627', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/31/2024 8:10:00 PM', 'ToDateTime': '8/1/2024 8:10:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,ROTANA STAR RENT A CAR,630.0,2400.0,0.0,4,2,LAMBORGHINI URUS MY2,-1,ALBARSHA 1,66977,67482,Dubai,50509,2114,5,971504947393,2022,,"[{'ReservationKey': 0, 'CarKey': 67482, 'CustomerName': 'Running Contract, 70914', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '6/22/2024 2:00:00 PM', 'ToDateTime': '6/23/2024 2:00:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,ROTANA STAR RENT A CAR,630.0,2400.0,0.0,4,2,LAMBORGHINI URUS MY2,-1,ALBARSHA 1,62307,67483,Dubai,90905,2114,5,971504947393,2022,,,4
100.0,2,ROTANA STAR RENT A CAR,630.0,2400.0,0.0,4,2,LAMBORGHINI URUS MY2,-1,ALBARSHA 1,67611,67484,Dubai,50509,2114,5,971504947393,2022,,,4
100.0,2,ROTANA STAR RENT A CAR,630.0,2400.0,0.0,4,2,LAMBORGHINI URUS MY,-1,ALBARSHA 1,68666,67481,Dubai,90905,2114,5,971504947393,2022,,,4
100.0,2,ROTANA STAR RENT A CAR,630.0,2400.0,0.0,4,2,LAMBORGHINI URUS MY2,-1,ALBARSHA 1,51338,67480,Dubai,90905,2114,5,971504947393,2022,,"[{'ReservationKey': 0, 'CarKey': 67480, 'CustomerName': 'Running Contract, 72750', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '8/1/2024 7:35:00 PM', 'ToDateTime': '8/2/2024 7:35:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,ROTANA STAR RENT A CAR,630.0,2400.0,0.0,4,2,CADILLAC ESCALADE,-1,ALBARSHA 1,88055,67958,Dubai,63030,2114,5,971504947393,2022,,"[{'ReservationKey': 0, 'CarKey': 67958, 'CustomerName': 'Running Contract, 380764', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/15/2024 9:45:00 PM', 'ToDateTime': '7/16/2024 9:45:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,ROTANA STAR RENT A CAR,630.0,2400.0,0.0,4,2,CHEVROLET CORVETTE,-1,ALBARSHA 1,23911,104300,Dubai,53030,2114,5,971504947393,2023,,,4
100.0,2,ROTANA STAR RENT A CAR,630.0,2400.0,0.0,4,2,CHEVROLET CORVETTE,-1,ALBARSHA 1,6945,104301,Dubai,83030,2114,5,971504947393,2023,,"[{'ReservationKey': 0, 'CarKey': 104301, 'CustomerName': 'Running Contract, 66596', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '12/17/2023 11:45:00 PM', 'ToDateTime': '12/18/2023 11:45:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,ROTANA STAR RENT A CAR,630.0,2400.0,0.0,4,2,CHEVROLET CORVETTE,-1,ALBARSHA 1,12230,104302,Dubai,53030,2114,5,971504947393,2023,,"[{'ReservationKey': 0, 'CarKey': 104302, 'CustomerName': 'Running Contract, 62290', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '1/5/2024 12:25:00 AM', 'ToDateTime': '5/19/2024 12:25:00 AM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,ROTANA STAR RENT A CAR,630.0,2400.0,0.0,4,2,CHEVROLET CORVETTE,-1,ALBARSHA 1,27341,104305,Dubai,69090,2114,5,971504947393,2023,,"[{'ReservationKey': 0, 'CarKey': 104305, 'CustomerName': 'Running Contract, 71516', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/11/2024 9:40:00 PM', 'ToDateTime': '7/13/2024 9:40:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,ROTANA STAR RENT A CAR,630.0,2400.0,0.0,4,2,CADILLAC ESCALADE,-1,ALBARSHA 1,23608,104312,Dubai,83030,2114,5,971504947393,2023,,,4
100.0,2,ROTANA STAR RENT A CAR,630.0,2400.0,0.0,4,2,CHEVROLET CORVETTE,-1,ALBARSHA 1,25326,104320,Dubai,69090,2114,5,971504947393,2023,,"[{'ReservationKey': 0, 'CarKey': 104320, 'CustomerName': 'Running Contract, 71714', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '8/1/2024 2:27:00 PM', 'ToDateTime': '8/2/2024 2:27:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,ROTANA STAR RENT A CAR,630.0,2400.0,0.0,4,2,CHEVROLET CORVETTE,-1,ALBARSHA 1,31221,104321,Dubai,83030,2114,5,971504947393,2023,,"[{'ReservationKey': 0, 'CarKey': 104321, 'CustomerName': 'Running Contract, 71715', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '8/1/2024 2:36:00 PM', 'ToDateTime': '8/2/2024 2:36:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,ROTANA STAR RENT A CAR,630.0,2400.0,0.0,4,2,CADILLAC ESCALADE,-1,ALBARSHA 1,36757,104311,Dubai,83030,2114,5,971504947393,2023,,,4
100.0,2,ROTANA STAR RENT A CAR,630.0,2400.0,0.0,4,2,CADILLAC ESCALADE,-1,ALBARSHA 1,38357,104313,Dubai,83030,2114,5,971504947393,2023,,,4
100.0,2,ROTANA STAR RENT A CAR,630.0,2400.0,0.0,4,2,CADILLAC ESCALADE,-1,ALBARSHA 1,41213,104315,Dubai,83030,2114,5,971504947393,2023,,,4
100.0,2,ROTANA STAR RENT A CAR,630.0,2400.0,0.0,4,2,BENTLEY BENTAYGA,-1,ALBARSHA 1,17717,116297,Dubai,8453,2114,5,971504947393,2023,,,4
100.0,2,ROTANA STAR RENT A CAR,630.0,2400.0,0.0,4,2,BENTLEY BENTAYGA,-1,ALBARSHA 1,19898,116298,Dubai,8453,2114,5,971504947393,2023,,,4
100.0,2,ROTANA STAR RENT A CAR,630.0,2400.0,0.0,4,2,RANGE ROVER SVR,-1,ALBARSHA 1,79545,9148,Dubai,4830,2114,5,971504947393,2022,,,4
100.0,2,ROTANA STAR RENT A CAR,630.0,2400.0,0.0,4,2,RANGE ROVER SVR,-1,ALBARSHA 1,66593,9149,Dubai,4830,2114,5,971504947393,2022,,"[{'ReservationKey': 0, 'CarKey': 9149, 'CustomerName': 'Running Contract, 72758', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '8/1/2024 7:30:00 PM', 'ToDateTime': '8/2/2024 7:30:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,ROTANA STAR RENT A CAR,630.0,2400.0,0.0,4,2,AUDI Q3,-1,ALBARSHA 1,63946,9153,Dubai,92020,2114,5,971504947393,2022,,"[{'ReservationKey': 0, 'CarKey': 9153, 'CustomerName': 'Running Contract, 69435', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/30/2024 5:20:00 PM', 'ToDateTime': '7/31/2024 5:20:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,ROTANA STAR RENT A CAR,630.0,2400.0,0.0,4,2,LAMBORGHINI URUS MY2,-1,ALBARSHA 1,54335,9249,Dubai,82020,2114,5,971504947393,2022,,"[{'ReservationKey': 0, 'CarKey': 9249, 'CustomerName': 'Running Contract, 72733', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '8/1/2024 4:50:00 PM', 'ToDateTime': '8/3/2024 4:50:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,ROTANA STAR RENT A CAR,630.0,2400.0,0.0,4,2,CHEVROLET CORVETTE,-1,ALBARSHA 1,61692,9316,Dubai,63030,2114,5,971504947393,2022,,"[{'ReservationKey': 0, 'CarKey': 9316, 'CustomerName': 'Running Contract, 71712', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '8/1/2024 2:29:00 PM', 'ToDateTime': '8/2/2024 2:29:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,ROTANA STAR RENT A CAR,630.0,2400.0,0.0,4,2,BENTLEY BENTAYGA,-1,ALBARSHA 1,17956,116296,Dubai,8453,2114,5,971504947393,2023,,,4
700.0,2,ROTANA STAR RENT A CAR,0.0,0.0,0.0,4,2,NISSAN PATROL,-1,ALBARSHA 1,105298,8703,Dubai,48482,2114,5,971504947393,2021,,"[{'ReservationKey': 0, 'CarKey': 8703, 'CustomerName': 'Running Contract, 72609', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/29/2024 12:40:00 PM', 'ToDateTime': '8/2/2024 12:40:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4
700.0,2,ROTANA STAR RENT A CAR,0.0,0.0,0.0,4,2,NISSAN PATROL,-1,ALBARSHA 1,89817,8702,Dubai,48482,2114,5,971504947393,2021,,"[{'ReservationKey': 0, 'CarKey': 8702, 'CustomerName': 'Running Contract, 72738', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '8/1/2024 1:40:00 AM', 'ToDateTime': '8/3/2024 1:40:00 AM', 'DayRentValue': 0.0, 'Documents': None}]",4
1000.0,2,ROTANA STAR RENT A CAR,0.0,0.0,0.0,4,2,AUDI RSQ3,-1,ALBARSHA 1,85272,8682,Dubai,99443,2114,5,971504947393,2021,,,4
