Reservations,DayRentValue,CarPhotoURL,City,Region,Doors,Model,CarNo,MemberNo,Gear,BookingDiscount,WeekRentValue,Cylinders,Seats,MobileSalesMan,MemberName,WD,Passengers,MonthRentValue,CarKey,Milage,CarName
,100.0,,Dubai,ALBARSHA 1,4,2021,99443,2114,-1,0.0,630.0,4,2,971504947393,ROTANA STAR RENT A CAR,2,5,2400.0,8687,72405,AUDI RSQ3
"[{'ReservationKey': 0, 'CarKey': 9246, 'CustomerName': 'Running Contract, 72816', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '8/2/2024 10:35:00 AM', 'ToDateTime': '8/3/2024 10:35:00 AM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,Dubai,ALBARSHA 1,4,2022,82020,2114,-1,0.0,630.0,4,2,971504947393,ROTANA STAR RENT A CAR,2,5,2400.0,9246,81069,LAMBORGHINI URUS MY2
,100.0,,Dubai,ALBARSHA 1,4,2023,4813,2114,-1,0.0,630.0,4,2,971504947393,ROTANA STAR RENT A CAR,2,5,2400.0,100274,36362,MERCEDES G63
"[{'ReservationKey': 0, 'CarKey': 100275, 'CustomerName': 'Running Contract, 72467', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/29/2024 3:20:00 PM', 'ToDateTime': '7/30/2024 3:20:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,Dubai,ALBARSHA 1,4,2023,4813,2114,-1,0.0,630.0,4,2,971504947393,ROTANA STAR RENT A CAR,2,5,2400.0,100275,70981,MERCEDES G63
"[{'ReservationKey': 0, 'CarKey': 9166, 'CustomerName': 'Running Contract, 68587', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '5/15/2024 3:40:00 PM', 'ToDateTime': '6/14/2024 3:40:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,Dubai,ALBARSHA 1,4,2022,92020,2114,-1,0.0,630.0,4,2,971504947393,ROTANA STAR RENT A CAR,2,5,2400.0,9166,70368,AUDI Q3
,100.0,,Dubai,ALBARSHA 1,4,2022,63030,2114,-1,0.0,630.0,4,2,971504947393,ROTANA STAR RENT A CAR,2,5,2400.0,67960,73177,CADILLAC ESCALADE
,100.0,,Dubai,ALBARSHA 1,4,2022,63030,2114,-1,0.0,630.0,4,2,971504947393,ROTANA STAR RENT A CAR,2,5,2400.0,67970,48004,CHEVROLET CORVETTE
"[{'ReservationKey': 0, 'CarKey': 67479, 'CustomerName': 'Running Contract, 72627', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/31/2024 8:10:00 PM', 'ToDateTime': '8/1/2024 8:10:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,Dubai,ALBARSHA 1,4,2022,90905,2114,-1,0.0,630.0,4,2,971504947393,ROTANA STAR RENT A CAR,2,5,2400.0,67479,62896,LAMBORGHINI URUS MY
"[{'ReservationKey': 0, 'CarKey': 67482, 'CustomerName': 'Running Contract, 70914', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '6/22/2024 2:00:00 PM', 'ToDateTime': '6/23/2024 2:00:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,Dubai,ALBARSHA 1,4,2022,50509,2114,-1,0.0,630.0,4,2,971504947393,ROTANA STAR RENT A CAR,2,5,2400.0,67482,66977,LAMBORGHINI URUS MY2
"[{'ReservationKey': 0, 'CarKey': 67483, 'CustomerName': 'Running Contract, 72814', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '8/2/2024 3:12:00 PM', 'ToDateTime': '8/3/2024 3:12:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,Dubai,ALBARSHA 1,4,2022,90905,2114,-1,0.0,630.0,4,2,971504947393,ROTANA STAR RENT A CAR,2,5,2400.0,67483,62343,LAMBORGHINI URUS MY2
,100.0,,Dubai,ALBARSHA 1,4,2022,50509,2114,-1,0.0,630.0,4,2,971504947393,ROTANA STAR RENT A CAR,2,5,2400.0,67484,67611,LAMBORGHINI URUS MY2
,100.0,,Dubai,ALBARSHA 1,4,2022,90905,2114,-1,0.0,630.0,4,2,971504947393,ROTANA STAR RENT A CAR,2,5,2400.0,67481,68666,LAMBORGHINI URUS MY
,100.0,,Dubai,ALBARSHA 1,4,2022,90905,2114,-1,0.0,630.0,4,2,971504947393,ROTANA STAR RENT A CAR,2,5,2400.0,67480,51380,LAMBORGHINI URUS MY2
,100.0,,Dubai,ALBARSHA 1,4,2022,63030,2114,-1,0.0,630.0,4,2,971504947393,ROTANA STAR RENT A CAR,2,5,2400.0,67958,90904,CADILLAC ESCALADE
,100.0,,Dubai,ALBARSHA 1,4,2023,53030,2114,-1,0.0,630.0,4,2,971504947393,ROTANA STAR RENT A CAR,2,5,2400.0,104300,23911,CHEVROLET CORVETTE
"[{'ReservationKey': 0, 'CarKey': 104301, 'CustomerName': 'Running Contract, 66596', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '12/17/2023 11:45:00 PM', 'ToDateTime': '12/18/2023 11:45:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,Dubai,ALBARSHA 1,4,2023,83030,2114,-1,0.0,630.0,4,2,971504947393,ROTANA STAR RENT A CAR,2,5,2400.0,104301,6945,CHEVROLET CORVETTE
"[{'ReservationKey': 0, 'CarKey': 104302, 'CustomerName': 'Running Contract, 62290', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '1/5/2024 12:25:00 AM', 'ToDateTime': '5/19/2024 12:25:00 AM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,Dubai,ALBARSHA 1,4,2023,53030,2114,-1,0.0,630.0,4,2,971504947393,ROTANA STAR RENT A CAR,2,5,2400.0,104302,12230,CHEVROLET CORVETTE
"[{'ReservationKey': 0, 'CarKey': 104305, 'CustomerName': 'Running Contract, 71516', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/11/2024 9:40:00 PM', 'ToDateTime': '7/13/2024 9:40:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,Dubai,ALBARSHA 1,4,2023,69090,2114,-1,0.0,630.0,4,2,971504947393,ROTANA STAR RENT A CAR,2,5,2400.0,104305,27341,CHEVROLET CORVETTE
,100.0,,Dubai,ALBARSHA 1,4,2023,83030,2114,-1,0.0,630.0,4,2,971504947393,ROTANA STAR RENT A CAR,2,5,2400.0,104312,23608,CADILLAC ESCALADE
"[{'ReservationKey': 0, 'CarKey': 104320, 'CustomerName': 'Running Contract, 71714', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '8/1/2024 2:27:00 PM', 'ToDateTime': '8/2/2024 2:27:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,Dubai,ALBARSHA 1,4,2023,69090,2114,-1,0.0,630.0,4,2,971504947393,ROTANA STAR RENT A CAR,2,5,2400.0,104320,25326,CHEVROLET CORVETTE
"[{'ReservationKey': 0, 'CarKey': 104321, 'CustomerName': 'Running Contract, 71715', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '8/1/2024 2:36:00 PM', 'ToDateTime': '8/2/2024 2:36:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,Dubai,ALBARSHA 1,4,2023,83030,2114,-1,0.0,630.0,4,2,971504947393,ROTANA STAR RENT A CAR,2,5,2400.0,104321,31221,CHEVROLET CORVETTE
,100.0,,Dubai,ALBARSHA 1,4,2023,83030,2114,-1,0.0,630.0,4,2,971504947393,ROTANA STAR RENT A CAR,2,5,2400.0,104311,36757,CADILLAC ESCALADE
,100.0,,Dubai,ALBARSHA 1,4,2023,83030,2114,-1,0.0,630.0,4,2,971504947393,ROTANA STAR RENT A CAR,2,5,2400.0,104313,38357,CADILLAC ESCALADE
,100.0,,Dubai,ALBARSHA 1,4,2023,83030,2114,-1,0.0,630.0,4,2,971504947393,ROTANA STAR RENT A CAR,2,5,2400.0,104315,41213,CADILLAC ESCALADE
,100.0,,Dubai,ALBARSHA 1,4,2023,8453,2114,-1,0.0,630.0,4,2,971504947393,ROTANA STAR RENT A CAR,2,5,2400.0,116297,17717,BENTLEY BENTAYGA
,100.0,,Dubai,ALBARSHA 1,4,2023,8453,2114,-1,0.0,630.0,4,2,971504947393,ROTANA STAR RENT A CAR,2,5,2400.0,116298,19898,BENTLEY BENTAYGA
,100.0,,Dubai,ALBARSHA 1,4,2022,4830,2114,-1,0.0,630.0,4,2,971504947393,ROTANA STAR RENT A CAR,2,5,2400.0,9148,79545,RANGE ROVER SVR
