Reservations,DayRentValue,CarPhotoURL,City,Region,Doors,Model,CarNo,MemberNo,Gear,BookingDiscount,WeekRentValue,Cylinders,Seats,MobileSalesMan,MemberName,WD,Passengers,MonthRentValue,CarKey,Milage,CarName
"[{'ReservationKey': 0, 'CarKey': 5748, 'CustomerName': 'Running Contract, 380644', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '6/24/2024 8:26:00 PM', 'ToDateTime': '6/25/2024 8:26:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",250.0,,Dubai,ALBARSHA 1,4,2017,49297,2114,-1,0.0,0.0,4,2,971504947393,ROTANA STAR RENT A CAR,2,5,0.0,5748,211370,AUDI A3
"[{'ReservationKey': 0, 'CarKey': 6036, 'CustomerName': 'Running Contract, 380652', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '6/25/2024 2:00:00 AM', 'ToDateTime': '6/26/2024 2:00:00 AM', 'DayRentValue': 0.0, 'Documents': None}]",350.0,,Dubai,ALBARSHA 1,4,2018,52140,2114,-1,0.0,0.0,4,2,971504947393,ROTANA STAR RENT A CAR,2,5,0.0,6036,255732,AUDI A3
,600.0,,Dubai,ALBARSHA 1,4,2018,52141,2114,-1,0.0,0.0,4,2,971504947393,ROTANA STAR RENT A CAR,2,5,0.0,6028,194000,AUDI A6
,500.0,,Dubai,ALBARSHA 1,4,2017,57437,2114,-1,0.0,630.0,4,2,971504947393,ROTANA STAR RENT A CAR,2,5,15000.0,5746,212898,AUDI A6
,100.0,,Dubai,ALBARSHA 1,4,2022,87416,2114,-1,0.0,630.0,4,2,971504947393,ROTANA STAR RENT A CAR,2,5,2400.0,9310,69944,AUDI A6
"[{'ReservationKey': 0, 'CarKey': 9323, 'CustomerName': 'Running Contract, 72629', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '8/1/2024 7:44:00 AM', 'ToDateTime': '8/4/2024 7:44:00 AM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,Dubai,ALBARSHA 1,4,2022,88192,2114,-1,0.0,630.0,4,4,971504947393,ROTANA STAR RENT A CAR,2,5,2400.0,9323,68534,AUDI A6
,100.0,,Dubai,ALBARSHA 1,4,2022,92154,2114,-1,0.0,630.0,4,2,971504947393,ROTANA STAR RENT A CAR,2,5,2400.0,9315,80172,AUDI A6
"[{'ReservationKey': 0, 'CarKey': 8847, 'CustomerName': 'Running Contract, 72592', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/31/2024 3:08:00 AM', 'ToDateTime': '8/4/2024 3:08:00 AM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,Dubai,ALBARSHA 1,4,2021,98937,2114,-1,0.0,630.0,4,2,971504947393,ROTANA STAR RENT A CAR,2,5,2400.0,8847,100519,AUDI A6
,100.0,,Dubai,ALBARSHA 1,4,2021,98954,2114,-1,0.0,630.0,4,2,971504947393,ROTANA STAR RENT A CAR,2,5,2400.0,8837,97128,AUDI A6
,100.0,,Dubai,ALBARSHA 1,4,2021,99012,2114,-1,0.0,630.0,4,2,971504947393,ROTANA STAR RENT A CAR,2,5,2400.0,8843,100115,AUDI A6
"[{'ReservationKey': 0, 'CarKey': 8841, 'CustomerName': 'Running Contract, 72531', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/27/2024 8:19:00 PM', 'ToDateTime': '7/28/2024 8:19:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,Dubai,ALBARSHA 1,4,2021,99047,2114,-1,0.0,630.0,4,2,971504947393,ROTANA STAR RENT A CAR,2,5,2400.0,8841,93906,AUDI A6
"[{'ReservationKey': 0, 'CarKey': 8839, 'CustomerName': 'Running Contract, 67111', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '4/21/2024 11:10:00 PM', 'ToDateTime': '6/20/2024 11:10:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,Dubai,ALBARSHA 1,4,2021,99520,2114,-1,0.0,630.0,4,2,971504947393,ROTANA STAR RENT A CAR,2,5,2400.0,8839,91709,AUDI A6
,100.0,,Dubai,ALBARSHA 1,4,2021,99869,2114,-1,0.0,630.0,4,2,971504947393,ROTANA STAR RENT A CAR,2,5,2400.0,8838,84919,AUDI A6
,100.0,,Dubai,ALBARSHA 1,4,2019,43461,2114,-1,0.0,630.0,4,2,971504947393,ROTANA STAR RENT A CAR,2,5,2400.0,71191,136526,AUDI A8
,100.0,,Dubai,ALBARSHA 1,4,2021,82020,2114,-1,0.0,630.0,4,2,971504947393,ROTANA STAR RENT A CAR,2,5,2400.0,9164,65187,AUDI Q3
,100.0,,Dubai,ALBARSHA 1,4,2021,92020,2114,-1,0.0,630.0,4,2,971504947393,ROTANA STAR RENT A CAR,2,5,2400.0,9159,73564,AUDI Q3
,100.0,,Dubai,ALBARSHA 1,4,2022,99571,2114,-1,0.0,630.0,4,2,971504947393,ROTANA STAR RENT A CAR,2,5,2400.0,67964,56622,AUDI Q3
,100.0,,Dubai,ALBARSHA 1,4,2022,23480,2114,-1,0.0,630.0,4,2,971504947393,ROTANA STAR RENT A CAR,2,5,2400.0,67963,37286,AUDI Q5
"[{'ReservationKey': 0, 'CarKey': 5749, 'CustomerName': 'Running Contract, 72038', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/15/2024 9:05:00 PM', 'ToDateTime': '7/16/2024 9:05:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",600.0,,Dubai,ALBARSHA 1,4,2017,57438,2114,-1,0.0,0.0,4,2,971504947393,ROTANA STAR RENT A CAR,2,5,0.0,5749,212936,AUDI Q5
"[{'ReservationKey': 0, 'CarKey': 9168, 'CustomerName': 'Running Contract, 69434', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/30/2024 11:00:00 AM', 'ToDateTime': '7/31/2024 11:00:00 AM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,Dubai,ALBARSHA 1,4,2021,82020,2114,-1,0.0,630.0,4,2,971504947393,ROTANA STAR RENT A CAR,2,5,2400.0,9168,57425,AUDI Q5
"[{'ReservationKey': 0, 'CarKey': 9155, 'CustomerName': 'Running Contract, 71865', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/16/2024 5:50:00 PM', 'ToDateTime': '8/15/2024 5:50:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,Dubai,ALBARSHA 1,4,2021,92020,2114,-1,0.0,630.0,4,2,971504947393,ROTANA STAR RENT A CAR,2,5,2400.0,9155,59648,AUDI Q5
"[{'ReservationKey': 0, 'CarKey': 67134, 'CustomerName': 'Running Contract, 71764', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/9/2024 2:00:00 PM', 'ToDateTime': '8/8/2024 2:00:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,Dubai,ALBARSHA 1,4,2022,5098,2114,-1,0.0,630.0,4,2,971504947393,ROTANA STAR RENT A CAR,2,5,2400.0,67134,33960,AUDI Q7
,100.0,,Dubai,ALBARSHA 1,4,2022,37111,2114,-1,0.0,630.0,4,2,971504947393,ROTANA STAR RENT A CAR,2,5,2400.0,67132,28827,AUDI Q7
