ya_id,ya_number,ya_merge_manufacturer,ya_merge_short_name,takamol_CarNo,takamol_Model,takamol_MemberNo,takamol_CarKey,takamol_CarName,takamol_Reservations
3dc11974-825a-48f5-9049-0bd340f0dec6,i27291,JAC,S3,27291,2023,2826,95023,JAC S3,"[{'ReservationKey': 0, 'CarKey': 95023, 'CustomerName': 'Running Contract, 1265', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '4/11/2024 4:10:00 PM', 'ToDateTime': '5/11/2024 4:10:00 PM', 'DayRentValue': 0.0, 'Documents': None}]"
8364931c-71ea-41d3-b07c-2c2a4a1752c7,aa56081,KIA,Carens,56081,2024,2826,128789,KIA CARENS,
106402dd-2096-4760-aab5-f9d6d9eebc47,x19113,Kia, Cerato,19113,2023,2826,92754,KIA CERATO,
c1d173c6-76e1-4a12-a8d4-e81942b507dd,y19114,Kia,K5,19114,2023,2826,92755,KIA K5,"[{'ReservationKey': 0, 'CarKey': 92755, 'CustomerName': 'Running Contract, 1280', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '4/18/2024 10:10:00 PM', 'ToDateTime': '5/18/2024 10:10:00 PM', 'DayRentValue': 0.0, 'Documents': None}]"
46588dba-cfed-44f7-a438-d0ce845476df,j72569,KIA ,PEGAS,72569,2023,2826,98051,KIA PEGAS,"[{'ReservationKey': 0, 'CarKey': 98051, 'CustomerName': 'Running Contract, 1235', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '3/26/2024 11:15:00 PM', 'ToDateTime': '4/25/2024 11:15:00 PM', 'DayRentValue': 0.0, 'Documents': None}]"
2f1e8616-e689-40b3-a059-ba38e7dc49c2,y98596,Mercedes,C300,98596,2019,2826,78013,MERCEDES C300,
0d552e55-60cb-47e2-9fec-6a62fb28ae7f,x76102,MG,360,76102,2019,2826,3470,MG 360,"[{'ReservationKey': 0, 'CarKey': 3470, 'CustomerName': 'Running Contract, 1373', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/23/2024 1:30:00 PM', 'ToDateTime': '7/24/2024 1:30:00 PM', 'DayRentValue': 0.0, 'Documents': None}]"
eb99b5bd-d860-437f-b0e8-d26a9532226e,aa57871,MINI,Cooper,57871,2024,2826,128790,MINI COOPER,
7cc95309-b922-4643-ad48-0ec316871a46,s37795,Nissan,Patrol,37795,2024,2826,116721,NISSAN PATROL,
635b0990-d094-4cbd-81cc-7edf60531dd7,y69521,Toyota,Fortuner,69521,2022,2826,70567,TOYOTA FORTUNER,
