ya_id,ya_number,ya_merge_manufacturer,ya_merge_short_name,takamol_CarNo,takamol_Model,takamol_MemberNo,takamol_CarKey,takamol_CarName,takamol_Reservations
0364478d-2f5d-466a-b26c-f8261f206904,y79565,AUDI,Q5,79565,2021,2047,70517,AUDI Q5,
5f155c49-c55c-4a99-9c3b-244b4c4d14ec,l15325,AUDI,Q8,15325,2019,2047,22119,AUDI Q8,
ffa66692-4d51-485b-8423-1d6f60e8254c,d40062,AUDI,Q8,40062,2020,2047,22104,AUDI Q8,
53c99181-a470-45b9-bf93-1a1543c7e9ca,n52558,BENTLEY,GT,52558,2020,2047,98453,BENTLEY GT,"[{'ReservationKey': 0, 'CarKey': 98453, 'CustomerName': 'Running Contract, 14297', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '2/2/2024 11:39:33 PM', 'ToDateTime': '2/2/2024 11:39:33 PM', 'DayRentValue': 0.0, 'Documents': None}]"
74058600-985a-4a5d-a227-cdd35f9b3432,y82646,BMW,330i,82646,2021,2047,70518,BMW 330-I,
6fa5cfc3-8a4d-46e1-8b7d-484757a80dc7,e19850,BMW,740i,19850,2021,2047,22151,BMW 740,
2358714b-c240-432c-8301-556ca7e99a35,o26738,BMW,740i,26738,2020,2047,22078,BMW 740,
ebee9c51-a60e-4197-9612-b6ee825f409d,y79604,BMW,740 Xi,79604,2020,2047,70516,BMW 740-XI,
1d3bb8a6-a0af-430a-a633-0d00ae514291,y39532,BMW,X3,39532,2021,2047,83402,BMW X3,"[{'ReservationKey': 0, 'CarKey': 83402, 'CustomerName': 'Running Contract, 13159', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '11/1/2023 7:58:52 PM', 'ToDateTime': '11/1/2023 7:58:52 PM', 'DayRentValue': 0.0, 'Documents': None}]"
f0624e4d-dfe9-4a9c-8871-72580ed297da,h16485,BMW,430-CONV,16485,2021,2047,112678,BMW430 CONV,"[{'ReservationKey': 0, 'CarKey': 112678, 'CustomerName': 'Running Contract, 15837', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/31/2024 12:10:00 PM', 'ToDateTime': '8/8/2024 12:10:00 PM', 'DayRentValue': 0.0, 'Documents': None}]"
