ya_id,ya_number,ya_merge_manufacturer,ya_merge_short_name,takamol_CarNo,takamol_Model,takamol_MemberNo,takamol_CarKey,takamol_CarName,takamol_Reservations
4f09b1e3-54b4-4bcd-b6fa-671942813eda,y14104,AUDI,A3,14104,2023,2760,91053,AUDI A3,"[{'ReservationKey': 0, 'CarKey': 91053, 'CustomerName': 'Running Contract, 15864', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '8/1/2024 9:16:00 PM', 'ToDateTime': '8/3/2024 9:16:00 PM', 'DayRentValue': 0.0, 'Documents': None}]"
9476eb0b-cc87-4bd6-8585-5ee934ba7d2c,y18724,AUDI,A3,18724,2023,2760,71273,AUDI A3,
1abe4a0c-77df-4060-9c98-6179083000ba,z78095,AUDI,A3,78095,2023,2760,88876,AUDI A3,
c6020f19-900f-478a-9963-5ba691300508,z78098,AUDI,A3,78098,2023,2760,88887,AUDI A3,"[{'ReservationKey': 0, 'CarKey': 88887, 'CustomerName': 'Running Contract, 15874', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '8/2/2024 11:28:00 AM', 'ToDateTime': '8/5/2024 11:28:00 AM', 'DayRentValue': 0.0, 'Documents': None}]"
9e31041b-26b3-4495-b7cd-a58a86e93b02,z78106,AUDI,A3,78106,2023,2760,88886,AUDI A3,"[{'ReservationKey': 0, 'CarKey': 88886, 'CustomerName': 'Running Contract, 15806', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/31/2024 12:47:00 PM', 'ToDateTime': '8/5/2024 12:47:00 PM', 'DayRentValue': 0.0, 'Documents': None}]"
741933dc-c7a5-4ccf-95f0-da59668901a7,z70266,AUDI,A3,70266,2023,2760,87633,AUDI A3 ,"[{'ReservationKey': 0, 'CarKey': 87633, 'CustomerName': 'Running Contract, 15858', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '8/1/2024 6:58:00 PM', 'ToDateTime': '8/5/2024 6:58:00 PM', 'DayRentValue': 0.0, 'Documents': None}]"
821bbf29-320b-4e7f-8c0f-cdc5958f9143,z70269,AUDI,A3,70269,2023,2760,87636,AUDI A3 ,"[{'ReservationKey': 0, 'CarKey': 87636, 'CustomerName': 'Running Contract, 15833', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '8/1/2024 2:36:00 AM', 'ToDateTime': '8/3/2024 2:36:00 AM', 'DayRentValue': 0.0, 'Documents': None}]"
5d6ace2e-2a8f-4da8-8a48-0974f0af5d56,u10734,AUDI,A6,10734,2023,2760,95546,AUDI A6,"[{'ReservationKey': 0, 'CarKey': 95546, 'CustomerName': 'Running Contract, 15717', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/26/2024 5:45:00 PM', 'ToDateTime': '8/3/2024 5:45:00 PM', 'DayRentValue': 0.0, 'Documents': None}]"
8c7a7e82-6fa5-4b4e-b4f0-66851aa068ff,u10674,AUDI,A6,10674,2023,2760,95542,AUDI A6 ,"[{'ReservationKey': 0, 'CarKey': 95542, 'CustomerName': 'Running Contract, 15778', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/30/2024 12:00:00 PM', 'ToDateTime': '8/3/2024 12:00:00 PM', 'DayRentValue': 0.0, 'Documents': None}]"
3add5f33-68f7-4c59-905c-dff1b6b74222,u10678,AUDI,A6,10678,2023,2760,95547,AUDI A6 ,
041d38d8-2fe0-4ac3-8d72-ef2d804c4a4d,u10682,AUDI,A6,10682,2023,2760,95548,AUDI A6 ,"[{'ReservationKey': 0, 'CarKey': 95548, 'CustomerName': 'Running Contract, 15820', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/31/2024 5:31:00 PM', 'ToDateTime': '8/3/2024 5:31:00 PM', 'DayRentValue': 0.0, 'Documents': None}]"
7c3a1dad-401d-4ed1-b4ae-71c159579278,u10735,AUDI,A6,10735,2023,2760,95544,AUDI A6 ,"[{'ReservationKey': 0, 'CarKey': 95544, 'CustomerName': 'Running Contract, 15861', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '8/1/2024 8:21:00 PM', 'ToDateTime': '8/3/2024 8:21:00 PM', 'DayRentValue': 0.0, 'Documents': None}]"
802a30f7-23b9-426e-bb3d-d5acd95a5f60,w37769,AUDI,Q8,37769,2021,2760,11785,AUDI Q8  ,"[{'ReservationKey': 0, 'CarKey': 11785, 'CustomerName': 'Running Contract, 15800', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/31/2024 10:59:00 AM', 'ToDateTime': '8/30/2024 10:59:00 AM', 'DayRentValue': 0.0, 'Documents': None}]"
62d0e0b9-3aaa-420e-b7a2-594e16f5246a,k29503,BMW,420,29503,2022,2760,67517,BMW 420,"[{'ReservationKey': 0, 'CarKey': 67517, 'CustomerName': 'Running Contract, 15877', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '8/2/2024 1:54:00 PM', 'ToDateTime': '8/5/2024 1:54:00 PM', 'DayRentValue': 0.0, 'Documents': None}]"
