ya_id,ya_number,ya_merge_manufacturer,ya_merge_short_name,takamol_CarNo,takamol_Model,takamol_MemberNo,takamol_CarKey,takamol_CarName,takamol_Reservations
bcb8f1d6-3209-43cd-9d2c-3fd6a83d18d7,t49297,AUDI,A3,49297,2017,2114,5748,AUDI A3,"[{'ReservationKey': 0, 'CarKey': 5748, 'CustomerName': 'Running Contract, 380644', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '6/24/2024 8:26:00 PM', 'ToDateTime': '6/25/2024 8:26:00 PM', 'DayRentValue': 0.0, 'Documents': None}]"
f4d4edb5-fc89-47b5-9466-c74b55acf58c,u52140,AUDI,A3,52140,2018,2114,6036,AUDI A3,"[{'ReservationKey': 0, 'CarKey': 6036, 'CustomerName': 'Running Contract, 380652', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '6/25/2024 2:00:00 AM', 'ToDateTime': '6/26/2024 2:00:00 AM', 'DayRentValue': 0.0, 'Documents': None}]"
40848dca-0edf-449f-b2e0-d1dc6af97901,u52141,AUDI,A6,52141,2018,2114,6028,AUDI A6,
b1a8852f-e3a4-4757-9ad5-644a08c4bb47,t57437,AUDI,A6,57437,2017,2114,5746,AUDI A6,
36b6256c-53ba-4737-b726-af2fdd1fa4d1,c87416,AUDI,A6,87416,2022,2114,9310,AUDI A6,
d2783e6b-de95-40be-bc4e-6dbc64e12e2f,c88192,AUDI,A6,88192,2022,2114,9323,AUDI A6,"[{'ReservationKey': 0, 'CarKey': 9323, 'CustomerName': 'Running Contract, 72629', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '8/1/2024 7:44:00 AM', 'ToDateTime': '8/4/2024 7:44:00 AM', 'DayRentValue': 0.0, 'Documents': None}]"
04d5c4c1-ca38-47ff-b562-7460ab5526fb,c92154,AUDI,A6,92154,2022,2114,9315,AUDI A6,
d6312cbf-b445-4eef-a59e-37175cfbb653,t98937,AUDI,A6,98937,2021,2114,8847,AUDI A6,"[{'ReservationKey': 0, 'CarKey': 8847, 'CustomerName': 'Running Contract, 72592', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/31/2024 3:08:00 AM', 'ToDateTime': '8/4/2024 3:08:00 AM', 'DayRentValue': 0.0, 'Documents': None}]"
5793d1de-e16c-4d24-9ecd-5c943ce903e1,t98954,AUDI,A6,98954,2021,2114,8837,AUDI A6,
7c828b3a-197a-444a-a848-80bca7e7d4fa,t99012,AUDI,A6,99012,2021,2114,8843,AUDI A6,
fb8bfbd7-2f7a-4c31-b58e-7836bf44f4c1,t99047,AUDI,A6,99047,2021,2114,8841,AUDI A6,"[{'ReservationKey': 0, 'CarKey': 8841, 'CustomerName': 'Running Contract, 72531', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/27/2024 8:19:00 PM', 'ToDateTime': '7/28/2024 8:19:00 PM', 'DayRentValue': 0.0, 'Documents': None}]"
