Plate No,Vehicle Type,Status
83420-F-DXB,"2024, GAC GS3 EMZOOM 1.5T SPORT 2024 - Petrol 2WD",Available
83597-F-DXB,"2024, GAC EMKOO 2.0T GL HYBRID 2024 - Petrol 2WD",OnNRM
83611-F-DXB,"2024, GAC EMKOO 1.5T GL 2024 - Petrol 2WD",Available
83741-F-DXB,"2024, GAC EMKOO 1.5T GL 2024 - Petrol 2WD",Available
83903-F-DXB,"2024, GAC EMKOO 2.0T GL HYBRID 2024 - Petrol 2WD",Hired
84066-F-DXB,"2024, GAC EMKOO 1.5T GL 2024 - Petrol 2WD",Hired
84210-F-DXB,"2024, GAC EMKOO 1.5T GL 2024 - Petrol 2WD",Hired
84583-F-DXB,"2024, GAC GS3 EMZOOM 1.5T SPORT 2024 - Petrol 2WD",Available
84639-F-DXB,"2024, GAC EMKOO 1.5T GL 2024 - Petrol 2WD",Available
84640-F-DXB,"2024, GAC EMKOO 1.5T GL 2024 - Petrol 2WD",InWorkshop
86423-F-DXB,"2024, GAC EMKOO 1.5T GL 2024 - Petrol 2WD",Hired
AUH-10867-50,KIA PEGAS 2023 2WD,TotalLoss
AUH-10869-50,KIA PEGAS 2023 2WD,Available
AUH-10872-50,KIA PEGAS 2023 2WD,Hired
AUH-10873-50,KIA PEGAS 2023 2WD,Hired
AUH-10874-50,KIA PEGAS 2023 2WD,Hired
AUH-10875-50,KIA PEGAS 2023 2WD,Hired
AUH-10879-50,KIA PEGAS 2023 2WD,InWorkshop
AUH-10892-50,KIA PEGAS 2023 2WD,Available
AUH-10893-50,KIA PEGAS 2023 2WD,Hired
AUH-10894-50,KIA PEGAS 2023 2WD,InWorkshop
AUH-10895-50,KIA PEGAS 2023 2WD,Hired
AUH-10896-50,KIA PEGAS 2023 2WD,InWorkshop
AUH-16043-11,NISSAN KICKS 2022 2WD,InWorkshop
AUH-16048-11,NISSAN KICKS 2022 2WD,InWorkshop
AUH-16049-11,NISSAN KICKS 2022 2WD,Hired
AUH-16057-11,NISSAN KICKS 2022 2WD,Hired
AUH-16073-11,NISSAN KICKS 2022 2WD,Hired
AUH-16094-11,NISSAN KICKS 2022 2WD,Available
AUH-16143-11,NISSAN KICKS 2022 2WD,ForSale
AUH-16197-11,NISSAN KICKS 2022 2WD,Available
AUH-16210-11,NISSAN KICKS 2022 2WD,ForSale
AUH-16227-11,NISSAN KICKS 2022 2WD,Hired
AUH-16240-11,NISSAN KICKS 2022 2WD,Available
AUH-16245-11,NISSAN KICKS 2022 2WD,Hired
AUH-16254-11,NISSAN KICKS 2022 2WD,Hired
AUH-16258-11,NISSAN KICKS 2022 2WD,Hired
AUH-16268-11,NISSAN KICKS 2022 2WD,InWorkshop
AUH-16272-11,NISSAN KICKS 2022 2WD,Hired
AUH-16274-11,NISSAN KICKS 2022 2WD,ForSale
AUH-16278-11,NISSAN KICKS 2022 2WD,ForSale
AUH-16286-11,NISSAN KICKS 2022 2WD,ForSale
AUH-16289-11,NISSAN KICKS 2022 2WD,ForSale
AUH-16293-11,NISSAN KICKS 2022 2WD,Hired
AUH-16314-11,NISSAN KICKS 2022 2WD,Hired
AUH-17974-5,NISSAN SUNNY 2024 2WD,Hired
AUH-18023-5,NISSAN SUNNY 2024 2WD,Hired
AUH-18037-5,NISSAN SUNNY 2024 2WD,Hired
AUH-18045-5,NISSAN SUNNY 2024 2WD,Hired
AUH-18056-5,NISSAN SUNNY 2024 2WD,Hired
AUH-18072-5,NISSAN SUNNY 2024 2WD,Hired
AUH-18073-5,NISSAN SUNNY 2024 2WD,Hired
AUH-18097-5,NISSAN SUNNY 2024 2WD,Hired
AUH-18164-5,NISSAN SUNNY 2024 2WD,Hired
AUH-18201-5,NISSAN SUNNY 2024 2WD,Hired
AUH-18203-5,NISSAN SUNNY 2024 2WD,Available
AUH-18204-5,NISSAN SUNNY 2024 2WD,Hired
AUH-18205-5,NISSAN SUNNY 2024 2WD,Hired
AUH-18207-5,NISSAN SUNNY 2024 2WD,Hired
AUH-18208-5,NISSAN SUNNY 2024 2WD,Hired
AUH-18209-5,NISSAN SUNNY 2024 2WD,InWorkshop
AUH-18216-5,NISSAN SUNNY 2024 2WD,Hired
AUH-18231-5,NISSAN SUNNY 2024 2WD,Hired
AUH-18240-5,NISSAN SUNNY 2024 2WD,Available
AUH-18241-5,NISSAN SUNNY 2024 2WD,Hired
AUH-18243-5,NISSAN SUNNY 2024 2WD,Hired
AUH-18246-5,NISSAN SUNNY 2024 2WD,Hired
AUH-18249-5,NISSAN SUNNY 2024 2WD,Hired
AUH-18254-5,NISSAN SUNNY 2024 2WD,Hired
AUH-18256-5,NISSAN SUNNY 2024 2WD,Hired
AUH-18560-50,MAZDA 6 2023 2WD,Hired
AUH-18561-50,MAZDA 6 2023 2WD,Hired
AUH-18563-50,MAZDA 6 2023 2WD,Hired
AUH-18564-50,MAZDA 6 2023 2WD,Available
AUH-18565-50,MAZDA 6 2023 2WD,Hired
AUH-18566-50,MAZDA 6 2023 2WD,Available
AUH-18568-50,MAZDA 6 2023 2WD,Available
AUH-18570-50,MAZDA 6 2023 2WD,InWorkshop
AUH-24502-18,NISSAN SUNNY 2023 2WD,Hired
AUH-24504-18,NISSAN SUNNY 2023 2WD,Hired
AUH-24505-18,NISSAN SUNNY 2023 2WD,Hired
AUH-24511-18,NISSAN SUNNY 2023 2WD,Hired
AUH-24515-18,NISSAN SUNNY 2023 2WD,Hired
AUH-24520-18,NISSAN SUNNY 2023 2WD,Hired
AUH-24521-18,NISSAN SUNNY 2023 2WD,Hired
AUH-26369-50,KIA PEGAS 2023 2WD,Available
AUH-26370-50,KIA PEGAS 2023 2WD,Hired
AUH-26371-50,KIA PEGAS 2023 2WD,Hired
AUH-26372-50,KIA PEGAS 2023 2WD,Available
AUH-27094-11,HYUNDAI ACCENT 2022 2WD,Hired
AUH-28245-50,MITSUBISHI MIRAGE 2023 2WD,Available
AUH-28246-50,MITSUBISHI MIRAGE 2023 2WD,Hired
AUH-28249-50,MITSUBISHI MIRAGE 2023 2WD,Hired
AUH-28251-50,MITSUBISHI MIRAGE 2023 2WD,Hired
AUH-28253-50,MITSUBISHI ATTRAGE 2023 2WD,Available
AUH-28254-50,MITSUBISHI ATTRAGE 2023 2WD,Available
AUH-28256-50,MITSUBISHI ATTRAGE 2023 2WD,Available
AUH-28257-50,MITSUBISHI ATTRAGE - PREM 2023 2WD,Available
AUH-28259-50,MITSUBISHI ATTRAGE - PREM 2023 2WD,Hired
AUH-28260-50,MITSUBISHI ATTRAGE - PREM 2023 2WD,Hired
AUH-28261-50,MITSUBISHI ATTRAGE - PREM 2023 2WD,TotalLoss
AUH-28263-50,MITSUBISHI ATTRAGE - PREM 2023 2WD,Hired
AUH-29635-11,HYUNDAI ACCENT 2022 2WD,NotReady
AUH-29642-11,HYUNDAI ACCENT 2022 2WD,Available
AUH-30715-6,PEUGEOT 3008 2024 2WD,NotReady
AUH-30716-6,PEUGEOT 3008 2024 2WD,Hired
AUH-30718-6,PEUGEOT 3008 2024 2WD,Hired
AUH-30734-6,PEUGEOT 3008 2024 2WD,Hired
AUH-30741-6,PEUGEOT 3008 2024 2WD,Available
AUH-30758-6,PEUGEOT 3008 2024 2WD,InWorkshop
AUH-30763-6,PEUGEOT 3008 2024 2WD,Hired
AUH-30783-6,PEUGEOT 3008 2024 2WD,OnNRM
AUH-30796-6,PEUGEOT 3008 2024 2WD,Hired
AUH-30816-6,PEUGEOT 3008 2024 2WD,Hired
AUH-30834-6,PEUGEOT 3008 2024 2WD,Available
AUH-30845-6,PEUGEOT 3008 2024 2WD,Available
AUH-30849-6,PEUGEOT 3008 2024 2WD,Hired
AUH-30861-6,PEUGEOT 3008 2024 2WD,Hired
AUH-30864-6,PEUGEOT 3008 2024 2WD,Hired
AUH-30867-6,PEUGEOT 3008 2024 2WD,Available
AUH-30871-6,PEUGEOT 3008 2024 2WD,Hired
AUH-30873-6,PEUGEOT 3008 2024 2WD,Hired
AUH-30879-6,PEUGEOT 3008 2024 2WD,Available
AUH-30894-6,PEUGEOT 3008 2024 2WD,Hired
AUH-32261-18,MITSUBISHI ATTRAGE - PREM 2023 2WD,Hired
AUH-34083-12,HYUNDAI ACCENT 2022 2WD,ForSale
AUH-34714-50,NISSAN SUNNY 2023 2WD,Hired
AUH-34716-50,NISSAN SUNNY 2023 2WD,Hired
AUH-34718-50,NISSAN SUNNY 2023 2WD,Hired
AUH-34719-50,NISSAN SUNNY 2023 2WD,Hired
AUH-34722-50,NISSAN SUNNY 2023 2WD,Hired
AUH-34723-50,NISSAN SUNNY 2023 2WD,Hired
AUH-34729-50,NISSAN SUNNY 2023 2WD,Hired
AUH-35075-50,KIA PEGAS 2023 2WD,Hired
AUH-35076-50,KIA PEGAS 2023 2WD,Hired
AUH-35079-50,"2023, KIA K5 2023 - Petrol 2WD",TotalLoss
AUH-35264-11,HYUNDAI ACCENT 2022 2WD,Hired
AUH-35619-50,NISSAN SUNNY 2023 2WD,Hired
AUH-35621-50,NISSAN SUNNY 2023 2WD,Hired
AUH-35623-50,NISSAN SUNNY 2023 2WD,Hired
AUH-35630-50,NISSAN SUNNY 2023 2WD,InWorkshop
AUH-35631-50,NISSAN SUNNY 2023 2WD,Hired
AUH-35632-50,NISSAN SUNNY 2023 2WD,Hired
AUH-35637-50,NISSAN SUNNY 2023 2WD,Hired
AUH-35638-50,NISSAN SUNNY 2023 2WD,Available
AUH-37161-15,NISSAN PATROL 2022 4WD,Hired
AUH-37294-11,HYUNDAI ACCENT 2022 2WD,InWorkshop
AUH-37890-11,HYUNDAI ACCENT 2022 2WD,Available
AUH-37956-19,NISSAN SUNNY 2023 2WD,NotReady
AUH-37957-19,NISSAN SUNNY 2023 2WD,Hired
AUH-37958-19,NISSAN SUNNY 2023 2WD,Hired
AUH-37960-19,NISSAN SUNNY 2023 2WD,Hired
AUH-37962-19,NISSAN SUNNY 2023 2WD,InWorkshop
AUH-37963-19,NISSAN SUNNY 2023 2WD,Hired
AUH-37964-19,NISSAN SUNNY 2023 2WD,Hired
AUH-39485-11,HYUNDAI ACCENT 2022 2WD,InWorkshop
AUH-39571-19,PEUGEOT 2008 2023 2WD,Hired
AUH-39572-19,PEUGEOT 2008 2023 2WD,Hired
AUH-40576-11,HYUNDAI ACCENT 2022 2WD,Available
AUH-40683-11,HYUNDAI ACCENT 2022 2WD,NotReady
AUH-40927-11,HYUNDAI ACCENT 2022 2WD,ForSale
AUH-41326-19,NISSAN SUNNY 2023 2WD,Hired
AUH-41327-19,NISSAN SUNNY 2023 2WD,Hired
AUH-41328-19,NISSAN SUNNY 2023 2WD,Hired
AUH-41329-19,NISSAN SUNNY 2023 2WD,Hired
AUH-41330-19,NISSAN SUNNY 2023 2WD,Hired
AUH-41332-19,NISSAN SUNNY 2023 2WD,Hired
AUH-41335-19,NISSAN SUNNY 2023 2WD,Hired
AUH-41565-15,"2023, PEUGEOT 3008 2023 - ACTIVE - Petrol 2WD",ForSale
AUH-41573-15,"2023, PEUGEOT 3008 2023 - ACTIVE - Petrol 2WD",ForSale
AUH-41729-19,NISSAN SUNNY 2023 2WD,Hired
AUH-41730-19,NISSAN SUNNY 2023 2WD,InWorkshop
AUH-41731-19,NISSAN SUNNY 2023 2WD,Hired
AUH-41732-19,NISSAN SUNNY 2023 2WD,Hired
AUH-41733-19,NISSAN SUNNY 2023 2WD,Available
AUH-41735-19,NISSAN SUNNY 2023 2WD,Hired
AUH-41736-19,NISSAN SUNNY 2023 2WD,OnNRM
AUH-41737-19,NISSAN SUNNY 2023 2WD,Hired
AUH-41739-19,NISSAN SUNNY 2023 2WD,Hired
AUH-41740-19,NISSAN SUNNY 2023 2WD,Available
AUH-41742-19,NISSAN SUNNY 2023 2WD,Hired
AUH-41743-19,NISSAN SUNNY 2023 2WD,Hired
AUH-41745-19,NISSAN SUNNY 2023 2WD,Available
AUH-41746-19,NISSAN SUNNY 2023 2WD,Hired
AUH-41952-15,"2023, PEUGEOT 3008 2023 - ACTIVE - Petrol 2WD",ForSale
AUH-41959-15,"2023, PEUGEOT 3008 2023 - ACTIVE - Petrol 2WD",ForSale
AUH-42341-15,"2023, PEUGEOT 3008 2023 - ACTIVE - Petrol 2WD",ForSale
AUH-42359-15,"2023, PEUGEOT 3008 2023 - ACTIVE - Petrol 2WD",ForSale
AUH-42365-15,"2023, PEUGEOT 3008 2023 - ACTIVE - Petrol 2WD",ForSale
AUH-42366-15,"2023, PEUGEOT 3008 2023 - ACTIVE - Petrol 2WD",ForSale
AUH-42367-15,"2023, PEUGEOT 3008 2023 - ACTIVE - Petrol 2WD",ForSale
AUH-42371-15,"2023, PEUGEOT 3008 2023 - ACTIVE - Petrol 2WD",ForSale
AUH-42373-15,"2023, PEUGEOT 3008 2023 - ACTIVE - Petrol 2WD",ForSale
AUH-42380-15,"2023, PEUGEOT 3008 2023 - ACTIVE - Petrol 2WD",ForSale
AUH-42385-15,"2023, PEUGEOT 3008 2023 - ACTIVE - Petrol 2WD",ForSale
AUH-42415-15,"2023, PEUGEOT 3008 2023 - ACTIVE - Petrol 2WD",ForSale
AUH-42418-15,"2023, PEUGEOT 3008 2023 - ACTIVE - Petrol 2WD",InWorkshop
AUH-42450-15,"2023, PEUGEOT 3008 2023 - ACTIVE - Petrol 2WD",ForSale
AUH-42457-15,"2023, PEUGEOT 3008 2023 - ACTIVE - Petrol 2WD",ForSale
AUH-42465-15,"2023, PEUGEOT 3008 2023 - ACTIVE - Petrol 2WD",ForSale
AUH-45258-19,NISSAN SUNNY 2023 2WD,Hired
AUH-50478-50,NISSAN SUNNY 2023 2WD,Hired
AUH-50479-50,NISSAN SUNNY 2023 2WD,Hired
AUH-50481-50,NISSAN SUNNY 2023 2WD,Hired
AUH-50482-50,NISSAN SUNNY 2023 2WD,Hired
AUH-50483-50,NISSAN SUNNY 2023 2WD,Hired
AUH-50486-50,NISSAN SUNNY 2023 2WD,Hired
AUH-50491-50,NISSAN SUNNY 2023 2WD,Hired
AUH-50496-50,NISSAN SUNNY 2023 2WD,Hired
AUH-50627-50,NISSAN SUNNY 2023 2WD,Available
AUH-50634-50,NISSAN SUNNY 2023 2WD,Hired
AUH-50637-50,NISSAN SUNNY 2023 2WD,Hired
AUH-50638-50,NISSAN SUNNY 2023 2WD,InWorkshop
AUH-50639-50,NISSAN SUNNY 2023 2WD,Hired
AUH-50642-50,NISSAN SUNNY 2023 2WD,Hired
AUH-50643-50,NISSAN SUNNY 2023 2WD,Hired
AUH-50648-50,HYUNDAI TUCSON 2022 2WD,Hired
AUH-50671-50,HYUNDAI TUCSON 2022 2WD,Available
AUH-50672-50,HYUNDAI TUCSON 2022 2WD,Hired
AUH-50674-50,HYUNDAI TUCSON 2022 2WD,ForSale
AUH-50679-50,HYUNDAI TUCSON 2022 2WD,ForSale
AUH-50681-50,HYUNDAI TUCSON 2022 2WD,Hired
AUH-50682-50,HYUNDAI TUCSON 2022 2WD,ForSale
AUH-50683-50,HYUNDAI TUCSON 2022 2WD,Available
AUH-50684-50,HYUNDAI TUCSON 2022 2WD,Hired
AUH-50913-50,"2023, KIA K5 2023 - Petrol 2WD",Hired
AUH-50916-50,"2023, KIA K5 2023 - Petrol 2WD",Available
AUH-50924-50,"2023, KIA K5 2023 - Petrol 2WD",InWorkshop
AUH-50926-50,"2023, KIA K5 2023 - Petrol 2WD",Hired
AUH-50927-50,"2023, KIA K5 2023 - Petrol 2WD",OnNRM
AUH-50928-50,"2023, KIA K5 2023 - Petrol 2WD",TotalLoss
AUH-50932-50,"2023, KIA K5 2023 - Petrol 2WD",Hired
AUH-56952-18,HYUNDAI ACCENT 2022 2WD,Hired
AUH-56953-18,HYUNDAI ACCENT 2022 2WD,Hired
AUH-56954-18,HYUNDAI ACCENT 2022 2WD,Hired
AUH-56957-18,HYUNDAI ACCENT 2022 2WD,Available
AUH-57160-17,NISSAN SUNNY 2023 2WD,Hired
AUH-57173-17,NISSAN SUNNY 2023 2WD,Hired
AUH-57189-17,NISSAN SUNNY 2023 2WD,Hired
AUH-57199-17,NISSAN SUNNY 2023 2WD,InWorkshop
AUH-57203-17,NISSAN SUNNY 2023 2WD,Hired
AUH-57228-17,NISSAN SUNNY 2023 2WD,Hired
AUH-57234-17,NISSAN SUNNY 2023 2WD,Hired
AUH-57265-18,NISSAN SUNNY 2023 2WD,Hired
AUH-57279-18,NISSAN SUNNY 2023 2WD,Hired
AUH-57282-17,NISSAN SUNNY 2023 2WD,Hired
AUH-57297-18,NISSAN SUNNY 2023 2WD,Hired
AUH-57299-17,NISSAN SUNNY 2023 2WD,Hired
AUH-57306-17,NISSAN SUNNY 2023 2WD,Hired
AUH-57339-17,NISSAN SUNNY 2023 2WD,InWorkshop
AUH-57346-17,NISSAN SUNNY 2023 2WD,Hired
AUH-57381-17,NISSAN SUNNY 2023 2WD,InWorkshop
AUH-57386-17,NISSAN SUNNY 2023 2WD,Hired
AUH-57438-17,NISSAN SUNNY 2023 2WD,Hired
AUH-57937-19,PEUGEOT 2008 2023 2WD,Available
AUH-57938-19,PEUGEOT 2008 2023 2WD,Hired
AUH-57939-19,PEUGEOT 2008 2023 2WD,Hired
AUH-58968-17,NISSAN SUNNY 2023 2WD,Hired
