Reg.,Vehicle Details,Model,Type,Status
H-69002,Chevrolet Spark,2020,Mini Hatchback,Available
L-56623,GMC Sierra,2022,Premium Pickup-Truck,Available
W-58240,Hyundai Accent,2019,Standard Sedan,Available
W-58247,Hyundai Accent,2019,Standard Sedan,Available
W-58249,Hyundai Accent,2019,Standard Sedan,Available
O-94257,Hyundai Accent,2020,Standard Sedan,Available
O-94248,Hyundai Accent,2020,Standard Sedan,Available
Q-40739,Hyundai Accent,2020,Standard Sedan,Available
S-71363,Hyundai Accent,2020,Standard Sedan,Available
S-71351,Hyundai Accent,2020,Standard Sedan,Available
S-71347,Hyundai Accent,2020,Standard Sedan,Available
X-58563,Hyundai Accent,2022,Economy Sedan,Available
X-58574,Hyundai Accent,2022,Economy Sedan,Available
X-58578,Hyundai Accent,2022,Economy Sedan,Available
X-58605,Hyundai Accent,2022,Economy Sedan,Available
X-16093,Hyundai Accent,2022,Economy Sedan,Available
Q-76295,Hyundai Accent,2022,Economy Sedan,Available
O-68715,Hyundai Accent,2022,Economy Sedan,Available
U-12813,Hyundai Accent,2022,Economy Sedan,Available
O-94317,Hyundai Creta,2020,Standard Station,Available
O-94301,Hyundai Creta,2020,Standard Station,Available
O-21957,Hyundai Creta,2022,Standard Station,Available
O-18436,Hyundai Creta,2022,Standard Station,Available
O-22589,Hyundai Creta,2022,Standard Station,Available
O-18405,Hyundai Creta,2022,Standard Station,Available
O-21741,Hyundai Creta,2022,Standard Station,Available
X-29138,Hyundai Creta,2022,Standard Station,Available
X-29137,Hyundai Creta,2022,Standard Station,Available
X-29134,Hyundai Creta,2022,Standard Station,Available
X-29220,Hyundai Creta,2022,Standard Station,Available
X-16121,Hyundai Creta,2022,Standard Station,Available
X-16098,Hyundai Creta,2022,Standard Station,Available
X-16094,Hyundai Creta,2022,Standard Station,Available
E-29380,Hyundai Elentra,2022,Economy Sedan,Available
S-71311,Hyundai Kona,2020,Mid-Size Station,Available
S-71289,Hyundai Kona,2020,Mid-Size Station,Available
E-90264,Hyundai Palisade,2022,Premium SUV,Available
G-91375,Hyundai SantaFe,2022,Premium SUV,Available
G-97637,Hyundai SantaFe,2022,Premium SUV,Available
X-16086,Hyundai SantaFe,2022,Premium SUV,Available
S-71320,Hyundai Sonata,2020,Premium Sedan,Available
S-71323,Hyundai Sonata,2020,Premium Sedan,Available
U-28678,Hyundai Tucson,2021,Mid-Size SUV,Available
U-28680,Hyundai Tucson,2021,Mid-Size SUV,Available
U-28681,Hyundai Tucson,2021,Mid-Size SUV,Available
G-91102,Hyundai Tucson,2022,Mid-Size SUV,Available
X-53747,Hyundai Tucson,2022,Mid-Size SUV,Available
S-60283,Infiniti QX55,2023,Premium SUV,Available
S-60742,Infiniti QX60,2023,Premium SUV,Available
M-31501,Kia K5,2021,Mid-Size Sedan,Available
J-87176,Kia K5,2021,Mid-Size Sedan,Available
F-91051,Kia K5,2021,Mid-Size Sedan,Available
F-92055,Kia K5,2021,Mid-Size Sedan,Available
O-97351,Kia K5,2022,Mid-Size Sedan,Available
Y-95587,Kia K5,2023,Mid-Size Sedan,Available
Y-95579,Kia K5,2023,Mid-Size Sedan,Available
K-70830,Kia K5,2023,Mid-Size Sedan,Available
Z-24117,Kia K5,2023,Mid-Size Sedan,Available
Z-24123,Kia K5,2023,Mid-Size Sedan,Available
K-89454,Kia Pegas,2022,Economy Sedan,Available
Q-81339,Kia Pegas,2023,Economy Sedan,Available
Z-24118,Kia Pegas,2023,Standard Sedan,Available
Z-10693,Kia Pegas,2023,Economy Sedan,Available
I-67581,Kia Pegas,2023,Economy Sedan,Available
K-84234,Kia Pegas,2023,Economy Sedan,Available
H-74737,Kia Pegas,2023,Economy Sedan,Available
H-74676,Kia Pegas,2023,Economy Sedan,Available
P-50785,Kia Pegas,2024,Economy Sedan,Available
P-50364,Kia Pegas,2024,Economy Sedan,Available
R-82372,Kia Pegas,2024,Economy Sedan,Available
R-82360,Kia Pegas,2024,Economy Sedan,Available
R-83104,Kia Pegas,2024,Economy Sedan,Available
AA-50313,Kia Pegas,2024,Economy Sedan,Available
AA-50320,Kia Pegas,2024,Economy Sedan,Available
AA-50318,Kia Pegas,2024,Economy Sedan,Available
AA-50316,Kia Pegas,2024,Economy Sedan,Available
R-81668,Kia Pegas,2024,Economy Sedan,Available
P-26011,Kia Picanto,2020,Mini Hatchback,Available
P-26012,Kia Rio,2020,Standard Hatchback,Available
P-82863,Kia Rio,2020,Standard Hatchback,Available
R-96447,Kia Rio,2020,Standard Hatchback,Available
M-49799,Kia Rio,2020,Standard Hatchback,Available
M-40126,Kia Rio,2020,Standard Hatchback,Available
H-29385,Kia Rio,2020,Standard Hatchback,Available
F-91098,Kia Rio,2021,Standard Hatchback,Available
F-92389,Kia Rio,2021,Standard Sedan,Available
M-37254,Kia Seltos,2021,Mid-Size Station,Available
W-69426,Kia Seltos,2021,Mid-Size Station,Available
F-90812,Kia Seltos,2021,Mid-Size Station,Available
F-89719,Kia Seltos,2021,Mid-Size Station,Available
X-58618,Kia Seltos,2022,Mid-Size Station,Available
X-72181,Kia Seltos,2022,Mid-Size Station,Available
X-72182,Kia Seltos,2022,Mid-Size Station,Available
Q-98030,Kia Seltos,2023,Economy Station,Available
Q-96112,Kia Seltos,2023,Economy Station,Available
U-63839,Kia Sportage,2018,Mid-Size Station,Available
V-56254,Kia Sportage,2021,Standard Station,Available
V-56239,Kia Sportage,2021,Premium Station,Available
W-69412,Kia Sportage,2021,Premium Station,Available
S-62854,Mazda 3,2016,Economy Sedan,Available
W-29424,Mazda 3,2019,Economy Sedan,Available
V-91804,Mazda 6,2023,Mid-Size Sedan,Available
W-97137,Mazda 6,2023,Mid-Size Sedan,Available
X-58593,Mazda CX5,2022,Premium Station,Available
X-36674,Mitsubishi ASX,2022,Mid-Size SUV,Available
X-36657,Mitsubishi ASX,2022,Mid-Size SUV,Available
X-16019,Mitsubishi ASX,2022,Mid-Size SUV,Available
X-16020,Mitsubishi ASX,2022,Mid-Size SUV,Available
X-16021,Mitsubishi ASX,2022,Mid-Size SUV,Available
X-16022,Mitsubishi ASX,2022,Mid-Size SUV,Available
