WD,Model,CarName,Reservations,Doors,MemberName,CarPhotoURL,CarKey,Passengers,WeekRentValue,BookingDiscount,MemberNo,Milage,Gear,Seats,MobileSalesMan,CarNo,Region,MonthRentValue,Cylinders,DayRentValue,City
2,2021,LAMBORGHINUI URUS,,4,A M G A RENT A CAR L.L.C.,,80540,5,0.0,0.0,2475,32800,-1,2,00971503694779,85883,Al Garhoud Complex,0.0,4,0.0,Dubai
2,2023,HYUNDAI CRETA,"[{'ReservationKey': 0, 'CarKey': 69965, 'CustomerName': 'Running Contract, 23019', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '6/24/2024 4:22:00 PM', 'ToDateTime': '7/17/2024 4:22:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4,A M G A RENT A CAR L.L.C.,,69965,5,630.0,0.0,2475,50398,-1,2,00971503694779,57187,Al Garhoud Complex,2400.0,4,100.0,Dubai
2,2023,HYUNDAI CRETA,"[{'ReservationKey': 0, 'CarKey': 69966, 'CustomerName': 'Running Contract, 23341', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/29/2024 9:15:00 PM', 'ToDateTime': '7/30/2024 9:15:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4,A M G A RENT A CAR L.L.C.,,69966,5,630.0,0.0,2475,52405,-1,2,00971503694779,57188,Al Garhoud Complex,2400.0,4,100.0,Dubai
2,2023,HYUNDAI CRETA,,4,A M G A RENT A CAR L.L.C.,,69967,5,630.0,0.0,2475,54700,-1,2,00971503694779,57189,Al Garhoud Complex,2400.0,4,100.0,Dubai
2,2023,HYUNDAI CRETA,,4,A M G A RENT A CAR L.L.C.,,69968,5,630.0,0.0,2475,53658,-1,2,00971503694779,57190,Al Garhoud Complex,2400.0,4,100.0,Dubai
2,2023,HYUNDAI CRETA,"[{'ReservationKey': 0, 'CarKey': 69969, 'CustomerName': 'Running Contract, 23339', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/29/2024 9:37:00 PM', 'ToDateTime': '8/4/2024 9:37:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4,A M G A RENT A CAR L.L.C.,,69969,5,630.0,0.0,2475,49655,-1,2,00971503694779,57191,Al Garhoud Complex,2400.0,4,100.0,Dubai
2,2023,HYUNDAI CRETA,,4,A M G A RENT A CAR L.L.C.,,69970,5,630.0,0.0,2475,57378,-1,2,00971503694779,57192,Al Garhoud Complex,2400.0,4,100.0,Dubai
2,2023,HYUNDAI CRETA,"[{'ReservationKey': 0, 'CarKey': 69971, 'CustomerName': 'Running Contract, 23363', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/31/2024 8:34:00 PM', 'ToDateTime': '8/3/2024 8:34:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4,A M G A RENT A CAR L.L.C.,,69971,5,630.0,0.0,2475,56007,-1,2,00971503694779,57193,Al Garhoud Complex,2400.0,4,100.0,Dubai
2,2023,HYUNDAI CRETA,"[{'ReservationKey': 0, 'CarKey': 69972, 'CustomerName': 'Running Contract, 23275', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/23/2024 12:09:00 PM', 'ToDateTime': '8/4/2024 12:09:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4,A M G A RENT A CAR L.L.C.,,69972,5,630.0,0.0,2475,49487,-1,2,00971503694779,57194,Al Garhoud Complex,2400.0,4,100.0,Dubai
2,2023,HYUNDAI CRETA,"[{'ReservationKey': 0, 'CarKey': 69973, 'CustomerName': 'Running Contract, 23299', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/26/2024 11:04:00 AM', 'ToDateTime': '8/2/2024 11:04:00 AM', 'DayRentValue': 0.0, 'Documents': None}]",4,A M G A RENT A CAR L.L.C.,,69973,5,630.0,0.0,2475,60812,-1,2,00971503694779,57195,Al Garhoud Complex,2400.0,4,100.0,Dubai
