DayRentValue,WD,MemberName,WeekRentValue,MonthRentValue,BookingDiscount,Doors,Seats,CarName,Gear,Region,Milage,CarKey,City,CarNo,MemberNo,Passengers,MobileSalesMan,Model,CarPhotoURL,Reservations,Cylinders
0.0,2,A M G A RENT A CAR L.L.C.,0.0,0.0,0.0,4,2,LAMBORGHINUI URUS,-1,Al Garhoud Complex,32800,80540,Dubai,85883,2475,5,00971503694779,2021,,,4
100.0,2,A M G A RENT A CAR L.L.C.,630.0,2400.0,0.0,4,2,HYUNDAI CRETA,-1,Al Garhoud Complex,50398,69965,Dubai,57187,2475,5,00971503694779,2023,,"[{'ReservationKey': 0, 'CarKey': 69965, 'CustomerName': 'Running Contract, 23019', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '6/24/2024 4:22:00 PM', 'ToDateTime': '7/17/2024 4:22:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,A M G A RENT A CAR L.L.C.,630.0,2400.0,0.0,4,2,HYUNDAI CRETA,-1,Al Garhoud Complex,52405,69966,Dubai,57188,2475,5,00971503694779,2023,,"[{'ReservationKey': 0, 'CarKey': 69966, 'CustomerName': 'Running Contract, 23341', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/29/2024 9:15:00 PM', 'ToDateTime': '7/30/2024 9:15:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,A M G A RENT A CAR L.L.C.,630.0,2400.0,0.0,4,2,HYUNDAI CRETA,-1,Al Garhoud Complex,54700,69967,Dubai,57189,2475,5,00971503694779,2023,,,4
100.0,2,A M G A RENT A CAR L.L.C.,630.0,2400.0,0.0,4,2,HYUNDAI CRETA,-1,Al Garhoud Complex,53662,69968,Dubai,57190,2475,5,00971503694779,2023,,"[{'ReservationKey': 0, 'CarKey': 69968, 'CustomerName': 'Running Contract, 23368', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '8/1/2024 5:20:00 PM', 'ToDateTime': '8/9/2024 5:20:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,A M G A RENT A CAR L.L.C.,630.0,2400.0,0.0,4,2,HYUNDAI CRETA,-1,Al Garhoud Complex,49655,69969,Dubai,57191,2475,5,00971503694779,2023,,"[{'ReservationKey': 0, 'CarKey': 69969, 'CustomerName': 'Running Contract, 23339', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/29/2024 9:37:00 PM', 'ToDateTime': '8/4/2024 9:37:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,A M G A RENT A CAR L.L.C.,630.0,2400.0,0.0,4,2,HYUNDAI CRETA,-1,Al Garhoud Complex,57378,69970,Dubai,57192,2475,5,00971503694779,2023,,,4
100.0,2,A M G A RENT A CAR L.L.C.,630.0,2400.0,0.0,4,2,HYUNDAI CRETA,-1,Al Garhoud Complex,56007,69971,Dubai,57193,2475,5,00971503694779,2023,,"[{'ReservationKey': 0, 'CarKey': 69971, 'CustomerName': 'Running Contract, 23363', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/31/2024 8:34:00 PM', 'ToDateTime': '8/3/2024 8:34:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,A M G A RENT A CAR L.L.C.,630.0,2400.0,0.0,4,2,HYUNDAI CRETA,-1,Al Garhoud Complex,49487,69972,Dubai,57194,2475,5,00971503694779,2023,,"[{'ReservationKey': 0, 'CarKey': 69972, 'CustomerName': 'Running Contract, 23275', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/23/2024 12:09:00 PM', 'ToDateTime': '8/4/2024 12:09:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,A M G A RENT A CAR L.L.C.,630.0,2400.0,0.0,4,2,HYUNDAI CRETA,-1,Al Garhoud Complex,60812,69973,Dubai,57195,2475,5,00971503694779,2023,,"[{'ReservationKey': 0, 'CarKey': 69973, 'CustomerName': 'Running Contract, 23299', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/26/2024 11:04:00 AM', 'ToDateTime': '8/2/2024 11:04:00 AM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,A M G A RENT A CAR L.L.C.,630.0,2400.0,0.0,4,2,HYUNDAI CRETA,-1,Al Garhoud Complex,51745,69974,Dubai,57196,2475,5,00971503694779,2023,,"[{'ReservationKey': 0, 'CarKey': 69974, 'CustomerName': 'Running Contract, 23364', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/31/2024 8:43:00 PM', 'ToDateTime': '8/1/2024 8:43:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,A M G A RENT A CAR L.L.C.,630.0,2400.0,0.0,4,2,NISSAN PATROL,-1,Al Garhoud Complex,25649,100345,Dubai,11136,2475,5,00971503694779,2023,,"[{'ReservationKey': 0, 'CarKey': 100345, 'CustomerName': 'Running Contract, 22470', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '4/22/2024 10:06:45 PM', 'ToDateTime': '4/22/2024 10:06:45 PM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,A M G A RENT A CAR L.L.C.,630.0,2400.0,0.0,4,2,HYUNDAI CRETA,-1,Al Garhoud Complex,63026,71356,Dubai,84125,2475,5,00971503694779,2023,,"[{'ReservationKey': 0, 'CarKey': 71356, 'CustomerName': 'Running Contract, 23367', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '8/1/2024 3:41:00 PM', 'ToDateTime': '8/4/2024 3:41:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,A M G A RENT A CAR L.L.C.,630.0,2400.0,0.0,4,2,HYUNDAI CRETA,-1,Al Garhoud Complex,59538,71385,Dubai,84124,2475,5,00971503694779,2023,,"[{'ReservationKey': 0, 'CarKey': 71385, 'CustomerName': 'Running Contract, 23326', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/27/2024 6:22:00 PM', 'ToDateTime': '8/3/2024 6:22:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,A M G A RENT A CAR L.L.C.,630.0,2400.0,0.0,4,2,LAMBORGHINI HURACAN,-1,Al Garhoud Complex,45323,68234,Dubai,85887,2475,5,00971503694779,2022,,,4
100.0,2,A M G A RENT A CAR L.L.C.,630.0,2400.0,0.0,4,2,NISSAN PATROL,-1,Al Garhoud Complex,96461,114025,Dubai,46974,2475,5,00971503694779,2021,,,4
100.0,2,A M G A RENT A CAR L.L.C.,630.0,2400.0,0.0,4,2,MERCEDES G63,-1,Al Garhoud Complex,6429,127633,Dubai,85881,2475,5,00971503694779,2024,,"[{'ReservationKey': 0, 'CarKey': 127633, 'CustomerName': 'Running Contract, 22442', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '4/19/2024 2:00:00 PM', 'ToDateTime': '4/20/2024 2:00:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,A M G A RENT A CAR L.L.C.,630.0,2400.0,0.0,4,2,BMW X5,-1,Al Garhoud Complex,18437,104221,Dubai,58810,2475,5,00971503694779,2024,,,4
100.0,2,A M G A RENT A CAR L.L.C.,630.0,2400.0,0.0,4,2,BMW X6,-1,Al Garhoud Complex,24999,104222,Dubai,59694,2475,5,00971503694779,2024,,,4
100.0,2,A M G A RENT A CAR L.L.C.,630.0,2400.0,0.0,4,2,KIA CARNIVAL,-1,Al Garhoud Complex,23165,141949,Dubai,98295,2475,5,00971503694779,2023,,,4
100.0,2,A M G A RENT A CAR L.L.C.,630.0,2400.0,0.0,4,2,HYUNDAI CRETA,-1,Al Garhoud Complex,46920,71357,Dubai,84123,2475,5,00971503694779,2023,,"[{'ReservationKey': 0, 'CarKey': 71357, 'CustomerName': 'Running Contract, 22865', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '6/4/2024 6:01:00 PM', 'ToDateTime': '6/29/2024 6:01:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,A M G A RENT A CAR L.L.C.,630.0,2400.0,0.0,4,2,CADILLAC ESCALADE,-1,Al Garhoud Complex,105768,39858,Dubai,58934,2475,5,00971503694779,2021,,,4
100.0,2,A M G A RENT A CAR L.L.C.,630.0,2400.0,0.0,4,2,MERCEDES BENZ C-200,-1,Al Garhoud Complex,88180,39859,Dubai,64325,2475,5,00971503694779,2021,,"[{'ReservationKey': 0, 'CarKey': 39859, 'CustomerName': 'Running Contract, 23361', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/31/2024 8:09:00 PM', 'ToDateTime': '8/3/2024 8:09:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,A M G A RENT A CAR L.L.C.,630.0,2400.0,0.0,4,2,NISSAN PATROL,-1,Al Garhoud Complex,62895,39860,Dubai,63530,2475,5,00971503694779,2021,,,4
100.0,2,A M G A RENT A CAR L.L.C.,630.0,2400.0,0.0,4,2,FERRARI F8 SPIDER,-1,Al Garhoud Complex,13761,113406,Dubai,85889,2475,5,00971503694779,2023,,,4
100.0,2,A M G A RENT A CAR L.L.C.,630.0,2400.0,0.0,4,2,HYUNDAI TUCSON,-1,Al Garhoud Complex,73856,39862,Dubai,24598,2475,5,00971503694779,2022,,"[{'ReservationKey': 0, 'CarKey': 39862, 'CustomerName': 'Running Contract, 22908', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '6/11/2024 10:40:00 PM', 'ToDateTime': '7/18/2024 10:40:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4
