Reservations,DayRentValue,CarPhotoURL,City,Region,Doors,Model,CarNo,MemberNo,Gear,BookingDiscount,WeekRentValue,Cylinders,Seats,MobileSalesMan,MemberName,WD,Passengers,MonthRentValue,CarKey,Milage,CarName
,0.0,,Dubai,Al Garhoud Complex,4,2021,85883,2475,-1,0.0,0.0,4,2,00971503694779,A M G A RENT A CAR L.L.C.,2,5,0.0,80540,32800,LAMBORGHINUI URUS
"[{'ReservationKey': 0, 'CarKey': 69965, 'CustomerName': 'Running Contract, 23019', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '6/24/2024 4:22:00 PM', 'ToDateTime': '7/17/2024 4:22:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,Dubai,Al Garhoud Complex,4,2023,57187,2475,-1,0.0,630.0,4,2,00971503694779,A M G A RENT A CAR L.L.C.,2,5,2400.0,69965,50398,HYUNDAI CRETA
"[{'ReservationKey': 0, 'CarKey': 69966, 'CustomerName': 'Running Contract, 23341', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/29/2024 9:15:00 PM', 'ToDateTime': '7/30/2024 9:15:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,Dubai,Al Garhoud Complex,4,2023,57188,2475,-1,0.0,630.0,4,2,00971503694779,A M G A RENT A CAR L.L.C.,2,5,2400.0,69966,52405,HYUNDAI CRETA
,100.0,,Dubai,Al Garhoud Complex,4,2023,57189,2475,-1,0.0,630.0,4,2,00971503694779,A M G A RENT A CAR L.L.C.,2,5,2400.0,69967,54700,HYUNDAI CRETA
"[{'ReservationKey': 0, 'CarKey': 69968, 'CustomerName': 'Running Contract, 23368', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '8/1/2024 5:20:00 PM', 'ToDateTime': '8/9/2024 5:20:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,Dubai,Al Garhoud Complex,4,2023,57190,2475,-1,0.0,630.0,4,2,00971503694779,A M G A RENT A CAR L.L.C.,2,5,2400.0,69968,53662,HYUNDAI CRETA
"[{'ReservationKey': 0, 'CarKey': 69969, 'CustomerName': 'Running Contract, 23339', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/29/2024 9:37:00 PM', 'ToDateTime': '8/4/2024 9:37:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,Dubai,Al Garhoud Complex,4,2023,57191,2475,-1,0.0,630.0,4,2,00971503694779,A M G A RENT A CAR L.L.C.,2,5,2400.0,69969,49655,HYUNDAI CRETA
,100.0,,Dubai,Al Garhoud Complex,4,2023,57192,2475,-1,0.0,630.0,4,2,00971503694779,A M G A RENT A CAR L.L.C.,2,5,2400.0,69970,57378,HYUNDAI CRETA
"[{'ReservationKey': 0, 'CarKey': 69971, 'CustomerName': 'Running Contract, 23363', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/31/2024 8:34:00 PM', 'ToDateTime': '8/3/2024 8:34:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,Dubai,Al Garhoud Complex,4,2023,57193,2475,-1,0.0,630.0,4,2,00971503694779,A M G A RENT A CAR L.L.C.,2,5,2400.0,69971,56007,HYUNDAI CRETA
"[{'ReservationKey': 0, 'CarKey': 69972, 'CustomerName': 'Running Contract, 23275', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/23/2024 12:09:00 PM', 'ToDateTime': '8/4/2024 12:09:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,Dubai,Al Garhoud Complex,4,2023,57194,2475,-1,0.0,630.0,4,2,00971503694779,A M G A RENT A CAR L.L.C.,2,5,2400.0,69972,49487,HYUNDAI CRETA
"[{'ReservationKey': 0, 'CarKey': 69973, 'CustomerName': 'Running Contract, 23299', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/26/2024 11:04:00 AM', 'ToDateTime': '8/2/2024 11:04:00 AM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,Dubai,Al Garhoud Complex,4,2023,57195,2475,-1,0.0,630.0,4,2,00971503694779,A M G A RENT A CAR L.L.C.,2,5,2400.0,69973,60812,HYUNDAI CRETA
