WD,Model,CarName,Reservations,Doors,MemberName,CarPhotoURL,CarKey,Passengers,WeekRentValue,BookingDiscount,MemberNo,Milage,Gear,Seats,MobileSalesMan,CarNo,Region,MonthRentValue,Cylinders,DayRentValue,City
2,2024,CITROEN C4,,4,AL MONSEF RENT A CAR L.L.C.,,128768,5,630.0,0.0,2369,10923,-1,2,00971525264314,53170,BUSINESS BAY,2400.0,4,100.0,Dubai
2,2024,CITROEN C4,"[{'ReservationKey': 0, 'CarKey': 135176, 'CustomerName': 'Running Contract, 1408', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/28/2024 4:37:00 PM', 'ToDateTime': '8/2/2024 4:37:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4,AL MONSEF RENT A CAR L.L.C.,,135176,5,630.0,0.0,2369,5257,-1,2,00971525264314,98468,BUSINESS BAY,2400.0,4,100.0,Dubai
2,2024,CITROEN C4,"[{'ReservationKey': 0, 'CarKey': 135177, 'CustomerName': 'Running Contract, 1176', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '5/8/2024 12:18:00 PM', 'ToDateTime': '8/6/2024 12:18:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4,AL MONSEF RENT A CAR L.L.C.,,135177,5,630.0,0.0,2369,20,-1,2,00971525264314,98467,BUSINESS BAY,2400.0,4,100.0,Dubai
2,2024,RENAULT DUSTER,"[{'ReservationKey': 0, 'CarKey': 127219, 'CustomerName': 'Running Contract, 1423', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/31/2024 6:57:00 PM', 'ToDateTime': '8/7/2024 6:57:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4,AL MONSEF RENT A CAR L.L.C.,,127219,5,630.0,0.0,2369,14063,-1,2,00971525264314,36052,BUSINESS BAY,2400.0,4,100.0,Dubai
2,2024,RENAULT DUSTER,,4,AL MONSEF RENT A CAR L.L.C.,,127220,5,630.0,0.0,2369,10093,-1,2,00971525264314,36022,BUSINESS BAY,2400.0,4,100.0,Dubai
2,2024,RENAULT DUSTER,,4,AL MONSEF RENT A CAR L.L.C.,,127221,5,630.0,0.0,2369,14358,-1,2,00971525264314,36016,BUSINESS BAY,2400.0,4,100.0,Dubai
2,2024,RENAULT DUSTER,"[{'ReservationKey': 0, 'CarKey': 127222, 'CustomerName': 'Running Contract, 1311', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '6/21/2024 5:38:00 PM', 'ToDateTime': '8/20/2024 5:38:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4,AL MONSEF RENT A CAR L.L.C.,,127222,5,630.0,0.0,2369,10562,-1,2,00971525264314,36107,BUSINESS BAY,2400.0,4,100.0,Dubai
2,2024,RENAULT DUSTER,,4,AL MONSEF RENT A CAR L.L.C.,,127223,5,630.0,0.0,2369,10381,-1,2,00971525264314,36097,BUSINESS BAY,2400.0,4,100.0,Dubai
2,2024,RENAULT MEGAN,"[{'ReservationKey': 0, 'CarKey': 127224, 'CustomerName': 'Running Contract, 1072', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '4/5/2024 3:09:00 PM', 'ToDateTime': '8/3/2024 3:09:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4,AL MONSEF RENT A CAR L.L.C.,,127224,5,630.0,0.0,2369,4784,-1,2,00971525264314,36059,BUSINESS BAY,2400.0,4,100.0,Dubai
2,2024,RENAULT MEGAN,"[{'ReservationKey': 0, 'CarKey': 127225, 'CustomerName': 'Running Contract, 1231', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '5/25/2024 5:30:00 PM', 'ToDateTime': '8/23/2024 5:30:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4,AL MONSEF RENT A CAR L.L.C.,,127225,5,630.0,0.0,2369,8193,-1,2,00971525264314,36057,BUSINESS BAY,2400.0,4,100.0,Dubai
2,2024,RENAULT MEGAN,"[{'ReservationKey': 0, 'CarKey': 127226, 'CustomerName': 'Running Contract, 1287', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '6/10/2024 6:55:00 PM', 'ToDateTime': '7/25/2024 6:55:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4,AL MONSEF RENT A CAR L.L.C.,,127226,5,630.0,0.0,2369,15715,-1,2,00971525264314,36089,BUSINESS BAY,2400.0,4,100.0,Dubai
2,2024,MG ZS,,4,AL MONSEF RENT A CAR L.L.C.,,127227,5,630.0,0.0,2369,10642,-1,2,00971525264314,96639,BUSINESS BAY,2400.0,4,100.0,Dubai
