WD,Model,CarName,Reservations,Doors,MemberName,CarPhotoURL,CarKey,Passengers,WeekRentValue,BookingDiscount,MemberNo,Milage,Gear,Seats,MobileSalesMan,CarNo,Region,MonthRentValue,Cylinders,DayRentValue,City
2,2019,MG 360,"[{'ReservationKey': 0, 'CarKey': 3431, 'CustomerName': 'Running Contract, 1348', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '6/24/2024 8:00:00 PM', 'ToDateTime': '7/24/2024 8:00:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4,AUTOBOTS RENT A CAR L.L.C.,,3431,5,0.0,-1.0,2826,140945,-1,2,00971561962872,56142,UAE,0.0,4,100.0,DUBAI
2,2021,MG 360,"[{'ReservationKey': 0, 'CarKey': 3437, 'CustomerName': 'Running Contract, 1378', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/28/2024 3:30:00 PM', 'ToDateTime': '8/27/2024 3:30:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4,AUTOBOTS RENT A CAR L.L.C.,,3437,5,0.0,-1.0,2826,135123,-1,2,00971561962872,95542,UAE,0.0,4,100.0,DUBAI
2,2019,MG 360,,4,AUTOBOTS RENT A CAR L.L.C.,,3443,5,0.0,-1.0,2826,178012,-1,2,00971561962872,62998,UAE,0.0,4,100.0,DUBAI
2,2019,MG 360,"[{'ReservationKey': 0, 'CarKey': 3449, 'CustomerName': 'Running Contract, 1232', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '3/25/2024 3:15:00 PM', 'ToDateTime': '4/24/2024 3:15:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4,AUTOBOTS RENT A CAR L.L.C.,,3449,5,0.0,-1.0,2826,169254,-1,2,00971561962872,35105,UAE,0.0,4,100.0,DUBAI
2,2019,MG 360,,4,AUTOBOTS RENT A CAR L.L.C.,,3455,5,0.0,-1.0,2826,128305,-1,2,00971561962872,38767,UAE,0.0,4,100.0,DUBAI
2,2019,MG 360,,4,AUTOBOTS RENT A CAR L.L.C.,,3461,5,630.0,-1.0,2826,180145,-1,2,00971561962872,68024,UAE,2400.0,4,100.0,DUBAI
2,2019,MG 360,"[{'ReservationKey': 0, 'CarKey': 3470, 'CustomerName': 'Running Contract, 1373', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/23/2024 1:30:00 PM', 'ToDateTime': '7/24/2024 1:30:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4,AUTOBOTS RENT A CAR L.L.C.,,3470,5,630.0,-1.0,2826,155753,-1,2,00971561962872,76102,UAE,2400.0,4,100.0,DUBAI
2,2019,FORD MUSTANG,,4,AUTOBOTS RENT A CAR L.L.C.,,3409,5,0.0,-1.0,2826,96610,-1,2,00971561962872,95490,UAE,0.0,4,100.0,DUBAI
2,2019,MG 360,"[{'ReservationKey': 0, 'CarKey': 3415, 'CustomerName': 'Running Contract, 997', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '11/9/2023 8:41:00 PM', 'ToDateTime': '11/3/2024 8:41:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4,AUTOBOTS RENT A CAR L.L.C.,,3415,5,0.0,-1.0,2826,181000,-1,2,00971561962872,32136,UAE,0.0,4,100.0,DUBAI
2,2021,MIT ATTRAGE,"[{'ReservationKey': 0, 'CarKey': 3423, 'CustomerName': 'Running Contract, 1307', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '5/18/2024 7:10:00 PM', 'ToDateTime': '6/17/2024 7:10:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4,AUTOBOTS RENT A CAR L.L.C.,,3423,5,630.0,-1.0,2826,33183,-1,2,00971561962872,54479,UAE,2400.0,4,100.0,DUBAI
