DayRentValue,WD,MemberName,WeekRentValue,MonthRentValue,BookingDiscount,Doors,Seats,CarName,Gear,Region,Milage,CarKey,City,CarNo,MemberNo,Passengers,MobileSalesMan,Model,CarPhotoURL,Reservations,Cylinders
100.0,2,AUTOBOTS RENT A CAR L.L.C.,0.0,0.0,-1.0,4,2,MG 360,-1,UAE,140945,3431,DUBAI,56142,2826,5,00971561962872,2019,,"[{'ReservationKey': 0, 'CarKey': 3431, 'CustomerName': 'Running Contract, 1348', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '6/24/2024 8:00:00 PM', 'ToDateTime': '7/24/2024 8:00:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,AUTOBOTS RENT A CAR L.L.C.,0.0,0.0,-1.0,4,2,MG 360,-1,UAE,135123,3437,DUBAI,95542,2826,5,00971561962872,2021,,"[{'ReservationKey': 0, 'CarKey': 3437, 'CustomerName': 'Running Contract, 1378', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/28/2024 3:30:00 PM', 'ToDateTime': '8/27/2024 3:30:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,AUTOBOTS RENT A CAR L.L.C.,0.0,0.0,-1.0,4,2,MG 360,-1,UAE,178012,3443,DUBAI,62998,2826,5,00971561962872,2019,,,4
100.0,2,AUTOBOTS RENT A CAR L.L.C.,0.0,0.0,-1.0,4,2,MG 360,-1,UAE,169254,3449,DUBAI,35105,2826,5,00971561962872,2019,,"[{'ReservationKey': 0, 'CarKey': 3449, 'CustomerName': 'Running Contract, 1232', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '3/25/2024 3:15:00 PM', 'ToDateTime': '4/24/2024 3:15:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,AUTOBOTS RENT A CAR L.L.C.,0.0,0.0,-1.0,4,2,MG 360,-1,UAE,128305,3455,DUBAI,38767,2826,5,00971561962872,2019,,,4
100.0,2,AUTOBOTS RENT A CAR L.L.C.,630.0,2400.0,-1.0,4,2,MG 360,-1,UAE,155753,3470,DUBAI,76102,2826,5,00971561962872,2019,,"[{'ReservationKey': 0, 'CarKey': 3470, 'CustomerName': 'Running Contract, 1373', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/23/2024 1:30:00 PM', 'ToDateTime': '7/24/2024 1:30:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,AUTOBOTS RENT A CAR L.L.C.,0.0,0.0,-1.0,4,2,MG 360,-1,UAE,181000,3415,DUBAI,32136,2826,5,00971561962872,2019,,"[{'ReservationKey': 0, 'CarKey': 3415, 'CustomerName': 'Running Contract, 997', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '11/9/2023 8:41:00 PM', 'ToDateTime': '11/3/2024 8:41:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,AUTOBOTS RENT A CAR L.L.C.,630.0,2400.0,-1.0,4,2,MIT ATTRAGE,-1,UAE,33183,3423,DUBAI,54479,2826,5,00971561962872,2021,,"[{'ReservationKey': 0, 'CarKey': 3423, 'CustomerName': 'Running Contract, 1307', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '5/18/2024 7:10:00 PM', 'ToDateTime': '6/17/2024 7:10:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,AUTOBOTS RENT A CAR L.L.C.,630.0,2400.0,-1.0,4,2,MERCEDES GLA,-1,UAE,45690,80676,DUBAI,7495,2826,5,00971561962872,2022,,"[{'ReservationKey': 0, 'CarKey': 80676, 'CustomerName': 'Running Contract, 62', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '6/27/2021 8:30:00 PM', 'ToDateTime': '6/27/2021 8:30:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,AUTOBOTS RENT A CAR L.L.C.,630.0,2400.0,-1.0,4,2,NISSAN SUNNY,-1,UAE,0,80683,DUBAI,75284,2826,5,00971561962872,2022,,,4
