WD,Model,CarName,Reservations,Doors,MemberName,CarPhotoURL,CarKey,Passengers,WeekRentValue,BookingDiscount,MemberNo,Milage,Gear,Seats,MobileSalesMan,CarNo,Region,MonthRentValue,Cylinders,DayRentValue,City
2,2021,BMW430 CONV,"[{'ReservationKey': 0, 'CarKey': 112678, 'CustomerName': 'Running Contract, 15837', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/31/2024 12:10:00 PM', 'ToDateTime': '8/8/2024 12:10:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4,AVENTADOR 1 CAR RENTAL,,112678,5,630.0,0.0,2047,40067,-1,2,00971522257090,16485,al khabasi,2400.0,4,100.0,deira
2,2021,LEXUS GX 460,,4,AVENTADOR 1 CAR RENTAL,,112680,5,630.0,0.0,2047,17777,-1,2,00971522257090,64990,al khabasi,2400.0,4,100.0,deira
2,2019,ROLLS ROYCE GHOST,,4,AVENTADOR 1 CAR RENTAL,,112681,5,630.0,0.0,2047,47122,-1,2,00971522257090,96800,al khabasi,2400.0,4,100.0,deira
2,2020,RANGE ROVER DEFENDER,,4,AVENTADOR 1 CAR RENTAL,,83404,5,630.0,0.0,2047,44680,-1,2,00971522257090,20943,al khabasi,2400.0,4,100.0,deira
2,2023,RANGE VOUGE AUTO,"[{'ReservationKey': 0, 'CarKey': 87542, 'CustomerName': 'Running Contract, 15693', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/4/2024 7:43:00 PM', 'ToDateTime': '8/3/2024 7:43:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4,AVENTADOR 1 CAR RENTAL,,87542,5,630.0,0.0,2047,43481,-1,2,00971522257090,23800,al khabasi,2400.0,4,100.0,deira
2,2023,MERCEDES S500,,4,AVENTADOR 1 CAR RENTAL,,87546,5,630.0,0.0,2047,25487,-1,2,00971522257090,83500,al khabasi,2400.0,4,100.0,deira
2,2021,MERCEDES E300,,4,AVENTADOR 1 CAR RENTAL,,87547,5,630.0,0.0,2047,63575,-1,2,00971522257090,57015,al khabasi,2400.0,4,100.0,deira
2,2020,MERCEDES G63,,4,AVENTADOR 1 CAR RENTAL,,69308,5,630.0,0.0,2047,79342,-1,2,00971522257090,38600,al khabasi,2400.0,4,100.0,deira
2,2021,RANGE DISCOVERY,,4,AVENTADOR 1 CAR RENTAL,,69309,5,630.0,0.0,2047,37102,-1,2,00971522257090,50574,al khabasi,2400.0,4,100.0,deira
2,2020,JAGUAR F-PACE,"[{'ReservationKey': 0, 'CarKey': 69310, 'CustomerName': 'Running Contract, 13409', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '11/21/2023 7:11:00 PM', 'ToDateTime': '11/22/2023 7:11:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4,AVENTADOR 1 CAR RENTAL,,69310,5,630.0,0.0,2047,41043,-1,2,00971522257090,52640,al khabasi,2400.0,4,100.0,deira
2,2020,NISSAN ARMADA,,4,AVENTADOR 1 CAR RENTAL,,69311,5,630.0,0.0,2047,61445,-1,2,00971522257090,50570,al khabasi,2400.0,4,100.0,deira
2,2021,FORD MUSTANG,,4,AVENTADOR 1 CAR RENTAL,,69312,5,630.0,0.0,2047,83677,-1,2,00971522257090,50620,al khabasi,2400.0,4,100.0,deira
2,2020,PORSCHE PANAMERA,,4,AVENTADOR 1 CAR RENTAL,,69440,5,630.0,0.0,2047,66509,-1,2,00971522257090,52558,al khabasi,2400.0,4,100.0,deira
2,2024,MERCEDES E450 CONVERTIBLE,,4,AVENTADOR 1 CAR RENTAL,,135249,5,630.0,0.0,2047,31640,-1,2,00971522257090,86245,al khabasi,2400.0,4,100.0,deira
2,2022,DEFENDER,"[{'ReservationKey': 0, 'CarKey': 126275, 'CustomerName': 'Running Contract, 16274', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/31/2024 9:38:00 PM', 'ToDateTime': '8/3/2024 9:38:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4,AVENTADOR 1 CAR RENTAL,,126275,5,630.0,0.0,2047,102564,-1,2,00971522257090,13764,al khabasi,2400.0,4,100.0,deira
2,2022,MERCEDES E450 CONVERTIBLE,"[{'ReservationKey': 0, 'CarKey': 126276, 'CustomerName': 'Running Contract, 15843', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/31/2024 3:43:25 PM', 'ToDateTime': '8/3/2024 3:43:25 PM', 'DayRentValue': 0.0, 'Documents': None}]",4,AVENTADOR 1 CAR RENTAL,,126276,5,630.0,0.0,2047,40805,-1,2,00971522257090,87857,al khabasi,2400.0,4,100.0,deira
2,2024,BMW 740,"[{'ReservationKey': 0, 'CarKey': 126277, 'CustomerName': 'Running Contract, 15641', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '6/27/2024 11:30:00 PM', 'ToDateTime': '7/1/2024 11:30:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4,AVENTADOR 1 CAR RENTAL,,126277,5,630.0,0.0,2047,36575,-1,2,00971522257090,12724,al khabasi,2400.0,4,100.0,deira
2,2020,LAMBO URUS,,4,AVENTADOR 1 CAR RENTAL,,112679,5,630.0,0.0,2047,68026,-1,2,00971522257090,98600,al khabasi,2400.0,4,100.0,deira
2,2021,MERCEDES C300,"[{'ReservationKey': 0, 'CarKey': 68901, 'CustomerName': 'Running Contract, 15810', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/22/2024 10:35:49 PM', 'ToDateTime': '7/24/2024 10:35:49 PM', 'DayRentValue': 0.0, 'Documents': None}]",4,AVENTADOR 1 CAR RENTAL,,68901,5,630.0,0.0,2047,66394,-1,2,00971522257090,37405,al khabasi,2400.0,4,100.0,deira
2,2022,ROLLS ROYCE GHOST,"[{'ReservationKey': 0, 'CarKey': 117074, 'CustomerName': 'Running Contract, 15839', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/26/2024 8:58:31 PM', 'ToDateTime': '7/27/2024 8:58:31 PM', 'DayRentValue': 0.0, 'Documents': None}]",4,AVENTADOR 1 CAR RENTAL,,117074,5,630.0,0.0,2047,12382,-1,2,00971522257090,86900,al khabasi,2400.0,4,100.0,deira
2,2022,MERCEDES CLA,,4,AVENTADOR 1 CAR RENTAL,,68917,5,630.0,0.0,2047,54449,-1,2,00971522257090,31764,al khabasi,2400.0,4,100.0,deira
2,2020,RANGE ROVER EVOQUE,,4,AVENTADOR 1 CAR RENTAL,,120190,5,630.0,0.0,2047,86480,-1,2,00971522257090,74544,al khabasi,2400.0,4,100.0,deira
2,2020,LAND ROVER DEFENDER,"[{'ReservationKey': 0, 'CarKey': 120191, 'CustomerName': 'Running Contract, 15862', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/30/2024 12:15:00 PM', 'ToDateTime': '7/31/2024 12:15:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4,AVENTADOR 1 CAR RENTAL,,120191,5,630.0,0.0,2047,23480,-1,2,00971522257090,74584,al khabasi,2400.0,4,100.0,deira
2,2021,MERCEDES C300,,4,AVENTADOR 1 CAR RENTAL,,83401,5,630.0,0.0,2047,43975,-1,2,00971522257090,39980,al khabasi,2400.0,4,100.0,deira
2,2021,BMW X3,"[{'ReservationKey': 0, 'CarKey': 83402, 'CustomerName': 'Running Contract, 13159', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '11/1/2023 7:58:52 PM', 'ToDateTime': '11/1/2023 7:58:52 PM', 'DayRentValue': 0.0, 'Documents': None}]",4,AVENTADOR 1 CAR RENTAL,,83402,5,630.0,0.0,2047,36042,-1,2,00971522257090,39532,al khabasi,2400.0,4,100.0,deira
2,2020,MERCEDES GLB250,,4,AVENTADOR 1 CAR RENTAL,,83403,5,630.0,0.0,2047,113852,-1,2,00971522257090,18463,al khabasi,2400.0,4,100.0,deira
2,2020,SVR ,"[{'ReservationKey': 0, 'CarKey': 120330, 'CustomerName': 'Running Contract, 15679', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/2/2024 11:10:45 PM', 'ToDateTime': '7/3/2024 11:10:45 PM', 'DayRentValue': 0.0, 'Documents': None}]",4,AVENTADOR 1 CAR RENTAL,,120330,5,630.0,0.0,2047,32425,-1,2,00971522257090,87380,al khabasi,2400.0,4,100.0,deira
2,2020,RANGE ROVER VELAR,"[{'ReservationKey': 0, 'CarKey': 68296, 'CustomerName': 'Running Contract, 15857', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/28/2024 8:56:48 PM', 'ToDateTime': '8/2/2024 8:56:48 PM', 'DayRentValue': 0.0, 'Documents': None}]",4,AVENTADOR 1 CAR RENTAL,,68296,5,630.0,0.0,2047,38449,-1,2,00971522257090,98614,al khabasi,2400.0,4,100.0,deira
2,2022,MERCEDES GLC43,,4,AVENTADOR 1 CAR RENTAL,,68304,5,630.0,0.0,2047,67256,-1,2,00971522257090,47694,al khabasi,2400.0,4,100.0,deira
2,2023,MERCEDES C300 ,"[{'ReservationKey': 0, 'CarKey': 128260, 'CustomerName': 'Running Contract, 15841', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/31/2024 1:19:56 PM', 'ToDateTime': '8/3/2024 1:19:56 PM', 'DayRentValue': 0.0, 'Documents': None}]",4,AVENTADOR 1 CAR RENTAL,,128260,5,630.0,0.0,2047,21814,-1,2,00971522257090,49530,al khabasi,2400.0,4,100.0,deira
2,2024,RANGE SPORTS,"[{'ReservationKey': 0, 'CarKey': 128262, 'CustomerName': 'Running Contract, 15851', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/27/2024 8:04:27 PM', 'ToDateTime': '7/29/2024 8:04:27 PM', 'DayRentValue': 0.0, 'Documents': None}]",4,AVENTADOR 1 CAR RENTAL,,128262,5,630.0,0.0,2047,8041,-1,2,00971522257090,58700,al khabasi,2400.0,4,100.0,deira
2,2023,LAMBORGHINI URUS,,4,AVENTADOR 1 CAR RENTAL,,124031,5,630.0,0.0,2047,57616,-1,2,00971522257090,49600,al khabasi,2400.0,4,100.0,deira
2,2022,RR CULINAN,,4,AVENTADOR 1 CAR RENTAL,,124032,5,630.0,0.0,2047,7896,-1,2,00971522257090,4845,al khabasi,2400.0,4,100.0,deira
2,2019,MERCEDES GT63,,4,AVENTADOR 1 CAR RENTAL,,117058,5,630.0,0.0,2047,60941,-1,2,00971522257090,89684,al khabasi,2400.0,4,100.0,deira
2,2019,MERCEDES C300 CONV,,4,AVENTADOR 1 CAR RENTAL,,117059,5,630.0,0.0,2047,24052,-1,2,00971522257090,85361,al khabasi,2400.0,4,100.0,deira
2,2021,CADILLAC ESCALLADE,,4,AVENTADOR 1 CAR RENTAL,,98449,5,630.0,0.0,2047,104232,-1,2,00971522257090,87205,al khabasi,2400.0,4,100.0,deira
2,2020,JAQUAR ,,4,AVENTADOR 1 CAR RENTAL,,98450,5,630.0,0.0,2047,65633,-1,2,00971522257090,58046,al khabasi,2400.0,4,100.0,deira
2,2020,BMW X7,,4,AVENTADOR 1 CAR RENTAL,,119946,5,630.0,0.0,2047,17769,-1,2,00971522257090,69041,al khabasi,2400.0,4,100.0,deira
2,2021,AUDI Q5,,4,AVENTADOR 1 CAR RENTAL,,70517,5,630.0,0.0,2047,45332,-1,2,00971522257090,79565,al khabasi,2400.0,4,100.0,deira
2,2018,FERRARI-488,"[{'ReservationKey': 0, 'CarKey': 98251, 'CustomerName': 'Running Contract, 12698', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '8/30/2023 3:39:00 PM', 'ToDateTime': '8/30/2023 3:39:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4,AVENTADOR 1 CAR RENTAL,,98251,5,630.0,0.0,2047,144084,-1,2,00971522257090,15793,al khabasi,2400.0,4,100.0,deira
2,2022,NISSAN PATROL,,4,AVENTADOR 1 CAR RENTAL,,93653,5,630.0,0.0,2047,12677,-1,2,00971522257090,6354,al khabasi,2400.0,4,100.0,deira
2,2021,BENTLEY CONTINENTAL,,4,AVENTADOR 1 CAR RENTAL,,95178,5,630.0,0.0,2047,19434,-1,2,00971522257090,94948,al khabasi,2400.0,4,100.0,deira
2,2021,MERCEDES GLE53,,4,AVENTADOR 1 CAR RENTAL,,68297,5,630.0,0.0,2047,75995,-1,2,00971522257090,42378,al khabasi,2400.0,4,100.0,deira
2,2022,BENTLEY BENTAYGA,,4,AVENTADOR 1 CAR RENTAL,,68299,5,630.0,0.0,2047,35800,-1,2,00971522257090,62405,al khabasi,2400.0,4,100.0,deira
2,2020,CHEVROLET MALIBU,"[{'ReservationKey': 0, 'CarKey': 78532, 'CustomerName': 'Running Contract, 16295', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '8/1/2024 5:05:00 PM', 'ToDateTime': '8/4/2024 5:05:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4,AVENTADOR 1 CAR RENTAL,,78532,5,630.0,0.0,2047,22645,-1,2,00971522257090,43328,al khabasi,2400.0,4,100.0,deira
2,2024,CULLINAN,,4,AVENTADOR 1 CAR RENTAL,,127685,5,630.0,0.0,2047,56715,-1,2,00971522257090,9448,al khabasi,2400.0,4,100.0,deira
2,2024,LAMBORGHINI URUS,,4,AVENTADOR 1 CAR RENTAL,,132483,5,630.0,0.0,2047,128122,-1,2,00971522257090,43123,al khabasi,2400.0,4,100.0,deira
2,2020,DODGE CHARGER,,4,AVENTADOR 1 CAR RENTAL,,70513,5,630.0,0.0,2047,97162,-1,2,00971522257090,79896,al khabasi,2400.0,4,100.0,deira
2,2019,MASERATI GHIBLI,"[{'ReservationKey': 0, 'CarKey': 70514, 'CustomerName': 'Running Contract, 13833', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '12/28/2023 1:22:35 PM', 'ToDateTime': '12/29/2023 1:22:35 PM', 'DayRentValue': 0.0, 'Documents': None}]",4,AVENTADOR 1 CAR RENTAL,,70514,5,630.0,0.0,2047,51949,-1,2,00971522257090,79563,al khabasi,2400.0,4,100.0,deira
2,2020,BMW 740-XI,,4,AVENTADOR 1 CAR RENTAL,,70516,5,630.0,0.0,2047,74754,-1,2,00971522257090,79604,al khabasi,2400.0,4,100.0,deira
2,2021,BMW 330-I,,4,AVENTADOR 1 CAR RENTAL,,70518,5,630.0,0.0,2047,0,-1,2,00971522257090,82646,al khabasi,2400.0,4,100.0,deira
2,2024,BMW 740,,4,AVENTADOR 1 CAR RENTAL,,134781,5,630.0,0.0,2047,12754,-1,2,00971522257090,93865,al khabasi,2400.0,4,100.0,deira
2,2021,PORSCHE CAYENNE,,4,AVENTADOR 1 CAR RENTAL,,22142,5,630.0,0.0,2047,112276,-1,2,00971522257090,89705,al khabasi,2400.0,4,100.0,deira
2,2022,MERCEDES S580,,4,AVENTADOR 1 CAR RENTAL,,22148,5,630.0,0.0,2047,47010,-1,2,00971522257090,86300,al khabasi,2400.0,4,100.0,deira
2,2021,BMW 740,,4,AVENTADOR 1 CAR RENTAL,,22151,5,630.0,0.0,2047,72413,-1,2,00971522257090,19850,al khabasi,2400.0,4,100.0,deira
2,2021,MERCEDES A220,,4,AVENTADOR 1 CAR RENTAL,,22154,5,630.0,0.0,2047,90027,-1,2,00971522257090,21428,al khabasi,2400.0,4,100.0,deira
2,2021,MERCEDES G63,"[{'ReservationKey': 0, 'CarKey': 22157, 'CustomerName': 'Running Contract, 16291', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '8/1/2024 3:54:00 PM', 'ToDateTime': '8/2/2024 3:54:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4,AVENTADOR 1 CAR RENTAL,,22157,5,630.0,0.0,2047,12375,-1,2,00971522257090,68500,al khabasi,2400.0,4,100.0,deira
2,2020,MERCEDES CLA,,4,AVENTADOR 1 CAR RENTAL,,22160,5,630.0,0.0,2047,85351,-1,2,00971522257090,45319,al khabasi,2400.0,4,100.0,deira
2,2020,MERCEDES GLE53,,4,AVENTADOR 1 CAR RENTAL,,22163,5,630.0,0.0,2047,142125,-1,2,00971522257090,41968,al khabasi,2400.0,4,100.0,deira
2,2020,FORD FUSION,"[{'ReservationKey': 0, 'CarKey': 22166, 'CustomerName': 'Running Contract, 16278', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '8/1/2024 9:30:00 AM', 'ToDateTime': '8/2/2024 9:30:00 AM', 'DayRentValue': 0.0, 'Documents': None}]",4,AVENTADOR 1 CAR RENTAL,,22166,5,630.0,0.0,2047,147007,-1,2,00971522257090,85547,al khabasi,2400.0,4,100.0,deira
2,2021,CADILLAC ESCALADE,"[{'ReservationKey': 0, 'CarKey': 22141, 'CustomerName': 'Running Contract, 14791', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '3/5/2024 11:43:26 AM', 'ToDateTime': '3/5/2024 11:43:26 AM', 'DayRentValue': 0.0, 'Documents': None}]",4,AVENTADOR 1 CAR RENTAL,,22141,5,630.0,0.0,2047,50772,-1,2,00971522257090,24499,al khabasi,2400.0,4,100.0,deira
2,2020,PORSCHE 911 CARRERA,,4,AVENTADOR 1 CAR RENTAL,,22144,5,630.0,0.0,2047,42204,-1,2,00971522257090,85307,al khabasi,2400.0,4,100.0,deira
2,2020,MERCEDES GLE53,,4,AVENTADOR 1 CAR RENTAL,,22150,5,630.0,0.0,2047,54671,-1,2,00971522257090,25723,al khabasi,2400.0,4,100.0,deira
2,2021,FIAT 500,"[{'ReservationKey': 0, 'CarKey': 22153, 'CustomerName': 'Running Contract, 15858', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/29/2024 10:47:01 AM', 'ToDateTime': '8/3/2024 10:47:01 AM', 'DayRentValue': 0.0, 'Documents': None}]",4,AVENTADOR 1 CAR RENTAL,,22153,5,630.0,0.0,2047,44464,-1,2,00971522257090,23719,al khabasi,2400.0,4,100.0,deira
2,2022,CHEVROLET TAHOE,"[{'ReservationKey': 0, 'CarKey': 22156, 'CustomerName': 'Running Contract, 15823', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/25/2024 12:19:00 PM', 'ToDateTime': '8/2/2024 12:19:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4,AVENTADOR 1 CAR RENTAL,,22156,5,630.0,0.0,2047,57426,-1,2,00971522257090,52192,al khabasi,2400.0,4,100.0,deira
2,2019,MERCEDES A220,,4,AVENTADOR 1 CAR RENTAL,,22162,5,630.0,0.0,2047,96974,-1,2,00971522257090,42948,al khabasi,2400.0,4,100.0,deira
2,2021,FORD RAPTOR 150,,4,AVENTADOR 1 CAR RENTAL,,22165,5,630.0,0.0,2047,73435,-1,2,00971522257090,60165,al khabasi,2400.0,4,100.0,deira
2,2016,Mercedes AMG GTS,,4,AVENTADOR 1 CAR RENTAL,,21942,5,630.0,0.0,2047,204850,-1,2,00971522257090,82670,al khabasi,2400.0,4,100.0,deira
2,2022,MERCEDES CLA250,"[{'ReservationKey': 0, 'CarKey': 78210, 'CustomerName': 'Running Contract, 15872', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/31/2024 7:40:03 PM', 'ToDateTime': '8/4/2024 7:40:03 PM', 'DayRentValue': 0.0, 'Documents': None}]",4,AVENTADOR 1 CAR RENTAL,,78210,5,630.0,0.0,2047,26895,-1,2,00971522257090,43074,al khabasi,2400.0,4,100.0,deira
2,2014,YARIS,,4,AVENTADOR 1 CAR RENTAL,,21957,5,630.0,0.0,2047,15000,-1,2,00971522257090,84229,al khabasi,2400.0,4,100.0,deira
