DayRentValue,WD,MemberName,WeekRentValue,MonthRentValue,BookingDiscount,Doors,Seats,CarName,Gear,Region,Milage,CarKey,City,CarNo,MemberNo,Passengers,MobileSalesMan,Model,CarPhotoURL,Reservations,Cylinders
100.0,2,AVENTADOR 1 CAR RENTAL,630.0,2400.0,0.0,4,2,BMW430 CONV,-1,al khabasi,40067,112678,deira,16485,2047,5,00971522257090,2021,,"[{'ReservationKey': 0, 'CarKey': 112678, 'CustomerName': 'Running Contract, 15837', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/31/2024 12:10:00 PM', 'ToDateTime': '8/8/2024 12:10:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,AVENTADOR 1 CAR RENTAL,630.0,2400.0,0.0,4,2,LEXUS GX 460,-1,al khabasi,17777,112680,deira,64990,2047,5,00971522257090,2021,,,4
100.0,2,AVENTADOR 1 CAR RENTAL,630.0,2400.0,0.0,4,2,ROLLS ROYCE GHOST,-1,al khabasi,47122,112681,deira,96800,2047,5,00971522257090,2019,,,4
100.0,2,AVENTADOR 1 CAR RENTAL,630.0,2400.0,0.0,4,2,RANGE ROVER DEFENDER,-1,al khabasi,44680,83404,deira,20943,2047,5,00971522257090,2020,,,4
100.0,2,AVENTADOR 1 CAR RENTAL,630.0,2400.0,0.0,4,2,RANGE VOUGE AUTO,-1,al khabasi,43481,87542,deira,23800,2047,5,00971522257090,2023,,"[{'ReservationKey': 0, 'CarKey': 87542, 'CustomerName': 'Running Contract, 15693', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/4/2024 7:43:00 PM', 'ToDateTime': '8/3/2024 7:43:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,AVENTADOR 1 CAR RENTAL,630.0,2400.0,0.0,4,2,MERCEDES S500,-1,al khabasi,25487,87546,deira,83500,2047,5,00971522257090,2023,,,4
100.0,2,AVENTADOR 1 CAR RENTAL,630.0,2400.0,0.0,4,2,MERCEDES E300,-1,al khabasi,63575,87547,deira,57015,2047,5,00971522257090,2021,,,4
100.0,2,AVENTADOR 1 CAR RENTAL,630.0,2400.0,0.0,4,2,MERCEDES G63,-1,al khabasi,79342,69308,deira,38600,2047,5,00971522257090,2020,,,4
100.0,2,AVENTADOR 1 CAR RENTAL,630.0,2400.0,0.0,4,2,RANGE DISCOVERY,-1,al khabasi,37102,69309,deira,50574,2047,5,00971522257090,2021,,,4
100.0,2,AVENTADOR 1 CAR RENTAL,630.0,2400.0,0.0,4,2,JAGUAR F-PACE,-1,al khabasi,41043,69310,deira,52640,2047,5,00971522257090,2020,,"[{'ReservationKey': 0, 'CarKey': 69310, 'CustomerName': 'Running Contract, 13409', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '11/21/2023 7:11:00 PM', 'ToDateTime': '11/22/2023 7:11:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,AVENTADOR 1 CAR RENTAL,630.0,2400.0,0.0,4,2,NISSAN ARMADA,-1,al khabasi,61445,69311,deira,50570,2047,5,00971522257090,2020,,,4
100.0,2,AVENTADOR 1 CAR RENTAL,630.0,2400.0,0.0,4,2,FORD MUSTANG,-1,al khabasi,83677,69312,deira,50620,2047,5,00971522257090,2021,,,4
100.0,2,AVENTADOR 1 CAR RENTAL,630.0,2400.0,0.0,4,2,PORSCHE PANAMERA,-1,al khabasi,66509,69440,deira,52558,2047,5,00971522257090,2020,,,4
100.0,2,AVENTADOR 1 CAR RENTAL,630.0,2400.0,0.0,4,2,MERCEDES E450 CONVERTIBLE,-1,al khabasi,31640,135249,deira,86245,2047,5,00971522257090,2024,,,4
100.0,2,AVENTADOR 1 CAR RENTAL,630.0,2400.0,0.0,4,2,DEFENDER,-1,al khabasi,102564,126275,deira,13764,2047,5,00971522257090,2022,,"[{'ReservationKey': 0, 'CarKey': 126275, 'CustomerName': 'Running Contract, 16274', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/31/2024 9:38:00 PM', 'ToDateTime': '8/3/2024 9:38:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,AVENTADOR 1 CAR RENTAL,630.0,2400.0,0.0,4,2,MERCEDES E450 CONVERTIBLE,-1,al khabasi,40805,126276,deira,87857,2047,5,00971522257090,2022,,"[{'ReservationKey': 0, 'CarKey': 126276, 'CustomerName': 'Running Contract, 15843', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/31/2024 3:43:25 PM', 'ToDateTime': '8/3/2024 3:43:25 PM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,AVENTADOR 1 CAR RENTAL,630.0,2400.0,0.0,4,2,BMW 740,-1,al khabasi,36575,126277,deira,12724,2047,5,00971522257090,2024,,"[{'ReservationKey': 0, 'CarKey': 126277, 'CustomerName': 'Running Contract, 15641', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '6/27/2024 11:30:00 PM', 'ToDateTime': '7/1/2024 11:30:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,AVENTADOR 1 CAR RENTAL,630.0,2400.0,0.0,4,2,LAMBO URUS,-1,al khabasi,68026,112679,deira,98600,2047,5,00971522257090,2020,,,4
100.0,2,AVENTADOR 1 CAR RENTAL,630.0,2400.0,0.0,4,2,MERCEDES C300,-1,al khabasi,66394,68901,deira,37405,2047,5,00971522257090,2021,,"[{'ReservationKey': 0, 'CarKey': 68901, 'CustomerName': 'Running Contract, 15810', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/22/2024 10:35:49 PM', 'ToDateTime': '7/24/2024 10:35:49 PM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,AVENTADOR 1 CAR RENTAL,630.0,2400.0,0.0,4,2,ROLLS ROYCE GHOST,-1,al khabasi,12382,117074,deira,86900,2047,5,00971522257090,2022,,"[{'ReservationKey': 0, 'CarKey': 117074, 'CustomerName': 'Running Contract, 15839', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/26/2024 8:58:31 PM', 'ToDateTime': '7/27/2024 8:58:31 PM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,AVENTADOR 1 CAR RENTAL,630.0,2400.0,0.0,4,2,MERCEDES CLA,-1,al khabasi,54449,68917,deira,31764,2047,5,00971522257090,2022,,,4
