WD,Model,CarName,Reservations,Doors,MemberName,CarPhotoURL,CarKey,Passengers,WeekRentValue,BookingDiscount,MemberNo,Milage,Gear,Seats,MobileSalesMan,CarNo,Region,MonthRentValue,Cylinders,DayRentValue,City
2,2023,AUDI A6,"[{'ReservationKey': 0, 'CarKey': 69407, 'CustomerName': 'Running Contract, 12175', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/29/2024 12:46:00 PM', 'ToDateTime': '8/27/2024 12:46:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4,DREAMZ RENT A CAR L.L.C.,,69407,5,4000.0,-1.0,2892,30698,-1,2,00971527162332,46537,DUBAI,15000.0,4,100.0,DUBAI
2,2023,AUDI A6,"[{'ReservationKey': 0, 'CarKey': 69408, 'CustomerName': 'Running Contract, 1000050', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/20/2024 1:25:27 PM', 'ToDateTime': '8/19/2024 1:25:27 PM', 'DayRentValue': 0.0, 'Documents': None}]",4,DREAMZ RENT A CAR L.L.C.,,69408,5,4000.0,-1.0,2892,35904,-1,2,00971527162332,46538,DUBAI,15000.0,4,100.0,DUBAI
2,2024,CADILLAC ESCALADE SPORT PLATINUM,,4,DREAMZ RENT A CAR L.L.C.,,127997,5,630.0,-1.0,2892,11633,-1,2,00971527162332,85926,DUBAI,2400.0,4,100.0,DUBAI
2,2024,MERCEDES A 200,"[{'ReservationKey': 0, 'CarKey': 127999, 'CustomerName': 'Running Contract, 12159', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/22/2024 8:10:00 AM', 'ToDateTime': '8/5/2024 8:10:00 AM', 'DayRentValue': 0.0, 'Documents': None}]",4,DREAMZ RENT A CAR L.L.C.,,127999,5,630.0,-1.0,2892,10533,-1,2,00971527162332,74573,DUBAI,2400.0,4,100.0,DUBAI
2,2024,AUDI A3,"[{'ReservationKey': 0, 'CarKey': 128641, 'CustomerName': 'Running Contract, 1000049', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/18/2024 12:24:07 PM', 'ToDateTime': '8/17/2024 12:24:07 PM', 'DayRentValue': 0.0, 'Documents': None}]",4,DREAMZ RENT A CAR L.L.C.,,128641,5,630.0,-1.0,2892,11910,-1,2,00971527162332,83543,DUBAI,2400.0,4,100.0,DUBAI
2,2019,RANGE ROVER SPORTS 2019,,4,DREAMZ RENT A CAR L.L.C.,,1211,5,0.0,-1.0,2892,80203,-1,2,00971527162332,61504,DUBAI,18000.0,4,100.0,DUBAI
2,2015,NISSAN ALTIMA,,4,DREAMZ RENT A CAR L.L.C.,,1221,5,630.0,-1.0,2892,199610,-1,2,00971527162332,62776,DUBAI,2400.0,4,100.0,DUBAI
2,2020,AUDI A3,,4,DREAMZ RENT A CAR L.L.C.,,1224,5,0.0,-1.0,2892,110762,-1,2,00971527162332,91971,DUBAI,0.0,4,100.0,DUBAI
2,2016,TOYOTA YARIS,"[{'ReservationKey': 0, 'CarKey': 1226, 'CustomerName': 'Running Contract, 11070', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '8/21/2023 12:00:00 PM', 'ToDateTime': '8/21/2023 12:00:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4,DREAMZ RENT A CAR L.L.C.,,1226,5,630.0,-1.0,2892,274245,-1,2,00971527162332,90575,DUBAI,2400.0,4,100.0,DUBAI
2,2015,HYUNDAI GRAND i 10,,4,DREAMZ RENT A CAR L.L.C.,,1232,5,630.0,-1.0,2892,276516,-1,2,00971527162332,24274,DUBAI,2400.0,4,100.0,DUBAI
