DayRentValue,WD,MemberName,WeekRentValue,MonthRentValue,BookingDiscount,Doors,Seats,CarName,Gear,Region,Milage,CarKey,City,CarNo,MemberNo,Passengers,MobileSalesMan,Model,CarPhotoURL,Reservations,Cylinders
100.0,2,DREAMZ RENT A CAR L.L.C.,4000.0,15000.0,-1.0,4,2,AUDI A6,-1,DUBAI,30698,69407,DUBAI,46537,2892,5,00971527162332,2023,,"[{'ReservationKey': 0, 'CarKey': 69407, 'CustomerName': 'Running Contract, 12175', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/29/2024 12:46:00 PM', 'ToDateTime': '8/27/2024 12:46:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,DREAMZ RENT A CAR L.L.C.,4000.0,15000.0,-1.0,4,2,AUDI A6,-1,DUBAI,35904,69408,DUBAI,46538,2892,5,00971527162332,2023,,"[{'ReservationKey': 0, 'CarKey': 69408, 'CustomerName': 'Running Contract, 1000050', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/20/2024 1:25:27 PM', 'ToDateTime': '8/19/2024 1:25:27 PM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,DREAMZ RENT A CAR L.L.C.,630.0,2400.0,-1.0,4,2,CADILLAC ESCALADE SPORT PLATINUM,-1,DUBAI,11633,127997,DUBAI,85926,2892,5,00971527162332,2024,,,4
100.0,2,DREAMZ RENT A CAR L.L.C.,630.0,2400.0,-1.0,4,2,MERCEDES A 200,-1,DUBAI,10533,127999,DUBAI,74573,2892,5,00971527162332,2024,,"[{'ReservationKey': 0, 'CarKey': 127999, 'CustomerName': 'Running Contract, 12159', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/22/2024 8:10:00 AM', 'ToDateTime': '8/5/2024 8:10:00 AM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,DREAMZ RENT A CAR L.L.C.,630.0,2400.0,-1.0,4,2,AUDI A3,-1,DUBAI,11910,128641,DUBAI,83543,2892,5,00971527162332,2024,,"[{'ReservationKey': 0, 'CarKey': 128641, 'CustomerName': 'Running Contract, 1000049', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/18/2024 12:24:07 PM', 'ToDateTime': '8/17/2024 12:24:07 PM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,DREAMZ RENT A CAR L.L.C.,0.0,18000.0,-1.0,4,2,RANGE ROVER SPORTS 2019,-1,DUBAI,80203,1211,DUBAI,61504,2892,5,00971527162332,2019,,,4
100.0,2,DREAMZ RENT A CAR L.L.C.,630.0,2400.0,-1.0,4,2,NISSAN ALTIMA,-1,DUBAI,199610,1221,DUBAI,62776,2892,5,00971527162332,2015,,,4
100.0,2,DREAMZ RENT A CAR L.L.C.,0.0,0.0,-1.0,4,2,AUDI A3,-1,DUBAI,110762,1224,DUBAI,91971,2892,5,00971527162332,2020,,,4
100.0,2,DREAMZ RENT A CAR L.L.C.,630.0,2400.0,-1.0,4,2,TOYOTA YARIS,-1,DUBAI,274245,1226,DUBAI,90575,2892,5,00971527162332,2016,,"[{'ReservationKey': 0, 'CarKey': 1226, 'CustomerName': 'Running Contract, 11070', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '8/21/2023 12:00:00 PM', 'ToDateTime': '8/21/2023 12:00:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,DREAMZ RENT A CAR L.L.C.,630.0,2400.0,-1.0,4,2,HYUNDAI GRAND i 10,-1,DUBAI,276516,1232,DUBAI,24274,2892,5,00971527162332,2015,,,4
