DayRentValue,WD,MemberName,WeekRentValue,MonthRentValue,BookingDiscount,Doors,Seats,CarName,Gear,Region,Milage,CarKey,City,CarNo,MemberNo,Passengers,MobileSalesMan,Model,CarPhotoURL,Reservations,Cylinders
100.0,2,FAST EXPRESS RENT A CAR L.L.C.,630.0,2400.0,-1.0,4,2,STARIA,-1,Dubai,0,116644,DUBAI,65183,2864,5,00971564646452,2023,,,4
100.0,2,FAST EXPRESS RENT A CAR L.L.C.,630.0,2400.0,-1.0,4,2,Attrage,-1,Dubai,106580,63598,DUBAI,89359,2864,5,00971564646452,2022,,"[{'ReservationKey': 0, 'CarKey': 63598, 'CustomerName': 'Running Contract, 426518', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/11/2024 11:00:00 AM', 'ToDateTime': '7/16/2024 11:00:00 AM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,FAST EXPRESS RENT A CAR L.L.C.,630.0,2400.0,-1.0,4,2,Attrage,-1,Dubai,61790,63599,DUBAI,89238,2864,5,00971564646452,2022,,,4
100.0,2,FAST EXPRESS RENT A CAR L.L.C.,630.0,2400.0,-1.0,4,2,Attrage,-1,Dubai,77608,63600,DUBAI,89235,2864,5,00971564646452,2022,,,4
100.0,2,FAST EXPRESS RENT A CAR L.L.C.,630.0,2400.0,-1.0,4,2,Attrage,-1,Dubai,57698,63601,DUBAI,89232,2864,5,00971564646452,2022,,"[{'ReservationKey': 0, 'CarKey': 63601, 'CustomerName': 'Running Contract, 426442', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '6/30/2024 8:00:00 PM', 'ToDateTime': '7/30/2024 8:00:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,FAST EXPRESS RENT A CAR L.L.C.,630.0,2400.0,-1.0,4,2,Attrage,-1,Dubai,84845,63602,DUBAI,89231,2864,5,00971564646452,2022,,"[{'ReservationKey': 0, 'CarKey': 63602, 'CustomerName': 'Running Contract, 426215', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '4/18/2024 12:00:00 PM', 'ToDateTime': '5/18/2024 12:00:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,FAST EXPRESS RENT A CAR L.L.C.,630.0,2400.0,-1.0,4,2,Sunny,-1,Dubai,193216,62019,DUBAI,85720,2864,5,00971564646452,2019,,,4
100.0,2,FAST EXPRESS RENT A CAR L.L.C.,630.0,2400.0,-1.0,4,2,Lancer,-1,Dubai,274265,61742,DUBAI,67785,2864,5,00971564646452,2015,,,4
100.0,2,FAST EXPRESS RENT A CAR L.L.C.,630.0,2400.0,-1.0,4,2,CRETA,-1,Dubai,26904,80533,DUBAI,97481,2864,5,00971564646452,2022,,"[{'ReservationKey': 0, 'CarKey': 80533, 'CustomerName': 'Running Contract, 424775', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '1/8/2024 10:00:00 AM', 'ToDateTime': '2/7/2024 10:00:00 AM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,FAST EXPRESS RENT A CAR L.L.C.,630.0,2400.0,-1.0,4,2,Accent,-1,Dubai,286700,61589,DUBAI,40169,2864,5,00971564646452,2015,,"[{'ReservationKey': 0, 'CarKey': 61589, 'CustomerName': 'Running Contract, 425627', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '3/22/2024 5:15:00 PM', 'ToDateTime': '3/29/2024 5:15:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4
