Reservations,DayRentValue,CarPhotoURL,City,Region,Doors,Model,CarNo,MemberNo,Gear,BookingDiscount,WeekRentValue,Cylinders,Seats,MobileSalesMan,MemberName,WD,Passengers,MonthRentValue,CarKey,Milage,CarName
,100.0,,DUBAI,Dubai,4,2023,65183,2864,-1,-1.0,630.0,4,2,00971564646452,FAST EXPRESS RENT A CAR L.L.C.,2,5,2400.0,116644,0,STARIA
"[{'ReservationKey': 0, 'CarKey': 63598, 'CustomerName': 'Running Contract, 426518', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/11/2024 11:00:00 AM', 'ToDateTime': '7/16/2024 11:00:00 AM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,DUBAI,Dubai,4,2022,89359,2864,-1,-1.0,630.0,4,2,00971564646452,FAST EXPRESS RENT A CAR L.L.C.,2,5,2400.0,63598,106580,Attrage
,100.0,,DUBAI,Dubai,4,2022,89238,2864,-1,-1.0,630.0,4,2,00971564646452,FAST EXPRESS RENT A CAR L.L.C.,2,5,2400.0,63599,61790,Attrage
,100.0,,DUBAI,Dubai,4,2022,89235,2864,-1,-1.0,630.0,4,2,00971564646452,FAST EXPRESS RENT A CAR L.L.C.,2,5,2400.0,63600,77608,Attrage
"[{'ReservationKey': 0, 'CarKey': 63601, 'CustomerName': 'Running Contract, 426442', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '6/30/2024 8:00:00 PM', 'ToDateTime': '7/30/2024 8:00:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,DUBAI,Dubai,4,2022,89232,2864,-1,-1.0,630.0,4,2,00971564646452,FAST EXPRESS RENT A CAR L.L.C.,2,5,2400.0,63601,57698,Attrage
"[{'ReservationKey': 0, 'CarKey': 63602, 'CustomerName': 'Running Contract, 426215', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '4/18/2024 12:00:00 PM', 'ToDateTime': '5/18/2024 12:00:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,DUBAI,Dubai,4,2022,89231,2864,-1,-1.0,630.0,4,2,00971564646452,FAST EXPRESS RENT A CAR L.L.C.,2,5,2400.0,63602,84845,Attrage
,100.0,,DUBAI,Dubai,4,2019,85720,2864,-1,-1.0,630.0,4,2,00971564646452,FAST EXPRESS RENT A CAR L.L.C.,2,5,2400.0,62019,193216,Sunny
,100.0,,DUBAI,Dubai,4,2015,67785,2864,-1,-1.0,630.0,4,2,00971564646452,FAST EXPRESS RENT A CAR L.L.C.,2,5,2400.0,61742,274265,Lancer
"[{'ReservationKey': 0, 'CarKey': 80533, 'CustomerName': 'Running Contract, 424775', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '1/8/2024 10:00:00 AM', 'ToDateTime': '2/7/2024 10:00:00 AM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,DUBAI,Dubai,4,2022,97481,2864,-1,-1.0,630.0,4,2,00971564646452,FAST EXPRESS RENT A CAR L.L.C.,2,5,2400.0,80533,26904,CRETA
"[{'ReservationKey': 0, 'CarKey': 61589, 'CustomerName': 'Running Contract, 425627', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '3/22/2024 5:15:00 PM', 'ToDateTime': '3/29/2024 5:15:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,DUBAI,Dubai,4,2015,40169,2864,-1,-1.0,630.0,4,2,00971564646452,FAST EXPRESS RENT A CAR L.L.C.,2,5,2400.0,61589,286700,Accent
"[{'ReservationKey': 0, 'CarKey': 61590, 'CustomerName': 'Running Contract, 424486', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '12/10/2023 6:30:00 PM', 'ToDateTime': '1/9/2024 6:30:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,DUBAI,Dubai,4,2018,79413,2864,-1,-1.0,630.0,4,2,00971564646452,FAST EXPRESS RENT A CAR L.L.C.,2,5,2400.0,61590,145420,Accent
"[{'ReservationKey': 0, 'CarKey': 61592, 'CustomerName': 'Running Contract, 426632', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '8/1/2024 10:10:00 AM', 'ToDateTime': '8/31/2024 10:10:00 AM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,DUBAI,Dubai,4,2015,86146,2864,-1,-1.0,630.0,4,2,00971564646452,FAST EXPRESS RENT A CAR L.L.C.,2,5,2400.0,61592,295256,Accent
,100.0,,DUBAI,Dubai,4,2018,78345,2864,-1,-1.0,630.0,4,2,00971564646452,FAST EXPRESS RENT A CAR L.L.C.,2,5,2400.0,61593,211526,Corolla
