WD,Model,CarName,Reservations,Doors,MemberName,CarPhotoURL,CarKey,Passengers,WeekRentValue,BookingDiscount,MemberNo,Milage,Gear,Seats,MobileSalesMan,CarNo,Region,MonthRentValue,Cylinders,DayRentValue,City
2,2023,MITSUBISHI ATTRAGE 1,"[{'ReservationKey': 0, 'CarKey': 94918, 'CustomerName': 'Running Contract, 1000838', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/11/2023 6:39:38 PM', 'ToDateTime': '7/11/2023 6:39:38 PM', 'DayRentValue': 0.0, 'Documents': None}]",4,GOLDEN KEY RENT CAR L.L.C.,,94918,5,0.0,0.0,2760,46835,-1,2,0097142885205,70861,DUBAI ,0.0,4,0.0,DUBAI 
2,2020,CHANGAN ALSVIN,,4,GOLDEN KEY RENT CAR L.L.C.,,2927,5,0.0,0.0,2760,117046,-1,2,0097142885205,12437,DUBAI ,0.0,4,50.0,DUBAI 
2,2023,AUDI A6,,4,GOLDEN KEY RENT CAR L.L.C.,,70098,5,630.0,0.0,2760,52750,-1,2,0097142885205,72480,DUBAI ,2400.0,4,100.0,DUBAI 
2,2023,AUDI A6,,4,GOLDEN KEY RENT CAR L.L.C.,,70099,5,630.0,0.0,2760,50875,-1,2,0097142885205,72483,DUBAI ,2400.0,4,100.0,DUBAI 
2,2021,CHEVROLET TAHOE,"[{'ReservationKey': 0, 'CarKey': 132182, 'CustomerName': 'Running Contract, 12787', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '4/15/2024 12:28:00 PM', 'ToDateTime': '4/15/2024 12:28:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4,GOLDEN KEY RENT CAR L.L.C.,,132182,5,630.0,0.0,2760,46057,-1,2,0097142885205,53290,DUBAI ,2400.0,4,100.0,DUBAI 
2,2022,MERCEDES C300,,4,GOLDEN KEY RENT CAR L.L.C.,,79216,5,630.0,0.0,2760,48387,-1,2,0097142885205,65964,DUBAI ,2400.0,4,100.0,DUBAI 
2,2023,AUDI A3 ,,4,GOLDEN KEY RENT CAR L.L.C.,,71274,5,630.0,0.0,2760,63075,-1,2,0097142885205,18725,DUBAI ,2400.0,4,100.0,DUBAI 
2,2023,KIA K5,"[{'ReservationKey': 0, 'CarKey': 99111, 'CustomerName': 'Running Contract, 15818', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/31/2024 7:51:00 PM', 'ToDateTime': '8/4/2024 7:51:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4,GOLDEN KEY RENT CAR L.L.C.,,99111,5,630.0,0.0,2760,41238,-1,2,0097142885205,18894,DUBAI ,2400.0,4,100.0,DUBAI 
2,2022,LAMBORGHINI URUS MY20,,4,GOLDEN KEY RENT CAR L.L.C.,,132395,5,630.0,0.0,2760,53659,-1,2,0097142885205,90905,DUBAI ,2400.0,4,100.0,DUBAI 
2,2023,BMW 420,"[{'ReservationKey': 0, 'CarKey': 93167, 'CustomerName': 'Running Contract, 15690', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/25/2024 12:39:00 PM', 'ToDateTime': '8/2/2024 12:39:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4,GOLDEN KEY RENT CAR L.L.C.,,93167,5,630.0,0.0,2760,44788,-1,2,0097142885205,84903,DUBAI ,2400.0,4,100.0,DUBAI 
2,2023,MINI COOPER ,,4,GOLDEN KEY RENT CAR L.L.C.,,93170,5,630.0,0.0,2760,27342,-1,2,0097142885205,82086,DUBAI ,2400.0,4,100.0,DUBAI 
2,2022,CHEVROLETE TAHOE,,4,GOLDEN KEY RENT CAR L.L.C.,,58667,5,630.0,0.0,2760,82664,-1,2,0097142885205,36795,DUBAI ,2400.0,4,100.0,DUBAI 
2,2022,LAMBORGHINI URUS CAPSULE,,4,GOLDEN KEY RENT CAR L.L.C.,,73091,5,0.0,0.0,2760,78313,-1,2,0097142885205,4871,DUBAI ,0.0,4,100.0,DUBAI 
2,2023,CHEVROLET CAPTIVA ,"[{'ReservationKey': 0, 'CarKey': 93464, 'CustomerName': 'Running Contract, 15822', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/31/2024 8:21:00 PM', 'ToDateTime': '8/16/2024 8:21:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4,GOLDEN KEY RENT CAR L.L.C.,,93464,5,630.0,0.0,2760,34151,-1,2,0097142885205,14799,DUBAI ,2400.0,4,100.0,DUBAI 
