DayRentValue,WD,MemberName,WeekRentValue,MonthRentValue,BookingDiscount,Doors,Seats,CarName,Gear,Region,Milage,CarKey,City,CarNo,MemberNo,Passengers,MobileSalesMan,Model,CarPhotoURL,Reservations,Cylinders
0.0,2,GOLDEN KEY RENT CAR L.L.C.,0.0,0.0,0.0,4,2,MITSUBISHI ATTRAGE 1,-1,DUBAI ,46835,94918,DUBAI ,70861,2760,5,0097142885205,2023,,"[{'ReservationKey': 0, 'CarKey': 94918, 'CustomerName': 'Running Contract, 1000838', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/11/2023 6:39:38 PM', 'ToDateTime': '7/11/2023 6:39:38 PM', 'DayRentValue': 0.0, 'Documents': None}]",4
50.0,2,GOLDEN KEY RENT CAR L.L.C.,0.0,0.0,0.0,4,2,CHANGAN ALSVIN,-1,DUBAI ,117046,2927,DUBAI ,12437,2760,5,0097142885205,2020,,,4
100.0,2,GOLDEN KEY RENT CAR L.L.C.,630.0,2400.0,0.0,4,2,AUDI A6,-1,DUBAI ,52750,70098,DUBAI ,72480,2760,5,0097142885205,2023,,,4
100.0,2,GOLDEN KEY RENT CAR L.L.C.,630.0,2400.0,0.0,4,2,AUDI A6,-1,DUBAI ,50875,70099,DUBAI ,72483,2760,5,0097142885205,2023,,,4
100.0,2,GOLDEN KEY RENT CAR L.L.C.,630.0,2400.0,0.0,4,2,CHEVROLET TAHOE,-1,DUBAI ,46057,132182,DUBAI ,53290,2760,5,0097142885205,2021,,"[{'ReservationKey': 0, 'CarKey': 132182, 'CustomerName': 'Running Contract, 12787', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '4/15/2024 12:28:00 PM', 'ToDateTime': '4/15/2024 12:28:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,GOLDEN KEY RENT CAR L.L.C.,630.0,2400.0,0.0,4,2,MERCEDES C300,-1,DUBAI ,48387,79216,DUBAI ,65964,2760,5,0097142885205,2022,,,4
100.0,2,GOLDEN KEY RENT CAR L.L.C.,630.0,2400.0,0.0,4,2,AUDI A3 ,-1,DUBAI ,63075,71274,DUBAI ,18725,2760,5,0097142885205,2023,,,4
100.0,2,GOLDEN KEY RENT CAR L.L.C.,630.0,2400.0,0.0,4,2,KIA K5,-1,DUBAI ,41238,99111,DUBAI ,18894,2760,5,0097142885205,2023,,"[{'ReservationKey': 0, 'CarKey': 99111, 'CustomerName': 'Running Contract, 15818', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/31/2024 7:51:00 PM', 'ToDateTime': '8/4/2024 7:51:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,GOLDEN KEY RENT CAR L.L.C.,630.0,2400.0,0.0,4,2,LAMBORGHINI URUS MY20,-1,DUBAI ,53659,132395,DUBAI ,90905,2760,5,0097142885205,2022,,,4
100.0,2,GOLDEN KEY RENT CAR L.L.C.,630.0,2400.0,0.0,4,2,BMW 420,-1,DUBAI ,44788,93167,DUBAI ,84903,2760,5,0097142885205,2023,,"[{'ReservationKey': 0, 'CarKey': 93167, 'CustomerName': 'Running Contract, 15690', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/25/2024 12:39:00 PM', 'ToDateTime': '8/2/2024 12:39:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4
