WD,Model,CarName,Reservations,Doors,MemberName,CarPhotoURL,CarKey,Passengers,WeekRentValue,BookingDiscount,MemberNo,Milage,Gear,Seats,MobileSalesMan,CarNo,Region,MonthRentValue,Cylinders,DayRentValue,City
2,2019,NISSAN SUNNY,"[{'ReservationKey': 0, 'CarKey': 128731, 'CustomerName': 'Running Contract, 3505', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/20/2024 3:00:00 PM', 'ToDateTime': '8/8/2024 3:00:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4,HOUSTON LUXURY RENT A CAR,,128731,5,630.0,-1.0,2888,164048,-1,2,00971582920243,35488,Dubai,2400.0,4,100.0,Dubai
2,2023,NISSAN SUNNY,"[{'ReservationKey': 0, 'CarKey': 128738, 'CustomerName': 'Running Contract, 3676', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/30/2024 12:40:00 PM', 'ToDateTime': '8/14/2024 12:40:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4,HOUSTON LUXURY RENT A CAR,,128738,5,630.0,-1.0,2888,21759,-1,2,00971582920243,13928,Dubai,2400.0,4,100.0,Dubai
2,2023,NISSAN SUNNY ,,4,HOUSTON LUXURY RENT A CAR,,135038,5,630.0,-1.0,2888,27068,-1,2,00971582920243,80348,Dubai,2400.0,4,100.0,Dubai
2,2023,NISSAN SUNNY ,"[{'ReservationKey': 0, 'CarKey': 135085, 'CustomerName': 'Running Contract, 1446', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/23/2024 12:20:00 PM', 'ToDateTime': '8/12/2024 12:20:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4,HOUSTON LUXURY RENT A CAR,,135085,5,630.0,-1.0,2888,29935,-1,2,00971582920243,57316,Dubai,2400.0,4,100.0,Dubai
2,2018,RENAULT SYMBOL,"[{'ReservationKey': 0, 'CarKey': 129271, 'CustomerName': 'Running Contract, 930', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '6/4/2024 11:05:00 AM', 'ToDateTime': '6/10/2024 11:05:00 AM', 'DayRentValue': 0.0, 'Documents': None}]",4,HOUSTON LUXURY RENT A CAR,,129271,5,630.0,-1.0,2888,172428,-1,2,00971582920243,63960,Dubai,2400.0,4,100.0,Dubai
2,2023,NISSAN SUNNY,,4,HOUSTON LUXURY RENT A CAR,,128729,5,630.0,-1.0,2888,22374,-1,2,00971582920243,80386,Dubai,2400.0,4,100.0,Dubai
2,2023,NISSAN SUNNY,,4,HOUSTON LUXURY RENT A CAR,,128732,5,630.0,-1.0,2888,16468,-1,2,00971582920243,13652,Dubai,2400.0,4,100.0,Dubai
2,2023,NISSAN SUNNY,,4,HOUSTON LUXURY RENT A CAR,,128733,5,630.0,-1.0,2888,26056,-1,2,00971582920243,85579,Dubai,2400.0,4,100.0,Dubai
2,2024,NISSAN SUNNY,"[{'ReservationKey': 0, 'CarKey': 128749, 'CustomerName': 'Running Contract, 149', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/7/2024 1:37:00 PM', 'ToDateTime': '8/6/2024 1:37:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4,HOUSTON LUXURY RENT A CAR,,128749,5,630.0,-1.0,2888,23971,-1,2,00971582920243,86092,Dubai,2400.0,4,100.0,Dubai
2,2024,CHEVROLETE SPARK,"[{'ReservationKey': 0, 'CarKey': 128751, 'CustomerName': 'Running Contract, 3662', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/26/2024 7:15:00 PM', 'ToDateTime': '8/25/2024 7:15:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4,HOUSTON LUXURY RENT A CAR,,128751,5,630.0,-1.0,2888,90976,-1,2,00971582920243,74166,Dubai,2400.0,4,100.0,Dubai
