Reservations,DayRentValue,CarPhotoURL,City,Region,Doors,Model,CarNo,MemberNo,Gear,BookingDiscount,WeekRentValue,Cylinders,Seats,MobileSalesMan,MemberName,WD,Passengers,MonthRentValue,CarKey,Milage,CarName
"[{'ReservationKey': 0, 'CarKey': 128731, 'CustomerName': 'Running Contract, 3505', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/20/2024 3:00:00 PM', 'ToDateTime': '8/8/2024 3:00:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,Dubai,Dubai,4,2019,35488,2888,-1,-1.0,630.0,4,2,00971582920243,HOUSTON LUXURY RENT A CAR,2,5,2400.0,128731,164048,NISSAN SUNNY
"[{'ReservationKey': 0, 'CarKey': 128738, 'CustomerName': 'Running Contract, 3676', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/30/2024 12:40:00 PM', 'ToDateTime': '8/14/2024 12:40:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,Dubai,Dubai,4,2023,13928,2888,-1,-1.0,630.0,4,2,00971582920243,HOUSTON LUXURY RENT A CAR,2,5,2400.0,128738,21759,NISSAN SUNNY
,100.0,,Dubai,Dubai,4,2023,80348,2888,-1,-1.0,630.0,4,2,00971582920243,HOUSTON LUXURY RENT A CAR,2,5,2400.0,135038,27068,NISSAN SUNNY 
,100.0,,Dubai,Dubai,4,2023,57316,2888,-1,-1.0,630.0,4,2,00971582920243,HOUSTON LUXURY RENT A CAR,2,5,2400.0,135085,30430,NISSAN SUNNY 
,100.0,,Dubai,Dubai,4,2018,63960,2888,-1,-1.0,630.0,4,2,00971582920243,HOUSTON LUXURY RENT A CAR,2,5,2400.0,129271,173238,RENAULT SYMBOL
,100.0,,Dubai,Dubai,4,2023,80386,2888,-1,-1.0,630.0,4,2,00971582920243,HOUSTON LUXURY RENT A CAR,2,5,2400.0,128729,22374,NISSAN SUNNY
,100.0,,Dubai,Dubai,4,2023,13652,2888,-1,-1.0,630.0,4,2,00971582920243,HOUSTON LUXURY RENT A CAR,2,5,2400.0,128732,16468,NISSAN SUNNY
,100.0,,Dubai,Dubai,4,2023,85579,2888,-1,-1.0,630.0,4,2,00971582920243,HOUSTON LUXURY RENT A CAR,2,5,2400.0,128733,26056,NISSAN SUNNY
"[{'ReservationKey': 0, 'CarKey': 128749, 'CustomerName': 'Running Contract, 149', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/7/2024 1:37:00 PM', 'ToDateTime': '8/6/2024 1:37:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,Dubai,Dubai,4,2024,86092,2888,-1,-1.0,630.0,4,2,00971582920243,HOUSTON LUXURY RENT A CAR,2,5,2400.0,128749,23971,NISSAN SUNNY
"[{'ReservationKey': 0, 'CarKey': 128751, 'CustomerName': 'Running Contract, 3662', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/26/2024 7:15:00 PM', 'ToDateTime': '8/25/2024 7:15:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,Dubai,Dubai,4,2024,74166,2888,-1,-1.0,630.0,4,2,00971582920243,HOUSTON LUXURY RENT A CAR,2,5,2400.0,128751,90976,CHEVROLETE SPARK
,100.0,,Dubai,Dubai,4,2020,65922,2888,-1,-1.0,630.0,4,2,00971582920243,HOUSTON LUXURY RENT A CAR,2,5,2400.0,128735,128835,RENAULT SYMBOL
,100.0,,Dubai,Dubai,4,2020,65935,2888,-1,-1.0,630.0,4,2,00971582920243,HOUSTON LUXURY RENT A CAR,2,5,2400.0,128737,112897,RENAULT SYMBOL
,100.0,,Dubai,Dubai,4,2023,30942,2888,-1,-1.0,630.0,4,2,00971582920243,HOUSTON LUXURY RENT A CAR,2,5,2400.0,128909,24643,NISSAN SUNNY
,100.0,,Dubai,Dubai,4,2014,87266,2888,-1,-1.0,630.0,4,2,00971582920243,HOUSTON LUXURY RENT A CAR,2,5,2400.0,128910,225529,KIA  PICANTO
,100.0,,Dubai,Dubai,4,2020,29303,2888,-1,-1.0,630.0,4,2,00971582920243,HOUSTON LUXURY RENT A CAR,2,5,2400.0,135578,159413,NISSAN SUNNY 
,100.0,,Dubai,Dubai,4,2023,80371,2888,-1,-1.0,630.0,4,2,00971582920243,HOUSTON LUXURY RENT A CAR,2,5,2400.0,135537,9622,NISSAN SUNNY 
,100.0,,Dubai,Dubai,4,2020,78914,2888,-1,-1.0,630.0,4,2,00971582920243,HOUSTON LUXURY RENT A CAR,2,5,2400.0,135561,25481,NISSAN SUNNY
,100.0,,Dubai,Dubai,4,2018,33490,2888,-1,-1.0,630.0,4,2,00971582920243,HOUSTON LUXURY RENT A CAR,2,5,2400.0,135463,181751,NISSAN SUNNY 
,100.0,,Dubai,Dubai,4,2020,55840,2888,-1,-1.0,630.0,4,2,00971582920243,HOUSTON LUXURY RENT A CAR,2,5,2400.0,135466,201040,NISSAN SUNNY 
,100.0,,Dubai,Dubai,4,2024,42635,2888,-1,-1.0,630.0,4,2,00971582920243,HOUSTON LUXURY RENT A CAR,2,5,2400.0,135292,208518,Mitsubishi Mirage
,100.0,,Dubai,Dubai,4,2018,55837,2888,-1,-1.0,630.0,4,2,00971582920243,HOUSTON LUXURY RENT A CAR,2,5,2400.0,135313,233777,NISSAN SUNNY 
,100.0,,Dubai,Dubai,4,2020,21175,2888,-1,-1.0,630.0,4,2,00971582920243,HOUSTON LUXURY RENT A CAR,2,5,2400.0,135273,183371,NISSAN SUNNY
,100.0,,Dubai,Dubai,4,2018,55836,2888,-1,-1.0,630.0,4,2,00971582920243,HOUSTON LUXURY RENT A CAR,2,5,2400.0,135282,201533,NISSAN SUNNY 
"[{'ReservationKey': 0, 'CarKey': 135913, 'CustomerName': 'Running Contract, 1383', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/16/2024 11:50:00 AM', 'ToDateTime': '8/15/2024 11:50:00 AM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,Dubai,Dubai,4,2023,52191,2888,-1,-1.0,630.0,4,2,00971582920243,HOUSTON LUXURY RENT A CAR,2,5,2400.0,135913,23805,NISSAN SUNNY 
,100.0,,Dubai,Dubai,4,2020,65950,2888,-1,-1.0,630.0,4,2,00971582920243,HOUSTON LUXURY RENT A CAR,2,5,2400.0,135919,116447,RENAULT SYMBOL 
"[{'ReservationKey': 0, 'CarKey': 135927, 'CustomerName': 'Running Contract, 1380', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/15/2024 8:50:00 PM', 'ToDateTime': '8/14/2024 8:50:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,Dubai,Dubai,4,2023,78821,2888,-1,-1.0,630.0,4,2,00971582920243,HOUSTON LUXURY RENT A CAR,2,5,2400.0,135927,18993,NISSAN SUNNY
,100.0,,Dubai,Dubai,4,2020,65946,2888,-1,-1.0,630.0,4,2,00971582920243,HOUSTON LUXURY RENT A CAR,2,5,2400.0,135932,156138,RENAULT SYMBOL 
,100.0,,Dubai,Dubai,4,2023,78806,2888,-1,-1.0,630.0,4,2,00971582920243,HOUSTON LUXURY RENT A CAR,2,5,2400.0,135949,20148,NISSAN SUNNY 
,100.0,,Dubai,Dubai,4,2023,78901,2888,-1,-1.0,630.0,4,2,00971582920243,HOUSTON LUXURY RENT A CAR,2,5,2400.0,135980,20749,NISSAN SUNNY 
,100.0,,Dubai,Dubai,4,2020,20969,2888,-1,-1.0,630.0,4,2,00971582920243,HOUSTON LUXURY RENT A CAR,2,5,2400.0,135914,245667,NISSAN SUNNY 
,100.0,,Dubai,Dubai,4,2020,58993,2888,-1,-1.0,630.0,4,2,00971582920243,HOUSTON LUXURY RENT A CAR,2,5,2400.0,135916,92449,NISSAN PATHFINDER
,100.0,,Dubai,Dubai,4,2023,78836,2888,-1,-1.0,630.0,4,2,00971582920243,HOUSTON LUXURY RENT A CAR,2,5,2400.0,135930,26027,NISSAN SUNNY 
,100.0,,Dubai,Dubai,4,2023,19013,2888,-1,-1.0,630.0,4,2,00971582920243,HOUSTON LUXURY RENT A CAR,2,5,2400.0,137090,179239,NISSAN SUNNY 
,100.0,,Dubai,Dubai,4,2020,65947,2888,-1,-1.0,630.0,4,2,00971582920243,HOUSTON LUXURY RENT A CAR,2,5,2400.0,137109,122130,RENAULT SYMBOL 
