WD,Model,CarName,Reservations,Doors,MemberName,CarPhotoURL,CarKey,Passengers,WeekRentValue,BookingDiscount,MemberNo,Milage,Gear,Seats,MobileSalesMan,CarNo,Region,MonthRentValue,Cylinders,DayRentValue,City
4,2022,Jeep Compass,,4,LUXURY SPORTS CAR RENTAL L.L.C.,,118748,5,1500.0,-1.0,3255,23149,-1,4,00971509020763,23538,Dubai,4500.0,4,250.0,Dubai
4,2021,Mercedes A220,,4,LUXURY SPORTS CAR RENTAL L.L.C.,,96809,5,2100.0,-1.0,3255,117940,-1,4,00971509020763,25091,Dubai,8000.0,4,400.0,Dubai
2,2021,Dodge Challenger V8,"[{'ReservationKey': 0, 'CarKey': 96805, 'CustomerName': 'Running Contract, 274', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '6/8/2024 1:25:00 PM', 'ToDateTime': '6/19/2024 1:25:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",2,LUXURY SPORTS CAR RENTAL L.L.C.,,96805,5,2700.0,-1.0,3255,49308,-1,4,00971509020763,69452,Dubai,9000.0,8,400.0,Dubai
2,2021,Ford Mustang V4,,4,LUXURY SPORTS CAR RENTAL L.L.C.,,96806,5,2300.0,-1.0,3255,46989,-1,2,00971509020763,84671,Dubai,8000.0,4,400.0,Dubai
2,2022,Mercedes GLA250,,4,LUXURY SPORTS CAR RENTAL L.L.C.,,96807,5,2800.0,-1.0,3255,55555,-1,2,00971509020763,72362,Dubai,8000.0,4,400.0,Dubai
4,2019,Mercedes C300 Coupe,,2,LUXURY SPORTS CAR RENTAL L.L.C.,,96802,4,2100.0,-1.0,3255,172523,-1,4,00971509020763,98204,Dubai,8000.0,4,420.0,Dubai
2,2020,Mercedes E300,,4,LUXURY SPORTS CAR RENTAL L.L.C.,,96801,5,2900.0,-1.0,3255,90961,-1,2,00971509020763,86005,Dubai,9000.0,4,450.0,Dubai
2,2020,Dodge Chellenger V8,,4,LUXURY SPORTS CAR RENTAL L.L.C.,,96783,4,2700.0,-1.0,3255,67735,-1,4,00971509020763,89158,Dubai,9000.0,8,450.0,Dubai
4,2020,Mercedes C43 AMG,"[{'ReservationKey': 0, 'CarKey': 96808, 'CustomerName': 'Running Contract, 179', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '2/7/2024 8:35:49 PM', 'ToDateTime': '2/7/2024 8:35:49 PM', 'DayRentValue': 0.0, 'Documents': None}]",4,LUXURY SPORTS CAR RENTAL L.L.C.,,96808,5,2500.0,-1.0,3255,110116,-1,4,00971509020763,25990,Dubai,8500.0,4,500.0,Dubai
2,2021,Ford Mustang V8,"[{'ReservationKey': 0, 'CarKey': 95381, 'CustomerName': 'Running Contract, 281', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/28/2024 9:25:00 AM', 'ToDateTime': '7/31/2024 9:25:00 AM', 'DayRentValue': 0.0, 'Documents': None}]",2,LUXURY SPORTS CAR RENTAL L.L.C.,,95381,4,3000.0,-1.0,3255,57462,-1,4,00971509020763,38018,Dubai,9000.0,8,500.0,Dubai
4,2021,Nissan Petrol Nismo,"[{'ReservationKey': 0, 'CarKey': 95383, 'CustomerName': 'Running Contract, 247', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '4/22/2024 6:30:00 AM', 'ToDateTime': '4/22/2024 6:30:00 AM', 'DayRentValue': 0.0, 'Documents': None}]",4,LUXURY SPORTS CAR RENTAL L.L.C.,,95383,6,3000.0,-1.0,3255,19331,-1,5,00971509020763,34497,Dubai,10000.0,8,550.0,Dubai
2,2022,BMW M430i,,2,LUXURY SPORTS CAR RENTAL L.L.C.,,95373,4,3500.0,-1.0,3255,34143,-1,4,00971509020763,89581,Dubai,13000.0,4,650.0,Dubai
4,2022,Range Rover Evoque,"[{'ReservationKey': 0, 'CarKey': 112652, 'CustomerName': 'Running Contract, 251', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '4/24/2024 8:09:00 PM', 'ToDateTime': '4/24/2024 8:09:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4,LUXURY SPORTS CAR RENTAL L.L.C.,,112652,5,3900.0,-1.0,3255,55235,-1,4,00971509020763,20196,Dubai,13650.0,4,650.0,Dubai
2,2022,Porsche Boxster 718,,2,LUXURY SPORTS CAR RENTAL L.L.C.,,95340,2,5500.0,-1.0,3255,37064,-1,2,00971509020763,39426,Dubai,18000.0,4,800.0,Dubai
4,2022,Mercedes GLE450,,4,LUXURY SPORTS CAR RENTAL L.L.C.,,95343,6,5500.0,-1.0,3255,27867,-1,5,00971509020763,38467,Dubai,20000.0,6,900.0,Dubai
