DayRentValue,WD,MemberName,WeekRentValue,MonthRentValue,BookingDiscount,Doors,Seats,CarName,Gear,Region,Milage,CarKey,City,CarNo,MemberNo,Passengers,MobileSalesMan,Model,CarPhotoURL,Reservations,Cylinders
250.0,4,LUXURY SPORTS CAR RENTAL L.L.C.,1500.0,4500.0,-1.0,4,4,Jeep Compass,-1,Dubai,23149,118748,Dubai,23538,3255,5,00971509020763,2022,,,4
400.0,4,LUXURY SPORTS CAR RENTAL L.L.C.,2100.0,8000.0,-1.0,4,4,Mercedes A220,-1,Dubai,117940,96809,Dubai,25091,3255,5,00971509020763,2021,,,4
400.0,2,LUXURY SPORTS CAR RENTAL L.L.C.,2700.0,9000.0,-1.0,2,4,Dodge Challenger V8,-1,Dubai,49308,96805,Dubai,69452,3255,5,00971509020763,2021,,"[{'ReservationKey': 0, 'CarKey': 96805, 'CustomerName': 'Running Contract, 274', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '6/8/2024 1:25:00 PM', 'ToDateTime': '6/19/2024 1:25:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",8
400.0,2,LUXURY SPORTS CAR RENTAL L.L.C.,2300.0,8000.0,-1.0,4,2,Ford Mustang V4,-1,Dubai,46989,96806,Dubai,84671,3255,5,00971509020763,2021,,,4
400.0,2,LUXURY SPORTS CAR RENTAL L.L.C.,2800.0,8000.0,-1.0,4,2,Mercedes GLA250,-1,Dubai,55555,96807,Dubai,72362,3255,5,00971509020763,2022,,,4
420.0,4,LUXURY SPORTS CAR RENTAL L.L.C.,2100.0,8000.0,-1.0,2,4,Mercedes C300 Coupe,-1,Dubai,172523,96802,Dubai,98204,3255,4,00971509020763,2019,,,4
450.0,2,LUXURY SPORTS CAR RENTAL L.L.C.,2900.0,9000.0,-1.0,4,2,Mercedes E300,-1,Dubai,90961,96801,Dubai,86005,3255,5,00971509020763,2020,,,4
450.0,2,LUXURY SPORTS CAR RENTAL L.L.C.,2700.0,9000.0,-1.0,4,4,Dodge Chellenger V8,-1,Dubai,67735,96783,Dubai,89158,3255,4,00971509020763,2020,,,8
500.0,4,LUXURY SPORTS CAR RENTAL L.L.C.,2500.0,8500.0,-1.0,4,4,Mercedes C43 AMG,-1,Dubai,110116,96808,Dubai,25990,3255,5,00971509020763,2020,,"[{'ReservationKey': 0, 'CarKey': 96808, 'CustomerName': 'Running Contract, 179', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '2/7/2024 8:35:49 PM', 'ToDateTime': '2/7/2024 8:35:49 PM', 'DayRentValue': 0.0, 'Documents': None}]",4
500.0,2,LUXURY SPORTS CAR RENTAL L.L.C.,3000.0,9000.0,-1.0,2,4,Ford Mustang V8,-1,Dubai,57462,95381,Dubai,38018,3255,4,00971509020763,2021,,"[{'ReservationKey': 0, 'CarKey': 95381, 'CustomerName': 'Running Contract, 281', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/28/2024 9:25:00 AM', 'ToDateTime': '7/31/2024 9:25:00 AM', 'DayRentValue': 0.0, 'Documents': None}]",8
550.0,4,LUXURY SPORTS CAR RENTAL L.L.C.,3000.0,10000.0,-1.0,4,5,Nissan Petrol Nismo,-1,Dubai,19331,95383,Dubai,34497,3255,6,00971509020763,2021,,"[{'ReservationKey': 0, 'CarKey': 95383, 'CustomerName': 'Running Contract, 247', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '4/22/2024 6:30:00 AM', 'ToDateTime': '4/22/2024 6:30:00 AM', 'DayRentValue': 0.0, 'Documents': None}]",8
650.0,2,LUXURY SPORTS CAR RENTAL L.L.C.,3500.0,13000.0,-1.0,2,4,BMW M430i,-1,Dubai,34143,95373,Dubai,89581,3255,4,00971509020763,2022,,,4
650.0,4,LUXURY SPORTS CAR RENTAL L.L.C.,3900.0,13650.0,-1.0,4,4,Range Rover Evoque,-1,Dubai,55235,112652,Dubai,20196,3255,5,00971509020763,2022,,"[{'ReservationKey': 0, 'CarKey': 112652, 'CustomerName': 'Running Contract, 251', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '4/24/2024 8:09:00 PM', 'ToDateTime': '4/24/2024 8:09:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4
800.0,2,LUXURY SPORTS CAR RENTAL L.L.C.,5500.0,18000.0,-1.0,2,2,Porsche Boxster 718,-1,Dubai,37064,95340,Dubai,39426,3255,2,00971509020763,2022,,,4
900.0,4,LUXURY SPORTS CAR RENTAL L.L.C.,5500.0,20000.0,-1.0,4,5,Mercedes GLE450,-1,Dubai,27867,95343,Dubai,38467,3255,6,00971509020763,2022,,,6
