Reservations,DayRentValue,CarPhotoURL,City,Region,Doors,Model,CarNo,MemberNo,Gear,BookingDiscount,WeekRentValue,Cylinders,Seats,MobileSalesMan,MemberName,WD,Passengers,MonthRentValue,CarKey,Milage,CarName
,250.0,,Dubai,Dubai,4,2022,23538,3255,-1,-1.0,1500.0,4,4,00971509020763,LUXURY SPORTS CAR RENTAL L.L.C.,4,5,4500.0,118748,23149,Jeep Compass
,400.0,,Dubai,Dubai,4,2021,25091,3255,-1,-1.0,2100.0,4,4,00971509020763,LUXURY SPORTS CAR RENTAL L.L.C.,4,5,8000.0,96809,117940,Mercedes A220
"[{'ReservationKey': 0, 'CarKey': 96805, 'CustomerName': 'Running Contract, 274', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '6/8/2024 1:25:00 PM', 'ToDateTime': '6/19/2024 1:25:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",400.0,,Dubai,Dubai,2,2021,69452,3255,-1,-1.0,2700.0,8,4,00971509020763,LUXURY SPORTS CAR RENTAL L.L.C.,2,5,9000.0,96805,49308,Dodge Challenger V8
,400.0,,Dubai,Dubai,4,2021,84671,3255,-1,-1.0,2300.0,4,2,00971509020763,LUXURY SPORTS CAR RENTAL L.L.C.,2,5,8000.0,96806,46989,Ford Mustang V4
,400.0,,Dubai,Dubai,4,2022,72362,3255,-1,-1.0,2800.0,4,2,00971509020763,LUXURY SPORTS CAR RENTAL L.L.C.,2,5,8000.0,96807,55555,Mercedes GLA250
,420.0,,Dubai,Dubai,2,2019,98204,3255,-1,-1.0,2100.0,4,4,00971509020763,LUXURY SPORTS CAR RENTAL L.L.C.,4,4,8000.0,96802,172523,Mercedes C300 Coupe
,450.0,,Dubai,Dubai,4,2020,86005,3255,-1,-1.0,2900.0,4,2,00971509020763,LUXURY SPORTS CAR RENTAL L.L.C.,2,5,9000.0,96801,90961,Mercedes E300
,450.0,,Dubai,Dubai,4,2020,89158,3255,-1,-1.0,2700.0,8,4,00971509020763,LUXURY SPORTS CAR RENTAL L.L.C.,2,4,9000.0,96783,67735,Dodge Chellenger V8
"[{'ReservationKey': 0, 'CarKey': 96808, 'CustomerName': 'Running Contract, 179', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '2/7/2024 8:35:49 PM', 'ToDateTime': '2/7/2024 8:35:49 PM', 'DayRentValue': 0.0, 'Documents': None}]",500.0,,Dubai,Dubai,4,2020,25990,3255,-1,-1.0,2500.0,4,4,00971509020763,LUXURY SPORTS CAR RENTAL L.L.C.,4,5,8500.0,96808,110116,Mercedes C43 AMG
,500.0,,Dubai,Dubai,2,2021,38018,3255,-1,-1.0,3000.0,8,4,00971509020763,LUXURY SPORTS CAR RENTAL L.L.C.,2,4,9000.0,95381,57660,Ford Mustang V8
"[{'ReservationKey': 0, 'CarKey': 95383, 'CustomerName': 'Running Contract, 247', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '4/22/2024 6:30:00 AM', 'ToDateTime': '4/22/2024 6:30:00 AM', 'DayRentValue': 0.0, 'Documents': None}]",550.0,,Dubai,Dubai,4,2021,34497,3255,-1,-1.0,3000.0,8,5,00971509020763,LUXURY SPORTS CAR RENTAL L.L.C.,4,6,10000.0,95383,19331,Nissan Petrol Nismo
,650.0,,Dubai,Dubai,2,2022,89581,3255,-1,-1.0,3500.0,4,4,00971509020763,LUXURY SPORTS CAR RENTAL L.L.C.,2,4,13000.0,95373,34143,BMW M430i
"[{'ReservationKey': 0, 'CarKey': 112652, 'CustomerName': 'Running Contract, 251', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '4/24/2024 8:09:00 PM', 'ToDateTime': '4/24/2024 8:09:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",650.0,,Dubai,Dubai,4,2022,20196,3255,-1,-1.0,3900.0,4,4,00971509020763,LUXURY SPORTS CAR RENTAL L.L.C.,4,5,13650.0,112652,55235,Range Rover Evoque
,800.0,,Dubai,Dubai,2,2022,39426,3255,-1,-1.0,5500.0,4,2,00971509020763,LUXURY SPORTS CAR RENTAL L.L.C.,2,2,18000.0,95340,37064,Porsche Boxster 718
,900.0,,Dubai,Dubai,4,2022,38467,3255,-1,-1.0,5500.0,6,5,00971509020763,LUXURY SPORTS CAR RENTAL L.L.C.,4,6,20000.0,95343,27867,Mercedes GLE450
