WD,Model,CarName,Reservations,Doors,MemberName,CarPhotoURL,CarKey,Passengers,WeekRentValue,BookingDiscount,MemberNo,Milage,Gear,Seats,MobileSalesMan,CarNo,Region,MonthRentValue,Cylinders,DayRentValue,City
2,2020,Ferrari F8 Tributo,,4,MASTERKEY RENT A CAR L.L.C.,,7713,5,0.0,0.0,2278,118265,-1,2,00971213456789,8125,Business Bay,0.0,4,0.0,Dubai
2,2018,Mercedes E300,,4,MASTERKEY RENT A CAR L.L.C.,,7515,5,0.0,0.0,2278,176351,-1,2,00971213456789,51965,Business Bay,0.0,4,0.0,Dubai
2,2019,Nissan Patrol Nismo,"[{'ReservationKey': 0, 'CarKey': 7530, 'CustomerName': 'Running Contract, 155801', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '2/2/2023 12:05:00 AM', 'ToDateTime': '2/3/2023 12:05:00 AM', 'DayRentValue': 0.0, 'Documents': None}]",4,MASTERKEY RENT A CAR L.L.C.,,7530,5,0.0,0.0,2278,83843,-1,2,00971213456789,25179,Business Bay,0.0,4,0.0,Dubai
2,2018,Mercedes C300,,4,MASTERKEY RENT A CAR L.L.C.,,7513,5,0.0,0.0,2278,198003,-1,2,00971213456789,33135,Business Bay,0.0,4,0.0,Dubai
2,2018,Mclaren 570s,,4,MASTERKEY RENT A CAR L.L.C.,,7521,5,0.0,0.0,2278,41184,-1,2,00971213456789,6408,Business Bay,0.0,4,0.0,Dubai
2,2020,Range Rover SVR,,4,MASTERKEY RENT A CAR L.L.C.,,7534,5,0.0,0.0,2278,94999,-1,2,00971213456789,3460,Business Bay,0.0,4,0.0,Dubai
2,2020,ROLLS ROYCE CULLINAN,,4,MASTERKEY RENT A CAR L.L.C.,,88785,5,630.0,0.0,2278,91071,-1,2,00971213456789,4829,Business Bay,2400.0,4,100.0,Dubai
2,2022,BENTLEY BENTAYGA,,4,MASTERKEY RENT A CAR L.L.C.,,88958,5,630.0,0.0,2278,15881,-1,2,00971213456789,8435,Business Bay,2400.0,4,100.0,Dubai
2,2021,AUDI RSQ8,,4,MASTERKEY RENT A CAR L.L.C.,,87196,5,630.0,0.0,2278,53142,-1,2,00971213456789,55069,Business Bay,2400.0,4,100.0,Dubai
2,2020,ROLLS ROYCE CULLINAN,,4,MASTERKEY RENT A CAR L.L.C.,,87295,5,630.0,0.0,2278,87667,-1,2,00971213456789,99446,Business Bay,2400.0,4,100.0,Dubai
2,2021,Rolls Royce GHOST,,4,MASTERKEY RENT A CAR L.L.C.,,116573,5,630.0,0.0,2278,11153,-1,2,00971213456789,41129,Business Bay,2400.0,4,100.0,Dubai
2,2023,RANGE ROVER HSE,,4,MASTERKEY RENT A CAR L.L.C.,,142269,5,630.0,0.0,2278,12020,-1,2,00971213456789,7713,Business Bay,2400.0,4,100.0,Dubai
2,2023,CADILLAC ESCALDE,"[{'ReservationKey': 0, 'CarKey': 142271, 'CustomerName': 'Running Contract, 26519', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/30/2024 10:30:00 PM', 'ToDateTime': '8/3/2024 10:30:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4,MASTERKEY RENT A CAR L.L.C.,,142271,5,630.0,0.0,2278,15283,-1,2,00971213456789,78172,Business Bay,2400.0,4,100.0,Dubai
2,2017,Mercedes C 200,,4,MASTERKEY RENT A CAR L.L.C.,,6502,5,630.0,0.0,2278,163480,-1,2,00971213456789,55491,Business Bay,2400.0,4,100.0,Dubai
2,2021,CADILLAC ESCALADE,,4,MASTERKEY RENT A CAR L.L.C.,,87372,5,630.0,0.0,2278,41982,-1,2,00971213456789,85145,Business Bay,2400.0,4,100.0,Dubai
2,2024,FERRARI PUROSANGUE,,4,MASTERKEY RENT A CAR L.L.C.,,142134,5,630.0,0.0,2278,4847,-1,2,00971213456789,77776,Business Bay,2400.0,4,100.0,Dubai
2,2021,LAMBORGHINI URUS MY20 ,"[{'ReservationKey': 0, 'CarKey': 142303, 'CustomerName': 'Running Contract, 26558', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '8/1/2024 8:10:00 AM', 'ToDateTime': '8/2/2024 8:10:00 AM', 'DayRentValue': 0.0, 'Documents': None}]",4,MASTERKEY RENT A CAR L.L.C.,,142303,5,630.0,0.0,2278,82620,-1,2,00971213456789,7012,Business Bay,2400.0,4,100.0,Dubai
2,2023,CHEVROLET CORVETTE,,4,MASTERKEY RENT A CAR L.L.C.,,87436,5,630.0,0.0,2278,46822,-1,2,00971213456789,2791,Business Bay,2400.0,4,100.0,Dubai
2,2019,CHEVROLET CAMARO,,4,MASTERKEY RENT A CAR L.L.C.,,95316,5,630.0,0.0,2278,73762,-1,2,00971213456789,39474,Business Bay,2400.0,4,100.0,Dubai
2,2021,BENTLEY BENTAYGA ,"[{'ReservationKey': 0, 'CarKey': 96918, 'CustomerName': 'Running Contract, 26541', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/31/2024 6:20:00 PM', 'ToDateTime': '8/1/2024 6:20:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4,MASTERKEY RENT A CAR L.L.C.,,96918,5,630.0,0.0,2278,100726,-1,2,00971213456789,8230,Business Bay,2400.0,4,100.0,Dubai
2,2019,BENTLY CONTINENTAL GT	,,4,MASTERKEY RENT A CAR L.L.C.,,72625,5,630.0,0.0,2278,53390,-1,2,00971213456789,2791,Business Bay,2400.0,4,100.0,Dubai
2,2022,BENTLEY BENTAYGA,,4,MASTERKEY RENT A CAR L.L.C.,,93577,5,630.0,0.0,2278,22048,-1,2,00971213456789,66443,Business Bay,2400.0,4,100.0,Dubai
2,2021,CADILLAC ESCALADE,"[{'ReservationKey': 0, 'CarKey': 93587, 'CustomerName': 'Running Contract, 26420', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/27/2024 11:37:00 AM', 'ToDateTime': '8/4/2024 11:37:00 AM', 'DayRentValue': 0.0, 'Documents': None}]",4,MASTERKEY RENT A CAR L.L.C.,,93587,5,630.0,0.0,2278,89496,-1,2,00971213456789,7401,Business Bay,2400.0,4,100.0,Dubai
2,2022,LAMBORGHINI URUS MY20,"[{'ReservationKey': 0, 'CarKey': 87680, 'CustomerName': 'Running Contract, 22515', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '3/9/2024 2:15:00 PM', 'ToDateTime': '3/9/2024 2:15:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4,MASTERKEY RENT A CAR L.L.C.,,87680,5,630.0,0.0,2278,45152,-1,2,00971213456789,9174,Business Bay,2400.0,4,100.0,Dubai
2,2020,MCLAREN 570S,,4,MASTERKEY RENT A CAR L.L.C.,,88892,5,630.0,0.0,2278,51929,-1,2,00971213456789,5177,Business Bay,2400.0,4,100.0,Dubai
2,2023,MERCEDES G63,,4,MASTERKEY RENT A CAR L.L.C.,,92541,5,630.0,0.0,2278,49422,-1,2,00971213456789,60016,Business Bay,2400.0,4,100.0,Dubai
2,2022,CHEVROLET CAPTIVA,"[{'ReservationKey': 0, 'CarKey': 71110, 'CustomerName': 'Running Contract, 25937', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/10/2024 3:12:00 PM', 'ToDateTime': '7/11/2024 3:12:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4,MASTERKEY RENT A CAR L.L.C.,,71110,5,630.0,0.0,2278,59480,-1,2,00971213456789,93145,Business Bay,2400.0,4,100.0,Dubai
