DayRentValue,WD,MemberName,WeekRentValue,MonthRentValue,BookingDiscount,Doors,Seats,CarName,Gear,Region,Milage,CarKey,City,CarNo,MemberNo,Passengers,MobileSalesMan,Model,CarPhotoURL,Reservations,Cylinders
0.0,2,MASTERKEY RENT A CAR L.L.C.,0.0,0.0,0.0,4,2,Ferrari F8 Tributo,-1,Business Bay,118265,7713,Dubai,8125,2278,5,00971213456789,2020,,,4
0.0,2,MASTERKEY RENT A CAR L.L.C.,0.0,0.0,0.0,4,2,Mercedes E300,-1,Business Bay,176351,7515,Dubai,51965,2278,5,00971213456789,2018,,,4
0.0,2,MASTERKEY RENT A CAR L.L.C.,0.0,0.0,0.0,4,2,Nissan Patrol Nismo,-1,Business Bay,83843,7530,Dubai,25179,2278,5,00971213456789,2019,,"[{'ReservationKey': 0, 'CarKey': 7530, 'CustomerName': 'Running Contract, 155801', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '2/2/2023 12:05:00 AM', 'ToDateTime': '2/3/2023 12:05:00 AM', 'DayRentValue': 0.0, 'Documents': None}]",4
0.0,2,MASTERKEY RENT A CAR L.L.C.,0.0,0.0,0.0,4,2,Mercedes C300,-1,Business Bay,198003,7513,Dubai,33135,2278,5,00971213456789,2018,,,4
0.0,2,MASTERKEY RENT A CAR L.L.C.,0.0,0.0,0.0,4,2,Mclaren 570s,-1,Business Bay,41184,7521,Dubai,6408,2278,5,00971213456789,2018,,,4
0.0,2,MASTERKEY RENT A CAR L.L.C.,0.0,0.0,0.0,4,2,Range Rover SVR,-1,Business Bay,94999,7534,Dubai,3460,2278,5,00971213456789,2020,,,4
100.0,2,MASTERKEY RENT A CAR L.L.C.,630.0,2400.0,0.0,4,2,ROLLS ROYCE CULLINAN,-1,Business Bay,91071,88785,Dubai,4829,2278,5,00971213456789,2020,,,4
100.0,2,MASTERKEY RENT A CAR L.L.C.,630.0,2400.0,0.0,4,2,BENTLEY BENTAYGA,-1,Business Bay,15881,88958,Dubai,8435,2278,5,00971213456789,2022,,,4
100.0,2,MASTERKEY RENT A CAR L.L.C.,630.0,2400.0,0.0,4,2,AUDI RSQ8,-1,Business Bay,53142,87196,Dubai,55069,2278,5,00971213456789,2021,,,4
100.0,2,MASTERKEY RENT A CAR L.L.C.,630.0,2400.0,0.0,4,2,ROLLS ROYCE CULLINAN,-1,Business Bay,87667,87295,Dubai,99446,2278,5,00971213456789,2020,,,4
100.0,2,MASTERKEY RENT A CAR L.L.C.,630.0,2400.0,0.0,4,2,Rolls Royce GHOST,-1,Business Bay,11153,116573,Dubai,41129,2278,5,00971213456789,2021,,,4
100.0,2,MASTERKEY RENT A CAR L.L.C.,630.0,2400.0,0.0,4,2,RANGE ROVER HSE,-1,Business Bay,12042,142269,Dubai,7713,2278,5,00971213456789,2023,,"[{'ReservationKey': 0, 'CarKey': 142269, 'CustomerName': 'Running Contract, 26574', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '8/1/2024 5:00:00 PM', 'ToDateTime': '8/10/2024 5:00:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,MASTERKEY RENT A CAR L.L.C.,630.0,2400.0,0.0,4,2,CADILLAC ESCALDE,-1,Business Bay,15283,142271,Dubai,78172,2278,5,00971213456789,2023,,"[{'ReservationKey': 0, 'CarKey': 142271, 'CustomerName': 'Running Contract, 26519', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/30/2024 10:30:00 PM', 'ToDateTime': '8/3/2024 10:30:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,MASTERKEY RENT A CAR L.L.C.,630.0,2400.0,0.0,4,2,Mercedes C 200,-1,Business Bay,163480,6502,Dubai,55491,2278,5,00971213456789,2017,,,4
100.0,2,MASTERKEY RENT A CAR L.L.C.,630.0,2400.0,0.0,4,2,CADILLAC ESCALADE,-1,Business Bay,41982,87372,Dubai,85145,2278,5,00971213456789,2021,,,4
100.0,2,MASTERKEY RENT A CAR L.L.C.,630.0,2400.0,0.0,4,2,FERRARI PUROSANGUE,-1,Business Bay,4847,142134,Dubai,77776,2278,5,00971213456789,2024,,,4
100.0,2,MASTERKEY RENT A CAR L.L.C.,630.0,2400.0,0.0,4,2,LAMBORGHINI URUS MY20 ,-1,Business Bay,82620,142303,Dubai,7012,2278,5,00971213456789,2021,,"[{'ReservationKey': 0, 'CarKey': 142303, 'CustomerName': 'Running Contract, 26558', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '8/1/2024 8:10:00 AM', 'ToDateTime': '8/2/2024 8:10:00 AM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,MASTERKEY RENT A CAR L.L.C.,630.0,2400.0,0.0,4,2,CHEVROLET CORVETTE,-1,Business Bay,46822,87436,Dubai,2791,2278,5,00971213456789,2023,,,4
100.0,2,MASTERKEY RENT A CAR L.L.C.,630.0,2400.0,0.0,4,2,CHEVROLET CAMARO,-1,Business Bay,73762,95316,Dubai,39474,2278,5,00971213456789,2019,,,4
100.0,2,MASTERKEY RENT A CAR L.L.C.,630.0,2400.0,0.0,4,2,BENTLEY BENTAYGA ,-1,Business Bay,100726,96918,Dubai,8230,2278,5,00971213456789,2021,,"[{'ReservationKey': 0, 'CarKey': 96918, 'CustomerName': 'Running Contract, 26541', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/31/2024 6:20:00 PM', 'ToDateTime': '8/1/2024 6:20:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,MASTERKEY RENT A CAR L.L.C.,630.0,2400.0,0.0,4,2,BENTLY CONTINENTAL GT	,-1,Business Bay,53390,72625,Dubai,2791,2278,5,00971213456789,2019,,,4
100.0,2,MASTERKEY RENT A CAR L.L.C.,630.0,2400.0,0.0,4,2,BENTLEY BENTAYGA,-1,Business Bay,22048,93577,Dubai,66443,2278,5,00971213456789,2022,,,4
100.0,2,MASTERKEY RENT A CAR L.L.C.,630.0,2400.0,0.0,4,2,CADILLAC ESCALADE,-1,Business Bay,89496,93587,Dubai,7401,2278,5,00971213456789,2021,,"[{'ReservationKey': 0, 'CarKey': 93587, 'CustomerName': 'Running Contract, 26420', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/27/2024 11:37:00 AM', 'ToDateTime': '8/4/2024 11:37:00 AM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,MASTERKEY RENT A CAR L.L.C.,630.0,2400.0,0.0,4,2,LAMBORGHINI URUS MY20,-1,Business Bay,45152,87680,Dubai,9174,2278,5,00971213456789,2022,,"[{'ReservationKey': 0, 'CarKey': 87680, 'CustomerName': 'Running Contract, 22515', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '3/9/2024 2:15:00 PM', 'ToDateTime': '3/9/2024 2:15:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,MASTERKEY RENT A CAR L.L.C.,630.0,2400.0,0.0,4,2,MCLAREN 570S,-1,Business Bay,51929,88892,Dubai,5177,2278,5,00971213456789,2020,,,4
100.0,2,MASTERKEY RENT A CAR L.L.C.,630.0,2400.0,0.0,4,2,MERCEDES G63,-1,Business Bay,49422,92541,Dubai,60016,2278,5,00971213456789,2023,,,4
100.0,2,MASTERKEY RENT A CAR L.L.C.,630.0,2400.0,0.0,4,2,CHEVROLET CAPTIVA,-1,Business Bay,59480,71110,Dubai,93145,2278,5,00971213456789,2022,,"[{'ReservationKey': 0, 'CarKey': 71110, 'CustomerName': 'Running Contract, 25937', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/10/2024 3:12:00 PM', 'ToDateTime': '7/11/2024 3:12:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4
