Reservations,DayRentValue,CarPhotoURL,City,Region,Doors,Model,CarNo,MemberNo,Gear,BookingDiscount,WeekRentValue,Cylinders,Seats,MobileSalesMan,MemberName,WD,Passengers,MonthRentValue,CarKey,Milage,CarName
,0.0,,Dubai,Business Bay,4,2020,8125,2278,-1,0.0,0.0,4,2,00971213456789,MASTERKEY RENT A CAR L.L.C.,2,5,0.0,7713,118265,Ferrari F8 Tributo
,0.0,,Dubai,Business Bay,4,2018,51965,2278,-1,0.0,0.0,4,2,00971213456789,MASTERKEY RENT A CAR L.L.C.,2,5,0.0,7515,176351,Mercedes E300
"[{'ReservationKey': 0, 'CarKey': 7530, 'CustomerName': 'Running Contract, 155801', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '2/2/2023 12:05:00 AM', 'ToDateTime': '2/3/2023 12:05:00 AM', 'DayRentValue': 0.0, 'Documents': None}]",0.0,,Dubai,Business Bay,4,2019,25179,2278,-1,0.0,0.0,4,2,00971213456789,MASTERKEY RENT A CAR L.L.C.,2,5,0.0,7530,83843,Nissan Patrol Nismo
,0.0,,Dubai,Business Bay,4,2018,33135,2278,-1,0.0,0.0,4,2,00971213456789,MASTERKEY RENT A CAR L.L.C.,2,5,0.0,7513,198003,Mercedes C300
,0.0,,Dubai,Business Bay,4,2018,6408,2278,-1,0.0,0.0,4,2,00971213456789,MASTERKEY RENT A CAR L.L.C.,2,5,0.0,7521,41184,Mclaren 570s
,0.0,,Dubai,Business Bay,4,2020,3460,2278,-1,0.0,0.0,4,2,00971213456789,MASTERKEY RENT A CAR L.L.C.,2,5,0.0,7534,94999,Range Rover SVR
,100.0,,Dubai,Business Bay,4,2020,4829,2278,-1,0.0,630.0,4,2,00971213456789,MASTERKEY RENT A CAR L.L.C.,2,5,2400.0,88785,91071,ROLLS ROYCE CULLINAN
,100.0,,Dubai,Business Bay,4,2022,8435,2278,-1,0.0,630.0,4,2,00971213456789,MASTERKEY RENT A CAR L.L.C.,2,5,2400.0,88958,15881,BENTLEY BENTAYGA
,100.0,,Dubai,Business Bay,4,2021,55069,2278,-1,0.0,630.0,4,2,00971213456789,MASTERKEY RENT A CAR L.L.C.,2,5,2400.0,87196,53142,AUDI RSQ8
,100.0,,Dubai,Business Bay,4,2020,99446,2278,-1,0.0,630.0,4,2,00971213456789,MASTERKEY RENT A CAR L.L.C.,2,5,2400.0,87295,87667,ROLLS ROYCE CULLINAN
,100.0,,Dubai,Business Bay,4,2021,41129,2278,-1,0.0,630.0,4,2,00971213456789,MASTERKEY RENT A CAR L.L.C.,2,5,2400.0,116573,11153,Rolls Royce GHOST
"[{'ReservationKey': 0, 'CarKey': 142269, 'CustomerName': 'Running Contract, 26574', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '8/1/2024 5:00:00 PM', 'ToDateTime': '8/10/2024 5:00:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,Dubai,Business Bay,4,2023,7713,2278,-1,0.0,630.0,4,2,00971213456789,MASTERKEY RENT A CAR L.L.C.,2,5,2400.0,142269,12042,RANGE ROVER HSE
"[{'ReservationKey': 0, 'CarKey': 142271, 'CustomerName': 'Running Contract, 26519', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/30/2024 10:30:00 PM', 'ToDateTime': '8/3/2024 10:30:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",100.0,,Dubai,Business Bay,4,2023,78172,2278,-1,0.0,630.0,4,2,00971213456789,MASTERKEY RENT A CAR L.L.C.,2,5,2400.0,142271,15283,CADILLAC ESCALDE
,100.0,,Dubai,Business Bay,4,2017,55491,2278,-1,0.0,630.0,4,2,00971213456789,MASTERKEY RENT A CAR L.L.C.,2,5,2400.0,6502,163480,Mercedes C 200
,100.0,,Dubai,Business Bay,4,2021,85145,2278,-1,0.0,630.0,4,2,00971213456789,MASTERKEY RENT A CAR L.L.C.,2,5,2400.0,87372,41982,CADILLAC ESCALADE
,100.0,,Dubai,Business Bay,4,2024,77776,2278,-1,0.0,630.0,4,2,00971213456789,MASTERKEY RENT A CAR L.L.C.,2,5,2400.0,142134,4847,FERRARI PUROSANGUE
