WD,Model,CarName,Reservations,Doors,MemberName,CarPhotoURL,CarKey,Passengers,WeekRentValue,BookingDiscount,MemberNo,Milage,Gear,Seats,MobileSalesMan,CarNo,Region,MonthRentValue,Cylinders,DayRentValue,City
2,2022,MAZDA CX 5,"[{'ReservationKey': 0, 'CarKey': 62114, 'CustomerName': 'Running Contract, 66361', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '4/3/2024 11:59:00 AM', 'ToDateTime': '4/4/2024 11:59:00 AM', 'DayRentValue': 0.0, 'Documents': None}, {'ReservationKey': 1, 'CarKey': 62114, 'CustomerName': 'Hasan Abboushi', 'CustomerMobile': '0503694779', 'ReservationStatus': 1, 'ReservationDateTime': '6/6/2024 12:00:00 AM', 'FromDateTime': '5/10/2024 12:00:00 AM', 'ToDateTime': '6/15/2024 12:00:00 AM', 'DayRentValue': 90.0, 'Documents': 'www.takamol.com/Services/GetImageFromDatabase.aspx?webapikey=9090&Mn=1&fk=4040031&auth=T5U&thump=false|www.takamol.com/Services/GetImageFromDatabase.aspx?webapikey=9090&Mn=1&fk=4040032&auth=38C&thump=false|'}]",4,ROTANA STAR RENT A CAR,,62114,5,630.0,0.0,2114,57979,-1,2,00971504947393,52074,ALBARSHA 1,2400.0,4,100.0,Dubai
2,2021,CHEVROLET TAHOE,"[{'ReservationKey': 0, 'CarKey': 62110, 'CustomerName': 'Running Contract, 71056', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '6/27/2024 9:10:00 PM', 'ToDateTime': '6/28/2024 9:10:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4,ROTANA STAR RENT A CAR,,62110,5,630.0,0.0,2114,63475,-1,2,00971504947393,27326,ALBARSHA 1,2400.0,4,100.0,Dubai
2,2022,CHEVROLET CAPTIVA,"[{'ReservationKey': 0, 'CarKey': 62119, 'CustomerName': 'Running Contract, 72297', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/21/2024 7:30:00 PM', 'ToDateTime': '7/28/2024 7:30:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4,ROTANA STAR RENT A CAR,,62119,5,630.0,0.0,2114,86361,-1,2,00971504947393,79940,ALBARSHA 1,2400.0,4,100.0,Dubai
2,2022,MAZDA CX 5,"[{'ReservationKey': 0, 'CarKey': 62120, 'CustomerName': 'Running Contract, 380831', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/30/2024 6:15:00 PM', 'ToDateTime': '7/31/2024 6:15:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4,ROTANA STAR RENT A CAR,,62120,5,630.0,0.0,2114,79403,-1,2,00971504947393,55304,ALBARSHA 1,2400.0,4,100.0,Dubai
2,2022,GMC YUKON,"[{'ReservationKey': 0, 'CarKey': 62106, 'CustomerName': 'Running Contract, 72557', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/27/2024 1:31:00 PM', 'ToDateTime': '7/28/2024 1:31:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4,ROTANA STAR RENT A CAR,,62106,5,630.0,0.0,2114,51272,-1,2,00971504947393,86671,ALBARSHA 1,2400.0,4,100.0,Dubai
2,2021,CHEVROLETE TAHOE,"[{'ReservationKey': 0, 'CarKey': 62107, 'CustomerName': 'Running Contract, 72560', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/27/2024 6:50:00 PM', 'ToDateTime': '8/3/2024 6:50:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4,ROTANA STAR RENT A CAR,,62107,5,630.0,0.0,2114,55003,-1,2,00971504947393,25284,ALBARSHA 1,2400.0,4,100.0,Dubai
2,2022,CHEVROLETE TAHOE,"[{'ReservationKey': 0, 'CarKey': 62108, 'CustomerName': 'Running Contract, 72714', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/31/2024 10:45:00 AM', 'ToDateTime': '8/3/2024 10:45:00 AM', 'DayRentValue': 0.0, 'Documents': None}]",4,ROTANA STAR RENT A CAR,,62108,5,630.0,0.0,2114,67403,-1,2,00971504947393,98621,ALBARSHA 1,2400.0,4,100.0,Dubai
2,2022,MAZDA CX5,"[{'ReservationKey': 0, 'CarKey': 62117, 'CustomerName': 'Running Contract, 70193', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '6/9/2024 11:45:00 AM', 'ToDateTime': '7/9/2024 11:45:00 AM', 'DayRentValue': 0.0, 'Documents': None}]",4,ROTANA STAR RENT A CAR,,62117,5,630.0,0.0,2114,73200,-1,2,00971504947393,43226,ALBARSHA 1,2400.0,4,100.0,Dubai
2,2024,BENTLEY BENTAYGA,,4,ROTANA STAR RENT A CAR,,128920,5,630.0,0.0,2114,10263,-1,2,00971504947393,65220,ALBARSHA 1,2400.0,4,100.0,Dubai
2,2024,BENTLEY BENTAYGA,,4,ROTANA STAR RENT A CAR,,128922,5,630.0,0.0,2114,12331,-1,2,00971504947393,65215,ALBARSHA 1,2400.0,4,100.0,Dubai
2,2022,MAZDA 6,,4,ROTANA STAR RENT A CAR,,67485,5,630.0,0.0,2114,52468,-1,2,00971504947393,64232,ALBARSHA 1,2400.0,4,100.0,Dubai
2,2022,RANGE ROVER HSE,"[{'ReservationKey': 0, 'CarKey': 83447, 'CustomerName': 'Running Contract, 72732', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '8/1/2024 1:30:00 PM', 'ToDateTime': '8/5/2024 1:30:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4,ROTANA STAR RENT A CAR,,83447,5,630.0,0.0,2114,60528,-1,2,00971504947393,1417,ALBARSHA 1,2400.0,4,100.0,Dubai
2,2019,ROLLS ROYCE CULLINAN,"[{'ReservationKey': 0, 'CarKey': 83448, 'CustomerName': 'Running Contract, 72620', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '8/1/2024 6:15:00 PM', 'ToDateTime': '8/2/2024 6:15:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4,ROTANA STAR RENT A CAR,,83448,5,630.0,0.0,2114,96929,-1,2,00971504947393,30305,ALBARSHA 1,2400.0,4,100.0,Dubai
2,2020,MERCEDES G63,"[{'ReservationKey': 0, 'CarKey': 83450, 'CustomerName': 'Running Contract, 72460', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/30/2024 4:40:00 PM', 'ToDateTime': '8/3/2024 4:40:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4,ROTANA STAR RENT A CAR,,83450,5,630.0,0.0,2114,96055,-1,2,00971504947393,50503,ALBARSHA 1,2400.0,4,100.0,Dubai
2,2022,MERCEDES GLS 600,,4,ROTANA STAR RENT A CAR,,67465,5,630.0,0.0,2114,64279,-1,2,00971504947393,50509,ALBARSHA 1,2400.0,4,100.0,Dubai
2,2022,MERCEDES G63,,4,ROTANA STAR RENT A CAR,,67466,5,630.0,0.0,2114,83519,-1,2,00971504947393,50509,ALBARSHA 1,2400.0,4,100.0,Dubai
