DayRentValue,WD,MemberName,WeekRentValue,MonthRentValue,BookingDiscount,Doors,Seats,CarName,Gear,Region,Milage,CarKey,City,CarNo,MemberNo,Passengers,MobileSalesMan,Model,CarPhotoURL,Reservations,Cylinders
100.0,2,ROTANA STAR RENT A CAR,630.0,2400.0,0.0,4,2,MAZDA CX 5,-1,ALBARSHA 1,57979,62114,Dubai,52074,2114,5,00971504947393,2022,,"[{'ReservationKey': 0, 'CarKey': 62114, 'CustomerName': 'Running Contract, 66361', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '4/3/2024 11:59:00 AM', 'ToDateTime': '4/4/2024 11:59:00 AM', 'DayRentValue': 0.0, 'Documents': None}, {'ReservationKey': 1, 'CarKey': 62114, 'CustomerName': 'Hasan Abboushi', 'CustomerMobile': '0503694779', 'ReservationStatus': 1, 'ReservationDateTime': '6/6/2024 12:00:00 AM', 'FromDateTime': '5/10/2024 12:00:00 AM', 'ToDateTime': '6/15/2024 12:00:00 AM', 'DayRentValue': 90.0, 'Documents': 'www.takamol.com/Services/GetImageFromDatabase.aspx?webapikey=9090&Mn=1&fk=4040031&auth=T5U&thump=false|www.takamol.com/Services/GetImageFromDatabase.aspx?webapikey=9090&Mn=1&fk=4040032&auth=38C&thump=false|'}]",4
100.0,2,ROTANA STAR RENT A CAR,630.0,2400.0,0.0,4,2,CHEVROLET TAHOE,-1,ALBARSHA 1,63475,62110,Dubai,27326,2114,5,00971504947393,2021,,"[{'ReservationKey': 0, 'CarKey': 62110, 'CustomerName': 'Running Contract, 71056', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '6/27/2024 9:10:00 PM', 'ToDateTime': '6/28/2024 9:10:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,ROTANA STAR RENT A CAR,630.0,2400.0,0.0,4,2,CHEVROLET CAPTIVA,-1,ALBARSHA 1,86361,62119,Dubai,79940,2114,5,00971504947393,2022,,"[{'ReservationKey': 0, 'CarKey': 62119, 'CustomerName': 'Running Contract, 72297', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/21/2024 7:30:00 PM', 'ToDateTime': '7/28/2024 7:30:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,ROTANA STAR RENT A CAR,630.0,2400.0,0.0,4,2,MAZDA CX 5,-1,ALBARSHA 1,79403,62120,Dubai,55304,2114,5,00971504947393,2022,,"[{'ReservationKey': 0, 'CarKey': 62120, 'CustomerName': 'Running Contract, 380831', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/30/2024 6:15:00 PM', 'ToDateTime': '7/31/2024 6:15:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,ROTANA STAR RENT A CAR,630.0,2400.0,0.0,4,2,GMC YUKON,-1,ALBARSHA 1,51272,62106,Dubai,86671,2114,5,00971504947393,2022,,"[{'ReservationKey': 0, 'CarKey': 62106, 'CustomerName': 'Running Contract, 72557', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/27/2024 1:31:00 PM', 'ToDateTime': '7/28/2024 1:31:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,ROTANA STAR RENT A CAR,630.0,2400.0,0.0,4,2,CHEVROLETE TAHOE,-1,ALBARSHA 1,55003,62107,Dubai,25284,2114,5,00971504947393,2021,,"[{'ReservationKey': 0, 'CarKey': 62107, 'CustomerName': 'Running Contract, 72560', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/27/2024 6:50:00 PM', 'ToDateTime': '8/3/2024 6:50:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,ROTANA STAR RENT A CAR,630.0,2400.0,0.0,4,2,CHEVROLETE TAHOE,-1,ALBARSHA 1,67403,62108,Dubai,98621,2114,5,00971504947393,2022,,"[{'ReservationKey': 0, 'CarKey': 62108, 'CustomerName': 'Running Contract, 72714', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/31/2024 10:45:00 AM', 'ToDateTime': '8/3/2024 10:45:00 AM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,ROTANA STAR RENT A CAR,630.0,2400.0,0.0,4,2,MAZDA CX5,-1,ALBARSHA 1,73200,62117,Dubai,43226,2114,5,00971504947393,2022,,"[{'ReservationKey': 0, 'CarKey': 62117, 'CustomerName': 'Running Contract, 70193', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '6/9/2024 11:45:00 AM', 'ToDateTime': '7/9/2024 11:45:00 AM', 'DayRentValue': 0.0, 'Documents': None}]",4
100.0,2,ROTANA STAR RENT A CAR,630.0,2400.0,0.0,4,2,BENTLEY BENTAYGA,-1,ALBARSHA 1,10263,128920,Dubai,65220,2114,5,00971504947393,2024,,,4
100.0,2,ROTANA STAR RENT A CAR,630.0,2400.0,0.0,4,2,BENTLEY BENTAYGA,-1,ALBARSHA 1,12331,128922,Dubai,65215,2114,5,00971504947393,2024,,,4
