WD,Model,CarName,Reservations,Doors,MemberName,CarPhotoURL,CarKey,Passengers,WeekRentValue,BookingDiscount,MemberNo,Milage,Gear,Seats,MobileSalesMan,CarNo,Region,MonthRentValue,Cylinders,DayRentValue,City
2,2014,TOYOTA  - YARIS,"[{'ReservationKey': 0, 'CarKey': 20380, 'CustomerName': 'Running Contract, 16440', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '11/9/2022 1:00:00 PM', 'ToDateTime': '11/10/2022 1:00:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4,X CAR RENTAL,,20380,5,0.0,0.0,2277,265730,-1,2,00971566299999,92125,Dubai Festival City,0.0,4,70.0,Dubai
2,2019,SUZUKI BALENO,"[{'ReservationKey': 0, 'CarKey': 20647, 'CustomerName': 'Running Contract, 24939', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '6/13/2024 5:45:00 PM', 'ToDateTime': '6/14/2024 5:45:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4,X CAR RENTAL,,20647,5,0.0,0.0,2277,178831,-1,2,00971566299999,64601,Dubai Festival City,0.0,4,80.0,Dubai
2,2018,NISSAN SUNNY,,4,X CAR RENTAL,,20579,5,0.0,0.0,2277,237700,-1,2,00971566299999,29385,Dubai Festival City,0.0,4,80.0,Dubai
2,2017,PEUGEOT- 301,,4,X CAR RENTAL,,20547,5,0.0,0.0,2277,247294,-1,2,00971566299999,15374,Dubai Festival City,0.0,4,80.0,Dubai
2,2015,TOYOTA COROLLA,"[{'ReservationKey': 0, 'CarKey': 20550, 'CustomerName': 'Running Contract, 21345', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '10/24/2023 1:17:32 PM', 'ToDateTime': '10/25/2023 1:17:32 PM', 'DayRentValue': 0.0, 'Documents': None}]",4,X CAR RENTAL,,20550,5,0.0,0.0,2277,312575,-1,2,00971566299999,46673,Dubai Festival City,0.0,4,80.0,Dubai
2,2019,NISSAN SUNNY,"[{'ReservationKey': 0, 'CarKey': 20594, 'CustomerName': 'Running Contract, 24281', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '5/2/2024 3:22:23 PM', 'ToDateTime': '5/3/2024 3:22:23 PM', 'DayRentValue': 0.0, 'Documents': None}]",4,X CAR RENTAL,,20594,5,0.0,0.0,2277,196922,-1,2,00971566299999,47364,Dubai Festival City,0.0,4,80.0,Dubai
2,2019,NISSAN SUNNY,"[{'ReservationKey': 0, 'CarKey': 20595, 'CustomerName': 'Running Contract, 25164', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '6/24/2024 2:45:00 PM', 'ToDateTime': '6/25/2024 2:45:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4,X CAR RENTAL,,20595,5,0.0,0.0,2277,224101,-1,2,00971566299999,47363,Dubai Festival City,0.0,4,80.0,Dubai
2,2019,NISSAN SUNNY,"[{'ReservationKey': 0, 'CarKey': 20601, 'CustomerName': 'Running Contract, 25837', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/31/2024 9:48:31 AM', 'ToDateTime': '8/1/2024 9:48:31 AM', 'DayRentValue': 0.0, 'Documents': None}]",4,X CAR RENTAL,,20601,5,0.0,0.0,2277,217880,-1,2,00971566299999,84678,Dubai Festival City,0.0,4,80.0,Dubai
2,2019,NISSAN SUNNY,,4,X CAR RENTAL,,20603,5,0.0,0.0,2277,151500,-1,2,00971566299999,84679,Dubai Festival City,0.0,4,80.0,Dubai
2,2016,TOYOTA COROLLA,,4,X CAR RENTAL,,20469,5,0.0,0.0,2277,305495,-1,2,00971566299999,17994,Dubai Festival City,0.0,4,90.0,Dubai
