DayRentValue,WD,MemberName,WeekRentValue,MonthRentValue,BookingDiscount,Doors,Seats,CarName,Gear,Region,Milage,CarKey,City,CarNo,MemberNo,Passengers,MobileSalesMan,Model,CarPhotoURL,Reservations,Cylinders
70.0,2,X CAR RENTAL,0.0,0.0,0.0,4,2,TOYOTA  - YARIS,-1,Dubai Festival City,265730,20380,Dubai,92125,2277,5,00971566299999,2014,,"[{'ReservationKey': 0, 'CarKey': 20380, 'CustomerName': 'Running Contract, 16440', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '11/9/2022 1:00:00 PM', 'ToDateTime': '11/10/2022 1:00:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4
80.0,2,X CAR RENTAL,0.0,0.0,0.0,4,2,SUZUKI BALENO,-1,Dubai Festival City,178831,20647,Dubai,64601,2277,5,00971566299999,2019,,"[{'ReservationKey': 0, 'CarKey': 20647, 'CustomerName': 'Running Contract, 24939', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '6/13/2024 5:45:00 PM', 'ToDateTime': '6/14/2024 5:45:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4
80.0,2,X CAR RENTAL,0.0,0.0,0.0,4,2,NISSAN SUNNY,-1,Dubai Festival City,237700,20579,Dubai,29385,2277,5,00971566299999,2018,,,4
80.0,2,X CAR RENTAL,0.0,0.0,0.0,4,2,PEUGEOT- 301,-1,Dubai Festival City,247294,20547,Dubai,15374,2277,5,00971566299999,2017,,,4
80.0,2,X CAR RENTAL,0.0,0.0,0.0,4,2,TOYOTA COROLLA,-1,Dubai Festival City,312575,20550,Dubai,46673,2277,5,00971566299999,2015,,"[{'ReservationKey': 0, 'CarKey': 20550, 'CustomerName': 'Running Contract, 21345', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '10/24/2023 1:17:32 PM', 'ToDateTime': '10/25/2023 1:17:32 PM', 'DayRentValue': 0.0, 'Documents': None}]",4
80.0,2,X CAR RENTAL,0.0,0.0,0.0,4,2,NISSAN SUNNY,-1,Dubai Festival City,196922,20594,Dubai,47364,2277,5,00971566299999,2019,,"[{'ReservationKey': 0, 'CarKey': 20594, 'CustomerName': 'Running Contract, 24281', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '5/2/2024 3:22:23 PM', 'ToDateTime': '5/3/2024 3:22:23 PM', 'DayRentValue': 0.0, 'Documents': None}]",4
80.0,2,X CAR RENTAL,0.0,0.0,0.0,4,2,NISSAN SUNNY,-1,Dubai Festival City,224101,20595,Dubai,47363,2277,5,00971566299999,2019,,"[{'ReservationKey': 0, 'CarKey': 20595, 'CustomerName': 'Running Contract, 25164', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '6/24/2024 2:45:00 PM', 'ToDateTime': '6/25/2024 2:45:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",4
80.0,2,X CAR RENTAL,0.0,0.0,0.0,4,2,NISSAN SUNNY,-1,Dubai Festival City,217880,20601,Dubai,84678,2277,5,00971566299999,2019,,"[{'ReservationKey': 0, 'CarKey': 20601, 'CustomerName': 'Running Contract, 25837', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/31/2024 9:48:31 AM', 'ToDateTime': '8/1/2024 9:48:31 AM', 'DayRentValue': 0.0, 'Documents': None}]",4
80.0,2,X CAR RENTAL,0.0,0.0,0.0,4,2,NISSAN SUNNY,-1,Dubai Festival City,151500,20603,Dubai,84679,2277,5,00971566299999,2019,,,4
90.0,2,X CAR RENTAL,0.0,0.0,0.0,4,2,TOYOTA COROLLA,-1,Dubai Festival City,305495,20469,Dubai,17994,2277,5,00971566299999,2016,,,4
