Reservations,DayRentValue,CarPhotoURL,City,Region,Doors,Model,CarNo,MemberNo,Gear,BookingDiscount,WeekRentValue,Cylinders,Seats,MobileSalesMan,MemberName,WD,Passengers,MonthRentValue,CarKey,Milage,CarName
"[{'ReservationKey': 0, 'CarKey': 20380, 'CustomerName': 'Running Contract, 16440', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '11/9/2022 1:00:00 PM', 'ToDateTime': '11/10/2022 1:00:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",70.0,,Dubai,Dubai Festival City,4,2014,92125,2277,-1,0.0,0.0,4,2,00971566299999,X CAR RENTAL,2,5,0.0,20380,265730,TOYOTA  - YARIS
"[{'ReservationKey': 0, 'CarKey': 20647, 'CustomerName': 'Running Contract, 24939', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '6/13/2024 5:45:00 PM', 'ToDateTime': '6/14/2024 5:45:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",80.0,,Dubai,Dubai Festival City,4,2019,64601,2277,-1,0.0,0.0,4,2,00971566299999,X CAR RENTAL,2,5,0.0,20647,178831,SUZUKI BALENO
,80.0,,Dubai,Dubai Festival City,4,2018,29385,2277,-1,0.0,0.0,4,2,00971566299999,X CAR RENTAL,2,5,0.0,20579,237700,NISSAN SUNNY
,80.0,,Dubai,Dubai Festival City,4,2017,15374,2277,-1,0.0,0.0,4,2,00971566299999,X CAR RENTAL,2,5,0.0,20547,247294,PEUGEOT- 301
"[{'ReservationKey': 0, 'CarKey': 20550, 'CustomerName': 'Running Contract, 21345', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '10/24/2023 1:17:32 PM', 'ToDateTime': '10/25/2023 1:17:32 PM', 'DayRentValue': 0.0, 'Documents': None}]",80.0,,Dubai,Dubai Festival City,4,2015,46673,2277,-1,0.0,0.0,4,2,00971566299999,X CAR RENTAL,2,5,0.0,20550,312575,TOYOTA COROLLA
"[{'ReservationKey': 0, 'CarKey': 20594, 'CustomerName': 'Running Contract, 24281', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '5/2/2024 3:22:23 PM', 'ToDateTime': '5/3/2024 3:22:23 PM', 'DayRentValue': 0.0, 'Documents': None}]",80.0,,Dubai,Dubai Festival City,4,2019,47364,2277,-1,0.0,0.0,4,2,00971566299999,X CAR RENTAL,2,5,0.0,20594,196922,NISSAN SUNNY
"[{'ReservationKey': 0, 'CarKey': 20595, 'CustomerName': 'Running Contract, 25164', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '6/24/2024 2:45:00 PM', 'ToDateTime': '6/25/2024 2:45:00 PM', 'DayRentValue': 0.0, 'Documents': None}]",80.0,,Dubai,Dubai Festival City,4,2019,47363,2277,-1,0.0,0.0,4,2,00971566299999,X CAR RENTAL,2,5,0.0,20595,224101,NISSAN SUNNY
"[{'ReservationKey': 0, 'CarKey': 20601, 'CustomerName': 'Running Contract, 25837', 'CustomerMobile': None, 'ReservationStatus': 0, 'ReservationDateTime': None, 'FromDateTime': '7/31/2024 9:48:31 AM', 'ToDateTime': '8/1/2024 9:48:31 AM', 'DayRentValue': 0.0, 'Documents': None}]",80.0,,Dubai,Dubai Festival City,4,2019,84678,2277,-1,0.0,0.0,4,2,00971566299999,X CAR RENTAL,2,5,0.0,20601,217880,NISSAN SUNNY
,80.0,,Dubai,Dubai Festival City,4,2019,84679,2277,-1,0.0,0.0,4,2,00971566299999,X CAR RENTAL,2,5,0.0,20603,151500,NISSAN SUNNY
,90.0,,Dubai,Dubai Festival City,4,2016,17994,2277,-1,0.0,0.0,4,2,00971566299999,X CAR RENTAL,2,5,0.0,20469,305495,TOYOTA COROLLA
