stage,until,booking_status,type,offer_id,user_id,status_title,tag_id,status,since
,1722509520,,on_hold,,,rental.status.on_hold.title,22074f8a-7482-4df7-bdf9-ddc99e323ce0,on_hold,1719917520
,1722875640,,on_hold,,,rental.status.on_hold.title,9a6c4288-88a7-4158-ad58-0534f0226109,on_hold,1720283640
,1724343900,,on_hold,,,rental.status.on_hold.title,f8c4b362-d4e4-4a4e-aa6b-a6cb1fd0a836,on_hold,1721751900
,1722254400,,on_hold,,,rental.status.on_hold.title,d1b33e2a-ef27-42ae-aae7-c2da40b6df0c,on_hold,1721649600
,1723527720,,on_hold,,,rental.status.on_hold.title,12a3d439-dbbe-4453-a2f8-a4a0aa94788a,on_hold,1720935720
,1722406680,,on_hold,,,rental.status.on_hold.title,c71c504a-28a0-41a8-ba98-9f852b906004,on_hold,1721801880
,1723181880,,on_hold,,,rental.status.on_hold.title,08c12d0d-b976-432a-b58b-686acfa8ef5a,on_hold,1720589880
,1723471800,,on_hold,,,rental.status.on_hold.title,c261a78e-7deb-48e3-a4fc-0adcf168ecc2,on_hold,1720879800
,1723885500,,on_hold,,,rental.status.on_hold.title,81e105c6-0d7a-4c68-8865-82d573358e9a,on_hold,1721293500
,1722347400,,on_hold,,,rental.status.on_hold.title,df1e46cc-822c-408d-aa0f-a7ad0f8a4bc6,on_hold,1721742600
,1722929700,,on_hold,,,rental.status.on_hold.title,33cba216-c63c-4b96-8dfd-0eb9fe0da35f,on_hold,1720337700
,1724742000,,on_hold,,,rental.status.on_hold.title,8a3ef8bb-32c5-493c-b750-184a5c17086c,on_hold,1722150000
,1724848320,,on_hold,,,rental.status.on_hold.title,0bd877a8-4787-4860-9a4d-06d7093894d7,on_hold,1722256320
,1723117200,,on_hold,,,rental.status.on_hold.title,880ba4a0-b224-421d-a898-33bc514849c0,on_hold,1722512400
,1724338500,,on_hold,,,rental.status.on_hold.title,df863a2f-c64f-4718-8370-f0a763746cda,on_hold,1721746500
,1723315500,,on_hold,,,rental.status.on_hold.title,2a5de57a-2c1f-4359-8af4-f50e16383777,on_hold,1720723500
,1722341100,,on_hold,,,rental.status.on_hold.title,988add3f-67f2-474e-9f89-d44ad7d52e48,on_hold,1721995500
,1722321000,,on_hold,,,rental.status.on_hold.title,a6383e32-9020-42be-8e94-bc54a12ea27f,on_hold,1721716200
,1722665400,,on_hold,,,rental.status.on_hold.title,c98ca4c3-2751-40da-98f9-e1c71624ac56,on_hold,1722321000
prereservation,1721998800,start_delayed,booking,0d8bd7a1-297f-5340-b547-7aeb25f2296a,459773e0-941b-4eeb-9e95-7e8b145d02ec,Confirmed,08e71b7e-b28b-4254-9176-340b7e2f8c8f,confirmed,1721030400
prereservation,1722340800,start_delayed,booking,03441972-679b-47bd-8f97-b973c4ef38a1,8b218fd3-0f7d-4fd4-bf29-7577b4a4172b,Confirmed,f398f009-6a66-487d-b910-69aa5b94d6b9,confirmed,1721822400
prereservation,1722927600,start_delayed,booking,77757d15-c557-2353-ebe7-9ecfbcc82168,724db09c-6eee-4862-83e1-f0d97ca84764,Confirmed,51eb8d93-9a0c-43a1-b29e-4683128b8b3f,confirmed,1722409200
,1721996100,,on_hold,,,rental.status.on_hold.title,65e26655-0fa3-4a37-93d7-352dbda3e7f9,on_hold,1721736900
,1722439800,,on_hold,,,rental.status.on_hold.title,23aaf783-80fe-40b2-aede-a509058b80a4,on_hold,1721835000
,1722843000,,on_hold,,,rental.status.on_hold.title,b61a8c5c-7cbc-4b4d-a5c7-4db1892e8077,on_hold,1722439800
,1722591600,,on_hold,,,rental.status.on_hold.title,28be0498-d2f1-4c8b-9475-c2d3c1a1c4e2,on_hold,1721986800
,1723289100,,on_hold,,,rental.status.on_hold.title,6ebcad4c-a889-4c65-9d87-a7ecf4b9da60,on_hold,1720697100
,1722347700,,on_hold,,,rental.status.on_hold.title,786db666-1072-4cdf-be3b-c3400fe4af21,on_hold,1721742900
,1722955500,,on_hold,,,rental.status.on_hold.title,a67b041d-c4a0-448b-a6b3-b494230db3ec,on_hold,1722350700
,1724312880,,on_hold,,,rental.status.on_hold.title,0ed2eb2f-4e00-4798-98e2-25769e16dbf5,on_hold,1721720880
,1722340800,,on_hold,,,rental.status.on_hold.title,2018f1d7-e0af-487c-aa05-a31c0a089d74,on_hold,1721822400
,1722246600,,on_hold,,,rental.status.on_hold.title,734b4b8e-89f3-41ac-8d45-c33926c21762,on_hold,1719654600
,1724496900,,on_hold,,,rental.status.on_hold.title,65e5cd2f-0dae-4e28-a1bd-e91b1a7cc8ee,on_hold,1721904900
,1722270300,,on_hold,,,rental.status.on_hold.title,fef9d794-7c50-4dc5-8fe3-3b9247af7207,on_hold,1719678300
,1722664140,,on_hold,,,rental.status.on_hold.title,f0887e0f-c013-4424-a7d7-b7af561c87a5,on_hold,1722232140
,1723292400,,on_hold,,,rental.status.on_hold.title,a6f1a087-3a7c-47ae-a879-bab48f3cbbbe,on_hold,1720700400
,1723531920,,on_hold,,,rental.status.on_hold.title,803b139c-138a-4a69-95e4-b5a1fc96d829,on_hold,1722322320
,1723725900,,on_hold,,,rental.status.on_hold.title,b203070b-298b-4db2-893e-055eef23a7ed,on_hold,1721133900
,1723032000,,on_hold,,,rental.status.on_hold.title,9f2d04da-154c-4114-9d4a-d60bfb78349c,on_hold,1720440000
,1722836100,,on_hold,,,rental.status.on_hold.title,49403cea-f064-465a-8637-883217d916e6,on_hold,1722231300
,1723396500,,on_hold,,,rental.status.on_hold.title,5f1dd719-700a-4266-a24d-5b985447342a,on_hold,1720804500
,1722923400,,on_hold,,,rental.status.on_hold.title,1a472fb1-c94f-4c83-b109-760062d126b7,on_hold,1722318600
,1722071100,,on_hold,,,rental.status.on_hold.title,1d205290-29bd-452a-bf2a-d98b0612b924,on_hold,1721034300
,1723033200,,on_hold,,,rental.status.on_hold.title,ab527f3a-564b-4ca2-bd38-b38623df0204,on_hold,1720441200
,1722401400,,on_hold,,,rental.status.on_hold.title,8f7acb21-1244-464d-a9ad-894cdf06b144,on_hold,1719809400
