status_title,since,booking_status,stage,status,until,type,tag_id,offer_id,user_id
rental.status.on_hold.title,1721916900,,,on_hold,1722003300,on_hold,49b556e2-3de4-41f0-8efc-a4076220b40f,,
rental.status.on_hold.title,1722179400,,,on_hold,1722265800,on_hold,e221c420-fe69-4013-a1da-256874cf00f5,,
rental.status.on_hold.title,1722483840,,,on_hold,1722743040,on_hold,804db07e-ae96-46b1-9fbc-3950ff1aeb51,,
rental.status.on_hold.title,1721673900,,,on_hold,1722019500,on_hold,c22e03b8-6853-4acf-a997-b41340b96d90,,
rental.status.on_hold.title,1722160500,,,on_hold,1722246900,on_hold,b99e4ceb-d7ab-4360-8e71-e21be6cd100a,,
rental.status.on_hold.title,1721907000,,,on_hold,1722339000,on_hold,72367d50-c6cf-496c-b374-2d47490d35c6,,
rental.status.on_hold.title,1721939580,,,on_hold,1722025980,on_hold,fef1d900-59b1-4bb9-922b-070556579ab9,,
rental.status.on_hold.title,1722053700,,,on_hold,1722226500,on_hold,86a6d088-e9ad-483d-8a90-0fe6cc79c380,,
rental.status.on_hold.title,1722436200,,,on_hold,1722695400,on_hold,21e4c962-ddb1-4ac0-ad3f-5f97394451b9,,
rental.status.on_hold.title,1721892000,,,on_hold,1721978400,on_hold,40521e84-078a-4410-8365-84260138a979,,
rental.status.on_hold.title,1720276800,,,on_hold,1722436800,on_hold,dd58ab83-3a9d-44fa-a270-2ff9aec396e0,,
rental.status.on_hold.title,1722436800,,,on_hold,1722514620,on_hold,ca578e76-59d4-42e3-95c9-4352b64458c1,,
rental.status.on_hold.title,1722006900,,,on_hold,1722438900,on_hold,0ae01bf0-e83f-4b59-a33f-6b160d222dd2,,
rental.status.on_hold.title,1721907360,,,on_hold,1722339360,on_hold,2b5501d2-190f-4f31-8bb8-1710e27f4356,,
rental.status.on_hold.title,1722339360,,,on_hold,1722365580,on_hold,f80d4100-ab74-4c02-9794-840f3a6adcf4,,
rental.status.on_hold.title,1722015300,,,on_hold,1722101700,on_hold,43cfff4c-0841-41a4-a498-052a4a5208bb,,
rental.status.on_hold.title,1722155880,,,on_hold,1722242280,on_hold,936f01a4-9ae5-4793-a919-c1635de03d66,,
rental.status.on_hold.title,1721906100,,,on_hold,1721992500,on_hold,ab23760f-0876-4fda-8ee6-ea2e812c29e1,,
rental.status.on_hold.title,1721295000,,,on_hold,1723887000,on_hold,fd66754d-6eb4-4568-9892-e3b0f7dfb215,,
rental.status.on_hold.title,1721637720,,,on_hold,1722156120,on_hold,ecbc301c-d3d9-4e86-8f50-ac1056ba0b45,,
rental.status.on_hold.title,1722156120,,,on_hold,1722550702,on_hold,853c1585-cbf4-4a56-b153-e8791b710f2e,,
rental.status.on_hold.title,1721916900,,,on_hold,1722003300,on_hold,c5b42aa4-89b5-433c-8ac5-a6c21a9e3253,,
rental.status.on_hold.title,1722149100,,,on_hold,1722235500,on_hold,588da7a0-f9b7-4b0c-aab6-1eb85acb46d5,,
rental.status.on_hold.title,1722445200,,,on_hold,1722531600,on_hold,435cc624-9d53-4b88-bd8b-71312c16b799,,
rental.status.on_hold.title,1721407200,,,on_hold,1722097560,on_hold,24f5c17a-9024-4312-9021-13a82ee69bba,,
rental.status.on_hold.title,1722097560,,,on_hold,1722180780,on_hold,21cc87f4-aca2-49c8-a93e-7974f7ea8687,,
rental.status.on_hold.title,1722369480,,,on_hold,1723060680,on_hold,c73c9e7f-d93e-4f72-aea0-890a6b7ce5e1,,
rental.status.on_hold.title,1721657700,,,on_hold,1722262500,on_hold,6c7daebd-0400-4e18-8048-98fc3ff57d49,,
Confirmed,1722405600,start_delayed,prereservation,confirmed,1722621600,booking,41d30cda-a104-4c09-8717-8de73ea2ad59,dc100a84-714a-fb4b-da98-72b7a30ee6c1,f208d4fe-44a3-4a4b-92b5-9e67e8e7283f
rental.status.on_hold.title,1721857500,,,on_hold,1722030300,on_hold,20808597-9b00-44db-bb1e-a490699c57d1,,
rental.status.on_hold.title,1722322800,,,on_hold,1722409200,on_hold,aa2db3c9-91fd-438c-be49-51adbf2726e1,,
rental.status.on_hold.title,1721898600,,,on_hold,1721985000,on_hold,1e83fe22-58f1-4b91-9f41-a4232288c8af,,
rental.status.on_hold.title,1722095700,,,on_hold,1722182100,on_hold,3282c1ec-02b6-4b52-83f9-86f1bd930437,,
rental.status.on_hold.title,1722071340,,,on_hold,1722244140,on_hold,c2bc9f45-37c3-4de4-a101-1ec3692db12b,,
rental.status.on_hold.title,1722091500,,,on_hold,1722177900,on_hold,a68b11d0-238d-45a1-8aaf-8e9ff3967548,,
rental.status.on_hold.title,1722343200,,,on_hold,1722688800,on_hold,0a3a9bed-ec66-43da-9b36-26200abb705e,,
rental.status.on_hold.title,1721798100,,,on_hold,1722057300,on_hold,2b8db851-6fcd-44cc-9285-7774c77c4cac,,
rental.status.on_hold.title,1722166800,,,on_hold,1722339600,on_hold,c1a93769-cbaf-4fff-bce7-a559b5281c92,,
rental.status.on_hold.title,1722369240,,,on_hold,1722455640,on_hold,e569f0f9-c380-476b-9630-a22b446427cb,,
rental.status.on_hold.title,1722418200,,,on_hold,1722504600,on_hold,33fa3528-f60d-4a4f-a76c-1b2f3ffc2cf2,,
rental.status.on_hold.title,1722520680,,,on_hold,1722607080,on_hold,74e2cc16-495f-4253-87e3-60553dac401b,,
rental.status.on_hold.title,1722501900,,,on_hold,1722588300,on_hold,da5a9b72-f876-4ebb-a285-c6822412cacd,,
rental.status.on_hold.title,1722501420,,,on_hold,1722587820,on_hold,6dcfa5e6-530d-4be9-a523-97f7c517e174,,
rental.status.on_hold.title,1721858400,,,on_hold,1722117600,on_hold,df376b19-b2d4-4d42-b6d7-00b34de39a7a,,
rental.status.on_hold.title,1722117600,,,on_hold,1722193800,on_hold,eefc236a-0d98-4752-97b9-91d302ec2be0,,
rental.status.on_hold.title,1722226980,,,on_hold,1722313380,on_hold,3c4283f0-fea7-4489-9c65-ee84a9503f81,,
rental.status.on_hold.title,1722253800,,,on_hold,1722513000,on_hold,359be78c-8dc3-4a2f-9bf6-8986125fa52e,,
rental.status.on_hold.title,1721896800,,,on_hold,1721927400,on_hold,410f70ac-314b-4efd-9d3c-58aff465b471,,
rental.status.on_hold.title,1721975400,,,on_hold,1722061800,on_hold,3215e758-0c89-4138-9ff6-f2cb4475626b,,
rental.status.on_hold.title,1722067800,,,on_hold,1722154200,on_hold,19e67206-2e42-4700-94f4-da04a4ef9fe8,,
rental.status.on_hold.title,1722356880,,,on_hold,1722443280,on_hold,113fd221-8429-4c7f-ba05-8078d5c9b851,,
rental.status.on_hold.title,1721794200,,,on_hold,1721967000,on_hold,23b028a4-caeb-4953-8d86-7c8e2a676065,,
rental.status.on_hold.title,1721997000,,,on_hold,1722000600,on_hold,04cdf044-fa07-4d4a-8255-913dde65f053,,
rental.status.on_hold.title,1722000600,,,on_hold,1722087000,on_hold,747f769c-4e2b-4251-a264-3ce581df8dd5,,
rental.status.on_hold.title,1722093900,,,on_hold,1722180300,on_hold,0bdb88d9-d9d3-4f74-b8ae-abc8f812bb09,,
rental.status.on_hold.title,1722333000,,,on_hold,1722678600,on_hold,e14b7a96-47e8-4cf5-8e18-2eeb1115c3e4,,
rental.status.on_hold.title,1721843100,,,on_hold,1724348400,on_hold,43e8d352-be86-426e-8a2c-241e1203968e,,
rental.status.on_hold.title,1721907000,,,on_hold,1721927700,on_hold,d3ad342d-d840-4e25-9186-d9bbe3b0bb6f,,
rental.status.on_hold.title,1722080700,,,on_hold,1722167100,on_hold,846f18b6-fa1d-42bc-bde4-30b5a28269b9,,
rental.status.on_hold.title,1722424140,,,on_hold,1722510540,on_hold,452374b8-3b6c-449b-870f-617a4b8d2705,,
rental.status.on_hold.title,1722510540,,,on_hold,1722850200,on_hold,f22e6af7-4dcc-4efb-91e7-37cd0abcab2a,,
rental.status.on_hold.title,1722074340,,,on_hold,1722160740,on_hold,e8646850-1eb9-4761-89bd-b81b4e72b44e,,
rental.status.on_hold.title,1722172500,,,on_hold,1722431700,on_hold,e4a9883a-3840-4a32-83a2-fa8a8adf84e7,,
rental.status.on_hold.title,1721575800,,,on_hold,1722180600,on_hold,e320f69e-f986-490a-a7ec-889c9579a8d7,,
rental.status.on_hold.title,1721972400,,,on_hold,1722145200,on_hold,0b5b36a7-a16d-4517-93a5-1ab3f0ccc96b,,
rental.status.on_hold.title,1721933880,,,on_hold,1722193080,on_hold,749c3faf-6d69-458c-96a2-805f688b3f97,,
rental.status.on_hold.title,1722258300,,,on_hold,1722344700,on_hold,7b4e1c99-ed51-453a-a56f-c73741c738e5,,
rental.status.on_hold.title,1722335400,,,on_hold,1722940200,on_hold,ea2482df-f2c4-4f85-8667-3fe775580930,,
rental.status.on_hold.title,1722437100,,,on_hold,1722523500,on_hold,d879dd22-7a96-4b8f-8421-4bad6189c259,,
rental.status.on_hold.title,1722499560,,,on_hold,1722585960,on_hold,d611b3c9-886d-4254-8bce-51ae6e625f31,,
rental.status.on_hold.title,1721911680,,,on_hold,1722170880,on_hold,40af44da-26bc-4eeb-bcd5-143c1c01d508,,
rental.status.on_hold.title,1721557800,,,on_hold,1722162600,on_hold,3c8e2f15-3041-4073-a2cc-745d75e6a737,,
rental.status.on_hold.title,1722361800,,,on_hold,1722448200,on_hold,44c22dd6-f206-480f-a6cf-8632614f77fe,,
rental.status.on_hold.title,1721581200,,,on_hold,1721926800,on_hold,626589e0-3d26-4aa8-9c0f-04268dce5b7d,,
rental.status.on_hold.title,1722020100,,,on_hold,1722106500,on_hold,a1b901b2-99db-46d8-a005-cb0fe8cb428d,,
rental.status.on_hold.title,1722404700,,,on_hold,1722491100,on_hold,7b4fbcd6-b8c1-49f8-bc5a-3cfebdcff1e0,,
rental.status.on_hold.title,1721934000,,,on_hold,1722193200,on_hold,25569b80-1c76-45a8-b17a-ee27e6fd52b6,,
rental.status.on_hold.title,1721677140,,,on_hold,1722109140,on_hold,7cca83e9-2f97-47d4-b711-3eaf50dd5c7b,,
rental.status.on_hold.title,1722109140,,,on_hold,1722278100,on_hold,d5b32003-ba0a-4288-9bb6-b2ed6d96d5bd,,
rental.status.on_hold.title,1722292200,,,on_hold,1722378600,on_hold,76fdc976-973f-49f2-8484-27398825e02d,,
rental.status.on_hold.title,1721881200,,,on_hold,1722226800,on_hold,2b586de8-9b94-418a-8381-d1445d3ce4e7,,
rental.status.on_hold.title,1722226800,,,on_hold,1722443400,on_hold,841b566d-6ed7-4b0a-b2ad-6231ee2be149,,
rental.status.on_hold.title,1722462360,,,on_hold,1722548760,on_hold,b9d4e8f4-f606-428b-8943-5378d23c1c0e,,
rental.status.on_hold.title,1722353100,,,on_hold,1722439500,on_hold,8d89f2db-1ef6-4302-81cc-7dc9637f779d,,
rental.status.on_hold.title,1718917980,,,on_hold,1725052380,on_hold,e434a43e-21b1-4870-858c-5a80fdedf915,,
rental.status.on_hold.title,1722380880,,,on_hold,1722726480,on_hold,01e463d7-1ca3-4b4f-8f6c-8fa391ca03b2,,
rental.status.on_hold.title,1722002460,,,on_hold,1722088860,on_hold,2edfd804-7100-4271-a49e-2bbbcd37cb61,,
rental.status.on_hold.title,1722246660,,,on_hold,1722333060,on_hold,77ec0d1e-a08d-4598-acfc-782aa464db9c,,
rental.status.on_hold.title,1722012000,,,on_hold,1722098400,on_hold,291daadc-35c0-40b0-8501-1a190a43ffa9,,
rental.status.on_hold.title,1722164400,,,on_hold,1722250800,on_hold,405a6348-f2c7-4bff-94f5-d1a7c799ad7a,,
rental.status.on_hold.title,1722501000,,,on_hold,1722673800,on_hold,fb4d8e8e-e934-4225-acca-e0c404c88ae6,,
rental.status.on_hold.title,1721988240,,,on_hold,1722161040,on_hold,a9faca37-077e-4600-bd85-3257a52a9421,,
rental.status.on_hold.title,1722257100,,,on_hold,1722516300,on_hold,7c5837bb-7693-4ef6-bcbf-9914bba14d6f,,
rental.status.on_hold.title,1722516300,,,on_hold,1722667500,on_hold,0119ec4d-2b96-47ba-8ecc-2115f395a267,,
rental.status.on_hold.title,1722033000,,,on_hold,1722119400,on_hold,76111821-3f1b-4e25-9fb4-26c639387fda,,
rental.status.on_hold.title,1722355200,,,on_hold,1722700800,on_hold,6a2f4cd4-bb34-47ba-b7e6-75925fb6e48e,,
rental.status.on_hold.title,1721938320,,,on_hold,1722024720,on_hold,a1861971-c137-4263-9d12-91d35e932351,,
rental.status.on_hold.title,1721990700,,,on_hold,1722077100,on_hold,9872ab0b-55b6-46ab-ab8c-27a8463a41e5,,
rental.status.on_hold.title,1722077100,,,on_hold,1722087900,on_hold,686ca0e8-9f92-4ecc-8ad7-f595e70ca127,,
rental.status.on_hold.title,1722322320,,,on_hold,1722408720,on_hold,79bafb35-34d4-48bd-ad48-f1f7ccf6fbad,,
rental.status.on_hold.title,1722065580,,,on_hold,1722151980,on_hold,0007189f-ef78-4c0d-b10d-a9d16071a1ff,,
rental.status.on_hold.title,1722257640,,,on_hold,1722344040,on_hold,3c1ba0f3-4528-4976-8ee6-7e5abd4be303,,
rental.status.on_hold.title,1721135700,,,on_hold,1722863700,on_hold,a91bf0d6-73c2-43c5-87e7-199630fb8120,,
rental.status.on_hold.title,1721805000,,,on_hold,1722496200,on_hold,5b9519f4-e33b-4bfe-9375-a3b7e3e31ba6,,
rental.status.on_hold.title,1722518100,,,on_hold,1722604500,on_hold,959c4e8c-6593-4185-89f4-d849e233e5aa,,
rental.status.on_hold.title,1721817900,,,on_hold,1722077100,on_hold,d624c329-6325-4f1d-a981-f790cb79f0b7,,
rental.status.on_hold.title,1722495240,,,on_hold,1722581640,on_hold,a077d945-e762-4dfb-9e1a-1a8a9f536e09,,
rental.status.on_hold.title,1722006000,,,on_hold,1722178800,on_hold,ba16e047-0328-46ed-8af1-e3828ca4c505,,
rental.status.on_hold.title,1722178800,,,on_hold,1722348000,on_hold,0c1188cd-88e9-48de-a3b7-276329c26cb4,,
rental.status.on_hold.title,1721923200,,,on_hold,1722009600,on_hold,891dfe82-822d-4eb2-9d53-f4378690dde9,,
rental.status.on_hold.title,1722414300,,,on_hold,1722500700,on_hold,699b576b-6fc5-47e6-9cd4-2b041e4b404c,,
rental.status.on_hold.title,1722500700,,,on_hold,1722587100,on_hold,04fa7ec3-a7db-4d2e-bf95-97337a352ccd,,
rental.status.on_hold.title,1721997420,,,on_hold,1722170220,on_hold,d7bfaee5-bfe4-407b-982d-ac5482698f6c,,
rental.status.on_hold.title,1722448200,,,on_hold,1722707400,on_hold,b5350a65-23f2-45db-992b-a34d32169f6f,,
rental.status.on_hold.title,1722067200,,,on_hold,1722153600,on_hold,57c37de5-6965-437c-8c0f-debd01ebb834,,
rental.status.on_hold.title,1722200220,,,on_hold,1722286620,on_hold,c98430f3-bd5c-49e3-92b5-eb7fbcd98a08,,
Confirmed,1722358800,start_delayed,prereservation,confirmed,1722445200,booking,aaf138f3-fd4b-48fa-8ce3-0ab2c20e681e,016503d8-8f91-b818-f28e-c2727da1615b,13309364-da8e-4ed3-8753-91574aef85d6
Confirmed,1722492000,start_delayed,prereservation,confirmed,1723010400,booking,7ccb4d1b-d920-4b29-bb04-5d3acbb4ce2e,ed6ada5f-c648-cdb6-8af9-e40893b1ec42,56efb6ee-35b4-4cb8-86f4-922dd6deee40
