deprecated,manufacturer,tyres_info,model_specifications,image_pin_url_3x,first_maintenance_mileage,fuel_distance_enabled,default_tags,fuel_type,image_small_url,registry_model,registry_manufacturer,intermediate_maintenance_mileage,image_map_url_3x,fuel_cap_side,short_name,maintenance_mileage,code,image_map_url_2x,image_pin_url_2x,image_large_url,name
False,AUDI,[],[],,,True,[],,,A6,AUDI,,,,A6,,bdac232ee15e0077e7ae3605bc95aac0,,,,AUDI A6
False,AUDI,[],[],,,True,[],,,A8,AUDI,,,,A8,,009566dd373579df7efd78106f4751e1,,,,AUDI A8
False,AUDI,[],[],,,True,[],,,Q8,AUDI,,,,Q8,,c36f16aee06607559395a9f37c3ec87a,,,,AUDI Q8
False,BENTLEY,[],[],,,True,[],,,CONTINENTAL,BENTLEY,,,,CONTINENTAL,,410065b80824ba1d59ef98002466cd96,,,,BENTLEY CONTINENTAL
False,BMW,[],[],,,True,[],,,420I,BMW,,,,420I,,4c2e549fcb156151702ac65170e2a7b8,,,,BMW 420I
False,BMW,[],[],,,True,[],,,735,BMW,,,,735,,5768ca0b5c7d1fd2766b9c8af9608bd7,,,,BMW 735
False,BMW,[],[],,,True,[],,,X6,BMW,,,,X6,,df307ebc101d5a0a7d64052459610649,,,,BMW X6
False,CADILLAC,[],[],,,True,[],,,ELEGANCE,CADILLAC,,,,ELEGANCE,,ac3b7ae93584c0c403649f6bda7eb7c6,,,,CADILLAC ELEGANCE
False,CADILLAC,[],[],,,True,[],,,ESCALADE,CADILLAC,,,,ESCALADE,,89dc771003e3123ae028347823274f96,,,,CADILLAC ESCALADE
False,CHEVROLET,[],[],,,True,[],,,CAPTIVA,CHEVROLET,,,,CAPTIVA,,e2257fadf6087c7c3e5dfe61ca836d78,,,,CHEVROLET CAPTIVA
False,GMC,[],[],,,True,[],,,YUKON,GMC,,,,YUKON,,f4d52cdcc861e231a099a352c63c0158,,,,GMC YUKON
False,HYUNDAI,[],[],,,True,[],,,CRETA,HYUNDAI,,,,CRETA,,3a5e31a27fe8904e1b45bf55f0751cb7,,,,HYUNDAI CRETA
False,HYUNDAI,[],[],,,True,[],,,ELANTRA,HYUNDAI,,,,ELANTRA,,f933c5d2c811449f4d982b3ab6ae1c60,,,,HYUNDAI ELANTRA
False,HYUNDAI,[],[],,,True,[],,,SONATA,HYUNDAI,,,,SONATA,,61604b42aa07a39a3b7b4f3c7015ff44,,,,HYUNDAI SONATA
False,HYUNDAI,[],[],,,True,[],,,TUCSON,HYUNDAI,,,,TUCSON,,e84259d1578edaba533117252291179d,,,,HYUNDAI TUCSON
False,JAC,[],[],,,True,[],,,J7,JAC,,,,J7,,61b44536686f3c9fc062118c880b130f,,,,JAC J7
False,JAC,[],[],,,True,[],,,S3,JAC,,,,S3,,730ec914ec11c6d901ef0a3b7a7200b2,,,,JAC S3
False,KIA,[],[],,,True,[],,,CARNIVAL,KIA,,,,CARNIVAL,,7370f965d87167a91680536a8473fc4a,,,,KIA CARNIVAL
False,KIA,[],[],,,True,[],,,K5,KIA,,,,K5,,e83ec53e1f5fb226c42f4b8467c192b7,,,,KIA K5
False,KIA,[],[],,,True,[],,,PEGAS,KIA,,,,PEGAS,,be5e9a9851d3d59ee19a590355368fec,,,,KIA PEGAS
False,KIA,[],[],,,True,[],,,PICANTO,KIA,,,,PICANTO,,de483ef9abc123c54919b6eb79236380,,,,KIA PICANTO
False,KIA,[],[],,,True,[],,,SELTOS,KIA,,,,SELTOS,,0dd9860df4ef0ca5b5e89beb908906e0,,,,KIA SELTOS
False,KIA,[],[],,,True,[],,,SORENTO,KIA,,,,SORENTO,,289faf6f7c744ff55e196848bff1d9e5,,,,KIA SORENTO
False,KIA,[],[],,,True,[],,,SPORTAGE,KIA,,,,SPORTAGE,,c0dfad88374c2ef55d5241e1d25ebfff,,,,KIA SPORTAGE
False,LAMBORGHINI,[],[],,,True,[],,,HURACAN,LAMBORGHINI,,,,HURACAN,,73a9d03c3968d40bc1ed9c7470b5e774,,,,LAMBORGHINI HURACAN
False,LAMBORGHINI,[],[],,,True,[],,,URUS MY20,LAMBORGHINI,,,,URUS MY20,,ebe6be99ae2c048229660729fdcfb2a7,,,,LAMBORGHINI URUS MY20
False,LAND ROVER,[],[],,,True,[],,,DEFENDER,LAND ROVER,,,,DEFENDER,,0cee7d014a0aac0b2dd92f60cc624a36,,,,LAND ROVER DEFENDER
False,MAZDA,[],[],,,True,[],,,6,MAZDA,,,,6,,51ef560d452640e95c92a7d7c5b76053,,,,MAZDA 6
False,MERCEDES,[],[],,,True,[],,,C200,MERCEDES,,,,C200,,586cf11a492a5d1e517b613efd30b52f,,,,MERCEDES C200
False,MERCEDES,[],[],,,True,[],,,C300,MERCEDES,,,,C300,,eaa67a083184f9c9aa23111a0afe5f3d,,,,MERCEDES C300
False,MERCEDES,[],[],,,True,[],,,E200,MERCEDES,,,,E200,,82e12c04d7ace7da7a3394411453b7a1,,,,MERCEDES E200
False,MERCEDES,[],[],,,True,[],,,G63,MERCEDES,,,,G63,,519c4c2d04abbca75dc1649d4b335130,,,,MERCEDES G63
False,MERCEDES,[],[],,,True,[],,,S500,MERCEDES,,,,S500,,256cc8cec8e9d007c074833e17ce36a0,,,,MERCEDES S500
False,NISSAN,[],[],,,True,[],,,KICKS,NISSAN,,,,KICKS,,322a4e7a01a9299b2ce48d1f71ae2273,,,,NISSAN KICKS
False,NISSAN,[],[],,,True,[],,,PATROL,NISSAN,,,,PATROL,,e7fbde2d527506a740423c48dc8e2ce5,,,,NISSAN PATROL
False,NISSAN,[],[],,,True,[],,,PATROL SE PL,NISSAN,,,,PATROL SE PL,,a7ad31aba8d08645eac284268bed12d7,,,,NISSAN PATROL SE PL
False,NISSAN,[],[],,,True,[],,,SUNNY,NISSAN,,,,SUNNY,,bb5d21e0007f3b51300dbd0d2961469c,,,,NISSAN SUNNY
False,PORSCHE,[],[],,,True,[],,,CAYENNE COUPE,PORSCHE,,,,CAYENNE COUPE,,9f6ee0c61c231a0af12d45077378b82d,,,,PORSCHE CAYENNE COUPE
False,RANGE,[],[],,,True,[],,,ROVER HSE,RANGE,,,,ROVER HSE,,e8bc74681b932fcd2a9b3a40bf706eda,,,,RANGE ROVER HSE
False,TOYOTA,[],[],,,True,[],,,LAND CRUISER,TOYOTA,,,,LAND CRUISER,,399eb77ee856051ef910dd245897ea3d,,,,TOYOTA LAND CRUISER
False,TOYOTA,[],[],,,True,[],,,PRADO,TOYOTA,,,,PRADO,,34935fd6d8c0c0102c5e324eaadbf50f,,,,TOYOTA PRADO
False,TOYOTA,[],[],,,True,[],,,RUSH,TOYOTA,,,,RUSH,,f8d11da89dbc649001727ad36334e97a,,,,TOYOTA RUSH
