manufacturer,image_pin_url_3x,model_specifications,fuel_type,short_name,image_map_url_3x,maintenance_mileage,fuel_distance_enabled,registry_model,image_large_url,registry_manufacturer,intermediate_maintenance_mileage,image_map_url_2x,fuel_cap_side,image_small_url,default_tags,image_pin_url_2x,tyres_info,deprecated,first_maintenance_mileage,name,code
AUDI,,[],,A6,,,True,A6,,AUDI,,,,,[],,[],False,,AUDI A6,bdac232ee15e0077e7ae3605bc95aac0
AUDI,,[],,A8,,,True,A8,,AUDI,,,,,[],,[],False,,AUDI A8,009566dd373579df7efd78106f4751e1
AUDI,,[],,Q8,,,True,Q8,,AUDI,,,,,[],,[],False,,AUDI Q8,c36f16aee06607559395a9f37c3ec87a
BENTLEY,,[],,CONTINENTAL,,,True,CONTINENTAL,,BENTLEY,,,,,[],,[],False,,BENTLEY CONTINENTAL,410065b80824ba1d59ef98002466cd96
BMW,,[],,420I,,,True,420I,,BMW,,,,,[],,[],False,,BMW 420I,4c2e549fcb156151702ac65170e2a7b8
BMW,,[],,735,,,True,735,,BMW,,,,,[],,[],False,,BMW 735,5768ca0b5c7d1fd2766b9c8af9608bd7
BMW,,[],,X6,,,True,X6,,BMW,,,,,[],,[],False,,BMW X6,df307ebc101d5a0a7d64052459610649
CADILLAC,,[],,ELEGANCE,,,True,ELEGANCE,,CADILLAC,,,,,[],,[],False,,CADILLAC ELEGANCE,ac3b7ae93584c0c403649f6bda7eb7c6
CADILLAC,,[],,ESCALADE,,,True,ESCALADE,,CADILLAC,,,,,[],,[],False,,CADILLAC ESCALADE,89dc771003e3123ae028347823274f96
CHEVROLET,,[],,CAPTIVA,,,True,CAPTIVA,,CHEVROLET,,,,,[],,[],False,,CHEVROLET CAPTIVA,e2257fadf6087c7c3e5dfe61ca836d78
GMC,,[],,YUKON,,,True,YUKON,,GMC,,,,,[],,[],False,,GMC YUKON,f4d52cdcc861e231a099a352c63c0158
HYUNDAI,,[],,CRETA,,,True,CRETA,,HYUNDAI,,,,,[],,[],False,,HYUNDAI CRETA,3a5e31a27fe8904e1b45bf55f0751cb7
HYUNDAI,,[],,ELANTRA,,,True,ELANTRA,,HYUNDAI,,,,,[],,[],False,,HYUNDAI ELANTRA,f933c5d2c811449f4d982b3ab6ae1c60
HYUNDAI,,[],,SONATA,,,True,SONATA,,HYUNDAI,,,,,[],,[],False,,HYUNDAI SONATA,61604b42aa07a39a3b7b4f3c7015ff44
HYUNDAI,,[],,TUCSON,,,True,TUCSON,,HYUNDAI,,,,,[],,[],False,,HYUNDAI TUCSON,e84259d1578edaba533117252291179d
JAC,,[],,J7,,,True,J7,,JAC,,,,,[],,[],False,,JAC J7,61b44536686f3c9fc062118c880b130f
JAC,,[],,S3,,,True,S3,,JAC,,,,,[],,[],False,,JAC S3,730ec914ec11c6d901ef0a3b7a7200b2
KIA,,[],,CARNIVAL,,,True,CARNIVAL,,KIA,,,,,[],,[],False,,KIA CARNIVAL,7370f965d87167a91680536a8473fc4a
KIA,,[],,K5,,,True,K5,,KIA,,,,,[],,[],False,,KIA K5,e83ec53e1f5fb226c42f4b8467c192b7
KIA,,[],,PEGAS,,,True,PEGAS,,KIA,,,,,[],,[],False,,KIA PEGAS,be5e9a9851d3d59ee19a590355368fec
KIA,,[],,PICANTO,,,True,PICANTO,,KIA,,,,,[],,[],False,,KIA PICANTO,de483ef9abc123c54919b6eb79236380
KIA,,[],,SELTOS,,,True,SELTOS,,KIA,,,,,[],,[],False,,KIA SELTOS,0dd9860df4ef0ca5b5e89beb908906e0
KIA,,[],,SORENTO,,,True,SORENTO,,KIA,,,,,[],,[],False,,KIA SORENTO,289faf6f7c744ff55e196848bff1d9e5
KIA,,[],,SPORTAGE,,,True,SPORTAGE,,KIA,,,,,[],,[],False,,KIA SPORTAGE,c0dfad88374c2ef55d5241e1d25ebfff
LAMBORGHINI,,[],,HURACAN,,,True,HURACAN,,LAMBORGHINI,,,,,[],,[],False,,LAMBORGHINI HURACAN,73a9d03c3968d40bc1ed9c7470b5e774
LAMBORGHINI,,[],,URUS MY20,,,True,URUS MY20,,LAMBORGHINI,,,,,[],,[],False,,LAMBORGHINI URUS MY20,ebe6be99ae2c048229660729fdcfb2a7
LAND ROVER,,[],,DEFENDER,,,True,DEFENDER,,LAND ROVER,,,,,[],,[],False,,LAND ROVER DEFENDER,0cee7d014a0aac0b2dd92f60cc624a36
MAZDA,,[],,6,,,True,6,,MAZDA,,,,,[],,[],False,,MAZDA 6,51ef560d452640e95c92a7d7c5b76053
MERCEDES,,[],,C200,,,True,C200,,MERCEDES,,,,,[],,[],False,,MERCEDES C200,586cf11a492a5d1e517b613efd30b52f
MERCEDES,,[],,C300,,,True,C300,,MERCEDES,,,,,[],,[],False,,MERCEDES C300,eaa67a083184f9c9aa23111a0afe5f3d
MERCEDES,,[],,E200,,,True,E200,,MERCEDES,,,,,[],,[],False,,MERCEDES E200,82e12c04d7ace7da7a3394411453b7a1
MERCEDES,,[],,G63,,,True,G63,,MERCEDES,,,,,[],,[],False,,MERCEDES G63,519c4c2d04abbca75dc1649d4b335130
MERCEDES,,[],,S500,,,True,S500,,MERCEDES,,,,,[],,[],False,,MERCEDES S500,256cc8cec8e9d007c074833e17ce36a0
NISSAN,,[],,KICKS,,,True,KICKS,,NISSAN,,,,,[],,[],False,,NISSAN KICKS,322a4e7a01a9299b2ce48d1f71ae2273
NISSAN,,[],,PATROL,,,True,PATROL,,NISSAN,,,,,[],,[],False,,NISSAN PATROL,e7fbde2d527506a740423c48dc8e2ce5
NISSAN,,[],,PATROL SE PL,,,True,PATROL SE PL,,NISSAN,,,,,[],,[],False,,NISSAN PATROL SE PL,a7ad31aba8d08645eac284268bed12d7
NISSAN,,[],,SUNNY,,,True,SUNNY,,NISSAN,,,,,[],,[],False,,NISSAN SUNNY,bb5d21e0007f3b51300dbd0d2961469c
PORSCHE,,[],,CAYENNE COUPE,,,True,CAYENNE COUPE,,PORSCHE,,,,,[],,[],False,,PORSCHE CAYENNE COUPE,9f6ee0c61c231a0af12d45077378b82d
RANGE,,[],,ROVER HSE,,,True,ROVER HSE,,RANGE,,,,,[],,[],False,,RANGE ROVER HSE,e8bc74681b932fcd2a9b3a40bf706eda
TOYOTA,,[],,LAND CRUISER,,,True,LAND CRUISER,,TOYOTA,,,,,[],,[],False,,TOYOTA LAND CRUISER,399eb77ee856051ef910dd245897ea3d
TOYOTA,,[],,PRADO,,,True,PRADO,,TOYOTA,,,,,[],,[],False,,TOYOTA PRADO,34935fd6d8c0c0102c5e324eaadbf50f
TOYOTA,,[],,RUSH,,,True,RUSH,,TOYOTA,,,,,[],,[],False,,TOYOTA RUSH,f8d11da89dbc649001727ad36334e97a
