code,registry_manufacturer,model_specifications,fuel_type,first_maintenance_mileage,intermediate_maintenance_mileage,maintenance_mileage,name,image_map_url_3x,registry_model,image_large_url,deprecated,short_name,image_small_url,fuel_cap_side,image_pin_url_3x,fuel_distance_enabled,image_map_url_2x,tyres_info,default_tags,image_pin_url_2x,manufacturer
bdac232ee15e0077e7ae3605bc95aac0,AUDI,[],,,,,AUDI A6,,A6,,False,A6,,,,True,,[],[],,AUDI
009566dd373579df7efd78106f4751e1,AUDI,[],,,,,AUDI A8,,A8,,False,A8,,,,True,,[],[],,AUDI
c36f16aee06607559395a9f37c3ec87a,AUDI,[],,,,,AUDI Q8,,Q8,,False,Q8,,,,True,,[],[],,AUDI
410065b80824ba1d59ef98002466cd96,BENTLEY,[],,,,,BENTLEY CONTINENTAL,,CONTINENTAL,,False,CONTINENTAL,,,,True,,[],[],,BENTLEY
4c2e549fcb156151702ac65170e2a7b8,BMW,[],,,,,BMW 420I,,420I,,False,420I,,,,True,,[],[],,BMW
5768ca0b5c7d1fd2766b9c8af9608bd7,BMW,[],,,,,BMW 735,,735,,False,735,,,,True,,[],[],,BMW
df307ebc101d5a0a7d64052459610649,BMW,[],,,,,BMW X6,,X6,,False,X6,,,,True,,[],[],,BMW
ac3b7ae93584c0c403649f6bda7eb7c6,CADILLAC,[],,,,,CADILLAC ELEGANCE,,ELEGANCE,,False,ELEGANCE,,,,True,,[],[],,CADILLAC
89dc771003e3123ae028347823274f96,CADILLAC,[],,,,,CADILLAC ESCALADE,,ESCALADE,,False,ESCALADE,,,,True,,[],[],,CADILLAC
e2257fadf6087c7c3e5dfe61ca836d78,CHEVROLET,[],,,,,CHEVROLET CAPTIVA,,CAPTIVA,,False,CAPTIVA,,,,True,,[],[],,CHEVROLET
f4d52cdcc861e231a099a352c63c0158,GMC,[],,,,,GMC YUKON,,YUKON,,False,YUKON,,,,True,,[],[],,GMC
3a5e31a27fe8904e1b45bf55f0751cb7,HYUNDAI,[],,,,,HYUNDAI CRETA,,CRETA,,False,CRETA,,,,True,,[],[],,HYUNDAI
f933c5d2c811449f4d982b3ab6ae1c60,HYUNDAI,[],,,,,HYUNDAI ELANTRA,,ELANTRA,,False,ELANTRA,,,,True,,[],[],,HYUNDAI
61604b42aa07a39a3b7b4f3c7015ff44,HYUNDAI,[],,,,,HYUNDAI SONATA,,SONATA,,False,SONATA,,,,True,,[],[],,HYUNDAI
e84259d1578edaba533117252291179d,HYUNDAI,[],,,,,HYUNDAI TUCSON,,TUCSON,,False,TUCSON,,,,True,,[],[],,HYUNDAI
61b44536686f3c9fc062118c880b130f,JAC,[],,,,,JAC J7,,J7,,False,J7,,,,True,,[],[],,JAC
730ec914ec11c6d901ef0a3b7a7200b2,JAC,[],,,,,JAC S3,,S3,,False,S3,,,,True,,[],[],,JAC
7370f965d87167a91680536a8473fc4a,KIA,[],,,,,KIA CARNIVAL,,CARNIVAL,,False,CARNIVAL,,,,True,,[],[],,KIA
e83ec53e1f5fb226c42f4b8467c192b7,KIA,[],,,,,KIA K5,,K5,,False,K5,,,,True,,[],[],,KIA
be5e9a9851d3d59ee19a590355368fec,KIA,[],,,,,KIA PEGAS,,PEGAS,,False,PEGAS,,,,True,,[],[],,KIA
de483ef9abc123c54919b6eb79236380,KIA,[],,,,,KIA PICANTO,,PICANTO,,False,PICANTO,,,,True,,[],[],,KIA
0dd9860df4ef0ca5b5e89beb908906e0,KIA,[],,,,,KIA SELTOS,,SELTOS,,False,SELTOS,,,,True,,[],[],,KIA
289faf6f7c744ff55e196848bff1d9e5,KIA,[],,,,,KIA SORENTO,,SORENTO,,False,SORENTO,,,,True,,[],[],,KIA
c0dfad88374c2ef55d5241e1d25ebfff,KIA,[],,,,,KIA SPORTAGE,,SPORTAGE,,False,SPORTAGE,,,,True,,[],[],,KIA
73a9d03c3968d40bc1ed9c7470b5e774,LAMBORGHINI,[],,,,,LAMBORGHINI HURACAN,,HURACAN,,False,HURACAN,,,,True,,[],[],,LAMBORGHINI
ebe6be99ae2c048229660729fdcfb2a7,LAMBORGHINI,[],,,,,LAMBORGHINI URUS MY20,,URUS MY20,,False,URUS MY20,,,,True,,[],[],,LAMBORGHINI
0cee7d014a0aac0b2dd92f60cc624a36,LAND ROVER,[],,,,,LAND ROVER DEFENDER,,DEFENDER,,False,DEFENDER,,,,True,,[],[],,LAND ROVER
51ef560d452640e95c92a7d7c5b76053,MAZDA,[],,,,,MAZDA 6,,6,,False,6,,,,True,,[],[],,MAZDA
586cf11a492a5d1e517b613efd30b52f,MERCEDES,[],,,,,MERCEDES C200,,C200,,False,C200,,,,True,,[],[],,MERCEDES
eaa67a083184f9c9aa23111a0afe5f3d,MERCEDES,[],,,,,MERCEDES C300,,C300,,False,C300,,,,True,,[],[],,MERCEDES
82e12c04d7ace7da7a3394411453b7a1,MERCEDES,[],,,,,MERCEDES E200,,E200,,False,E200,,,,True,,[],[],,MERCEDES
519c4c2d04abbca75dc1649d4b335130,MERCEDES,[],,,,,MERCEDES G63,,G63,,False,G63,,,,True,,[],[],,MERCEDES
256cc8cec8e9d007c074833e17ce36a0,MERCEDES,[],,,,,MERCEDES S500,,S500,,False,S500,,,,True,,[],[],,MERCEDES
322a4e7a01a9299b2ce48d1f71ae2273,NISSAN,[],,,,,NISSAN KICKS,,KICKS,,False,KICKS,,,,True,,[],[],,NISSAN
e7fbde2d527506a740423c48dc8e2ce5,NISSAN,[],,,,,NISSAN PATROL,,PATROL,,False,PATROL,,,,True,,[],[],,NISSAN
a7ad31aba8d08645eac284268bed12d7,NISSAN,[],,,,,NISSAN PATROL SE PL,,PATROL SE PL,,False,PATROL SE PL,,,,True,,[],[],,NISSAN
bb5d21e0007f3b51300dbd0d2961469c,NISSAN,[],,,,,NISSAN SUNNY,,SUNNY,,False,SUNNY,,,,True,,[],[],,NISSAN
9f6ee0c61c231a0af12d45077378b82d,PORSCHE,[],,,,,PORSCHE CAYENNE COUPE,,CAYENNE COUPE,,False,CAYENNE COUPE,,,,True,,[],[],,PORSCHE
e8bc74681b932fcd2a9b3a40bf706eda,RANGE,[],,,,,RANGE ROVER HSE,,ROVER HSE,,False,ROVER HSE,,,,True,,[],[],,RANGE
399eb77ee856051ef910dd245897ea3d,TOYOTA,[],,,,,TOYOTA LAND CRUISER,,LAND CRUISER,,False,LAND CRUISER,,,,True,,[],[],,TOYOTA
34935fd6d8c0c0102c5e324eaadbf50f,TOYOTA,[],,,,,TOYOTA PRADO,,PRADO,,False,PRADO,,,,True,,[],[],,TOYOTA
f8d11da89dbc649001727ad36334e97a,TOYOTA,[],,,,,TOYOTA RUSH,,RUSH,,False,RUSH,,,,True,,[],[],,TOYOTA
