deprecated,manufacturer,tyres_info,model_specifications,image_pin_url_3x,first_maintenance_mileage,fuel_distance_enabled,default_tags,fuel_type,image_small_url,registry_model,registry_manufacturer,intermediate_maintenance_mileage,image_map_url_3x,fuel_cap_side,short_name,maintenance_mileage,code,image_map_url_2x,image_pin_url_2x,image_large_url,name
False,Audi,[],[],,,True,[],,,A6,Audi,,,,A6,,ac533714baa7528faa0de5f1cfd8956a,,,,Audi A6
False,Chevrolet,[],[],,,True,[],,,Spark,Chevrolet,,,,Spark,,a2bba6ea42e72652939bf0e04a043743,,,,Chevrolet Spark
False,Chevrolet,[],[],,,True,[],,,Spark (old),Chevrolet,,,,Spark (old),,b2631d477ac39194021cfba1417f0cda,,,,Chevrolet Spark (old)
False,Emkoo,[],[],,,True,[],,,1.5T GL,Emkoo,,,,1.5T GL,,5fe1d14b4b1c5b64f9c276975329bb22,,,,Emkoo 1.5T GL
False,Emkoo,[],[],,,True,[],,,2.0T GL Hybrid,Emkoo,,,,2.0T GL Hybrid,,d89a0dfa9c572cdb8b40d6add22a1543,,,,Emkoo 2.0T GL Hybrid
False,GS3,[],[],,,True,[],,,Emzoom 1.5T Sport,GS3,,,,Emzoom 1.5T Sport,,57917a014f29d78ff7de3450f4187e82,,,,GS3 Emzoom 1.5T Sport
False,Hyundai,[],[],,,True,[],,,Accent,Hyundai,,,,Accent,,4550300d36b0c30415059141eabfc28f,,,,Hyundai Accent
False,Hyundai,[],[],,,True,[],,,Accent (old),Hyundai,,,,Accent (old),,bd3dce72cfc4b5115696f76e2634bcb9,,,,Hyundai Accent (old)
False,Hyundai,[],[],,,True,[],,,Creta,Hyundai,,,,Creta,,2024ce3ff5a55ec49481a960b4e4c6df,,,,Hyundai Creta
False,Hyundai,[],[],,,True,[],,,Creta (old),Hyundai,,,,Creta (old),,401314811627c0a6eebfc9090ba5a804,,,,Hyundai Creta (old)
False,Hyundai,[],[],,,True,[],,,Kona,Hyundai,,,,Kona,,5659ad92688c9419a4915f3f477f3f29,,,,Hyundai Kona
False,Hyundai,[],[],,,True,[],,,Palisade,Hyundai,,,,Palisade,,3e1b97466fa37b9b23b59a31513c8ae2,,,,Hyundai Palisade
False,Hyundai,[],[],,,True,[],,,Santa Fe,Hyundai,,,,Santa Fe,,17a5f95e40daa91b5268b89661702301,,,,Hyundai Santa Fe
False,Hyundai,[],[],,,True,[],,,Tucson,Hyundai,,,,Tucson,,380593f37cd9a23d66ac4a1d0947b31a,,,,Hyundai Tucson
False,Hyundai,[],[],,,True,[],,,Tucson (old),Hyundai,,,,Tucson (old),,3d2bffcd3bef4b2950e3fe8c43c0a7d0,,,,Hyundai Tucson (old)
False,Hyundai,[],[],,,True,[],,,Tucson (old),Hyundai,,,,Tucson (old),,ca21f4ad8faebcc74558283b2656612f,,,,Hyundai Tucson (old)
False,Infiniti,[],[],,,True,[],,,Q50,Infiniti,,,,Q50,,ac4df37c59b41cc838dbe1b28c6f220d,,,,Infiniti Q50
False,Infiniti,[],[],,,True,[],,,QX55,Infiniti,,,,QX55,,e4a505fd7788b3f420a300f32acfa0a9,,,,Infiniti QX55
False,Infiniti,[],[],,,True,[],,,QX60,Infiniti,,,,QX60,,aaef00584d80349ae657eeebc50e3dff,,,,Infiniti QX60
False,Kia,[],[],,,True,[],,,K5,Kia,,,,K5,,17af3a03b30b688abf4e76ddcc7cfd83,,,,Kia K5
False,Kia,[],[],,,True,[],,,K5 (old),Kia,,,,K5 (old),,81078dd9a7f78914de86388ebedc8665,,,,Kia K5 (old)
False,Kia,[],[],,,True,[],,,Pegas,Kia,,,,Pegas,,510b40638344623f98e30e1581373552,,,,Kia Pegas
False,Kia,[],[],,,True,[],,,Pegas (old),Kia,,,,Pegas (old),,9ea684eee2b890d44d02b2bfeb61c99f,,,,Kia Pegas (old)
