code,registry_manufacturer,model_specifications,fuel_type,first_maintenance_mileage,intermediate_maintenance_mileage,maintenance_mileage,name,image_map_url_3x,registry_model,image_large_url,deprecated,short_name,image_small_url,fuel_cap_side,image_pin_url_3x,fuel_distance_enabled,image_map_url_2x,tyres_info,default_tags,image_pin_url_2x,manufacturer
ac533714baa7528faa0de5f1cfd8956a,Audi,[],,,,,Audi A6,,A6,,False,A6,,,,True,,[],[],,Audi
a2bba6ea42e72652939bf0e04a043743,Chevrolet,[],,,,,Chevrolet Spark,,Spark,,False,Spark,,,,True,,[],[],,Chevrolet
b2631d477ac39194021cfba1417f0cda,Chevrolet,[],,,,,Chevrolet Spark (old),,Spark (old),,False,Spark (old),,,,True,,[],[],,Chevrolet
5fe1d14b4b1c5b64f9c276975329bb22,Emkoo,[],,,,,Emkoo 1.5T GL,,1.5T GL,,False,1.5T GL,,,,True,,[],[],,Emkoo
d89a0dfa9c572cdb8b40d6add22a1543,Emkoo,[],,,,,Emkoo 2.0T GL Hybrid,,2.0T GL Hybrid,,False,2.0T GL Hybrid,,,,True,,[],[],,Emkoo
57917a014f29d78ff7de3450f4187e82,GS3,[],,,,,GS3 Emzoom 1.5T Sport,,Emzoom 1.5T Sport,,False,Emzoom 1.5T Sport,,,,True,,[],[],,GS3
4550300d36b0c30415059141eabfc28f,Hyundai,[],,,,,Hyundai Accent,,Accent,,False,Accent,,,,True,,[],[],,Hyundai
bd3dce72cfc4b5115696f76e2634bcb9,Hyundai,[],,,,,Hyundai Accent (old),,Accent (old),,False,Accent (old),,,,True,,[],[],,Hyundai
2024ce3ff5a55ec49481a960b4e4c6df,Hyundai,[],,,,,Hyundai Creta,,Creta,,False,Creta,,,,True,,[],[],,Hyundai
401314811627c0a6eebfc9090ba5a804,Hyundai,[],,,,,Hyundai Creta (old),,Creta (old),,False,Creta (old),,,,True,,[],[],,Hyundai
5659ad92688c9419a4915f3f477f3f29,Hyundai,[],,,,,Hyundai Kona,,Kona,,False,Kona,,,,True,,[],[],,Hyundai
3e1b97466fa37b9b23b59a31513c8ae2,Hyundai,[],,,,,Hyundai Palisade,,Palisade,,False,Palisade,,,,True,,[],[],,Hyundai
17a5f95e40daa91b5268b89661702301,Hyundai,[],,,,,Hyundai Santa Fe,,Santa Fe,,False,Santa Fe,,,,True,,[],[],,Hyundai
380593f37cd9a23d66ac4a1d0947b31a,Hyundai,[],,,,,Hyundai Tucson,,Tucson,,False,Tucson,,,,True,,[],[],,Hyundai
3d2bffcd3bef4b2950e3fe8c43c0a7d0,Hyundai,[],,,,,Hyundai Tucson (old),,Tucson (old),,False,Tucson (old),,,,True,,[],[],,Hyundai
ca21f4ad8faebcc74558283b2656612f,Hyundai,[],,,,,Hyundai Tucson (old),,Tucson (old),,False,Tucson (old),,,,True,,[],[],,Hyundai
ac4df37c59b41cc838dbe1b28c6f220d,Infiniti,[],,,,,Infiniti Q50,,Q50,,False,Q50,,,,True,,[],[],,Infiniti
e4a505fd7788b3f420a300f32acfa0a9,Infiniti,[],,,,,Infiniti QX55,,QX55,,False,QX55,,,,True,,[],[],,Infiniti
aaef00584d80349ae657eeebc50e3dff,Infiniti,[],,,,,Infiniti QX60,,QX60,,False,QX60,,,,True,,[],[],,Infiniti
17af3a03b30b688abf4e76ddcc7cfd83,Kia,[],,,,,Kia K5,,K5,,False,K5,,,,True,,[],[],,Kia
81078dd9a7f78914de86388ebedc8665,Kia,[],,,,,Kia K5 (old),,K5 (old),,False,K5 (old),,,,True,,[],[],,Kia
510b40638344623f98e30e1581373552,Kia,[],,,,,Kia Pegas,,Pegas,,False,Pegas,,,,True,,[],[],,Kia
9ea684eee2b890d44d02b2bfeb61c99f,Kia,[],,,,,Kia Pegas (old),,Pegas (old),,False,Pegas (old),,,,True,,[],[],,Kia
d351e5b270a98085a66d87e96465fd11,Kia,[],,,,,Kia Pegas (old),,Pegas (old),,False,Pegas (old),,,,True,,[],[],,Kia
e39f359e6674ca2352f3d0f290ff72c3,Kia,[],,,,,Kia Picanto,,Picanto,,False,Picanto,,,,True,,[],[],,Kia
0391b485e12f28808f01fc5d217ec913,Kia,[],,,,,Kia Rio,,Rio,,False,Rio,,,,True,,[],[],,Kia
bfd58860657d75ffc6a856e214bb601e,Kia,[],,,,,Kia Seltos,,Seltos,,False,Seltos,,,,True,,[],[],,Kia
71e9a56da949fb0373d13837cf23de36,Kia,[],,,,,Kia Seltos  (unused),,Seltos  (unused),,False,Seltos  (unused),,,,True,,[],[],,Kia
3efe40e33b8381575eece6c3301a6a65,Kia,[],,,,,Kia Sportage,,Sportage,,False,Sportage,,,,True,,[],[],,Kia
cecf0fcbf9a932909dc869c4d5695897,Kia,[],,,,,Kia Sportage (old),,Sportage (old),,False,Sportage (old),,,,True,,[],[],,Kia
d826366f26dbeae2bb0fc1e87a9c021d,Mazda,[],,,,,Mazda 3,,3,,False,3,,,,True,,[],[],,Mazda
acceca69b3effa58d9d65ca422adae1f,Mazda,[],,,,,Mazda 6,,6,,False,6,,,,True,,[],[],,Mazda
