first_maintenance_mileage,image_pin_url_2x,code,default_tags,model_specifications,maintenance_mileage,intermediate_maintenance_mileage,fuel_cap_side,registry_manufacturer,fuel_distance_enabled,deprecated,image_pin_url_3x,registry_model,short_name,image_map_url_2x,name,fuel_type,image_large_url,image_small_url,manufacturer,image_map_url_3x,tyres_info
,,0560fe54ac8f2141eff8da6cfbd08afe,[],[],,,,CITROEN,True,False,,C4,C4,,CITROEN C4,,,,CITROEN,,[]
,,ba184805162e53b0b3f254ed11481a93,[],[],,,,CITROEN,True,False,,C4 X SHINE,C4 X SHINE,,CITROEN C4 X SHINE,,,,CITROEN,,[]
,,1b97a310b39a79d3ea31a1e270f17e9f,[],[],,,,CITROEN,True,False,,C5,C5,,CITROEN C5,,,,CITROEN,,[]
,,1d92a71a0988ddbc2646a2136e12118d,[],[],,,,KIA,True,False,,PEGAS,PEGAS,,KIA PEGAS,,,,KIA,,[]
,,8e6ed8886d6c2fc2b9a71adf555c9205,[],[],,,,MG,True,False,,GT,GT,,MG GT,,,,MG,,[]
,,0d01c4a7de7fbf88ffc220a49e1bab82,[],[],,,,MG,True,False,,MG 5,MG 5,,MG MG 5,,,,MG,,[]
,,9e4ad4377dbcda4a3476c5d99eb3cd7e,[],[],,,,MG,True,False,,MG-ONE,MG-ONE,,MG MG-ONE,,,,MG,,[]
,,4df15e4310d618aae0b862726721a75f,[],[],,,,MG,True,False,,ZS,ZS,,MG ZS,,,,MG,,[]
,,fddd0bc078acfa9febe40e7df11a2a6d,[],[],,,,OPEL,True,False,,CORSA,CORSA,,OPEL CORSA,,,,OPEL,,[]
,,9d06af67ef6245afc0282c17fc4ccd69,[],[],,,,OPEL,True,False,,MOKKA,MOKKA,,OPEL MOKKA,,,,OPEL,,[]
