manufacturer,image_pin_url_3x,model_specifications,fuel_type,short_name,image_map_url_3x,maintenance_mileage,fuel_distance_enabled,registry_model,image_large_url,registry_manufacturer,intermediate_maintenance_mileage,image_map_url_2x,fuel_cap_side,image_small_url,default_tags,image_pin_url_2x,tyres_info,deprecated,first_maintenance_mileage,name,code
CITROEN,,[],,C4,,,True,C4,,CITROEN,,,,,[],,[],False,,CITROEN C4,0560fe54ac8f2141eff8da6cfbd08afe
CITROEN,,[],,C4 X SHINE,,,True,C4 X SHINE,,CITROEN,,,,,[],,[],False,,CITROEN C4 X SHINE,ba184805162e53b0b3f254ed11481a93
CITROEN,,[],,C5,,,True,C5,,CITROEN,,,,,[],,[],False,,CITROEN C5,1b97a310b39a79d3ea31a1e270f17e9f
KIA,,[],,PEGAS,,,True,PEGAS,,KIA,,,,,[],,[],False,,KIA PEGAS,1d92a71a0988ddbc2646a2136e12118d
MG,,[],,GT,,,True,GT,,MG,,,,,[],,[],False,,MG GT,8e6ed8886d6c2fc2b9a71adf555c9205
MG,,[],,MG 5,,,True,MG 5,,MG,,,,,[],,[],False,,MG MG 5,0d01c4a7de7fbf88ffc220a49e1bab82
MG,,[],,MG-ONE,,,True,MG-ONE,,MG,,,,,[],,[],False,,MG MG-ONE,9e4ad4377dbcda4a3476c5d99eb3cd7e
MG,,[],,ZS,,,True,ZS,,MG,,,,,[],,[],False,,MG ZS,4df15e4310d618aae0b862726721a75f
OPEL,,[],,CORSA,,,True,CORSA,,OPEL,,,,,[],,[],False,,OPEL CORSA,fddd0bc078acfa9febe40e7df11a2a6d
OPEL,,[],,MOKKA,,,True,MOKKA,,OPEL,,,,,[],,[],False,,OPEL MOKKA,9d06af67ef6245afc0282c17fc4ccd69
