first_maintenance_mileage,image_pin_url_2x,code,default_tags,model_specifications,maintenance_mileage,intermediate_maintenance_mileage,fuel_cap_side,registry_manufacturer,fuel_distance_enabled,deprecated,image_pin_url_3x,registry_model,short_name,image_map_url_2x,name,fuel_type,image_large_url,image_small_url,manufacturer,image_map_url_3x,tyres_info
,,e2b43f4cbefe947175ea8aaf528e91bd,[],[],,,,Ford,True,False,,Mustang,Mustang,,Ford Mustang,,,,Ford,,[]
,,b41b071d4c2efd0a3d5c47b726873768,[],[],,,,JAC,True,False,,S3,S3,,JAC S3,,,,JAC,,[]
,,a64c0321e2a710c01a569296b18d6d44,[],[],,,,KIA,True,False,,Carens,Carens,,KIA Carens,,,,KIA,,[]
,,cbdbd082936a872b72d687cc9eeb4135,[],[],,,,KIA,True,False,,Sonet,Sonet,,KIA Sonet,,,,KIA,,[]
,,74c235db95c009619ffad43232aa1954,[],[],,,,KIA ,True,False,,PEGAS,PEGAS,,KIA  PEGAS,,,,KIA ,,[]
,,175b4e7516ae95b00363934109f3e095,[],[],,,,Kia,True,False,, Cerato, Cerato,,Kia  Cerato,,,,Kia,,[]
,,de24deb95c1b37e279049a54439084af,[],[],,,,Kia,True,False,,K5,K5,,Kia K5,,,,Kia,,[]
,,4f7222cf3c03af55f4f327d482758b18,[],[],,,,MG,True,False,,360,360,,MG 360,,,,MG,,[]
,,4005fca59ec300bf86e6ea47e6d76298,[],[],,,,MG,True,False,,5,5,,MG 5,,,,MG,,[]
,,eaa235d8119a652c8786bc84e9ff5777,[],[],,,,MG,True,False,,ZS,ZS,,MG ZS,,,,MG,,[]
,,54fbda615ca8b521223438d886734c1a,[],[],,,,MINI,True,False,,Cooper,Cooper,,MINI Cooper,,,,MINI,,[]
,,0f4ba2872a226ab91470ca0336ba8173,[],[],,,,Mercedes,True,False,,C300,C300,,Mercedes C300,,,,Mercedes,,[]
,,d45855297962833cf0bdb39b54ec5746,[],[],,,,Mitsubishi,True,False,,Xpander,Xpander,,Mitsubishi Xpander,,,,Mitsubishi,,[]
,,8b36e4d8fc3721228439b34a1839320a,[],[],,,,Mitsubishi  ,True,False,,Attrage,Attrage,,Mitsubishi   Attrage,,,,Mitsubishi  ,,[]
,,8c5241e0d0fbb8f4e162c3f02ff0a1ec,[],[],,,,Nissan,True,False,,Patrol,Patrol,,Nissan Patrol,,,,Nissan,,[]
,,2d5446e6ccee84b36905103f6d19a010,[],[],,,,TOYOTA,True,False,,COROLLA,COROLLA,,TOYOTA COROLLA,,,,TOYOTA,,[]
,,f5b942be0645c38bfbbdced69e12576d,[],[],,,,Toyota,True,False,,Fortuner,Fortuner,,Toyota Fortuner,,,,Toyota,,[]
