code,registry_manufacturer,model_specifications,fuel_type,first_maintenance_mileage,intermediate_maintenance_mileage,maintenance_mileage,name,image_map_url_3x,registry_model,image_large_url,deprecated,short_name,image_small_url,fuel_cap_side,image_pin_url_3x,fuel_distance_enabled,image_map_url_2x,tyres_info,default_tags,image_pin_url_2x,manufacturer
e2b43f4cbefe947175ea8aaf528e91bd,Ford,[],,,,,Ford Mustang,,Mustang,,False,Mustang,,,,True,,[],[],,Ford
b41b071d4c2efd0a3d5c47b726873768,JAC,[],,,,,JAC S3,,S3,,False,S3,,,,True,,[],[],,JAC
a64c0321e2a710c01a569296b18d6d44,KIA,[],,,,,KIA Carens,,Carens,,False,Carens,,,,True,,[],[],,KIA
cbdbd082936a872b72d687cc9eeb4135,KIA,[],,,,,KIA Sonet,,Sonet,,False,Sonet,,,,True,,[],[],,KIA
74c235db95c009619ffad43232aa1954,KIA ,[],,,,,KIA  PEGAS,,PEGAS,,False,PEGAS,,,,True,,[],[],,KIA 
175b4e7516ae95b00363934109f3e095,Kia,[],,,,,Kia  Cerato,, Cerato,,False, Cerato,,,,True,,[],[],,Kia
de24deb95c1b37e279049a54439084af,Kia,[],,,,,Kia K5,,K5,,False,K5,,,,True,,[],[],,Kia
4f7222cf3c03af55f4f327d482758b18,MG,[],,,,,MG 360,,360,,False,360,,,,True,,[],[],,MG
4005fca59ec300bf86e6ea47e6d76298,MG,[],,,,,MG 5,,5,,False,5,,,,True,,[],[],,MG
eaa235d8119a652c8786bc84e9ff5777,MG,[],,,,,MG ZS,,ZS,,False,ZS,,,,True,,[],[],,MG
54fbda615ca8b521223438d886734c1a,MINI,[],,,,,MINI Cooper,,Cooper,,False,Cooper,,,,True,,[],[],,MINI
0f4ba2872a226ab91470ca0336ba8173,Mercedes,[],,,,,Mercedes C300,,C300,,False,C300,,,,True,,[],[],,Mercedes
d45855297962833cf0bdb39b54ec5746,Mitsubishi,[],,,,,Mitsubishi Xpander,,Xpander,,False,Xpander,,,,True,,[],[],,Mitsubishi
8b36e4d8fc3721228439b34a1839320a,Mitsubishi  ,[],,,,,Mitsubishi   Attrage,,Attrage,,False,Attrage,,,,True,,[],[],,Mitsubishi  
8c5241e0d0fbb8f4e162c3f02ff0a1ec,Nissan,[],,,,,Nissan Patrol,,Patrol,,False,Patrol,,,,True,,[],[],,Nissan
2d5446e6ccee84b36905103f6d19a010,TOYOTA,[],,,,,TOYOTA COROLLA,,COROLLA,,False,COROLLA,,,,True,,[],[],,TOYOTA
f5b942be0645c38bfbbdced69e12576d,Toyota,[],,,,,Toyota Fortuner,,Fortuner,,False,Fortuner,,,,True,,[],[],,Toyota
