first_maintenance_mileage,image_pin_url_2x,code,default_tags,model_specifications,maintenance_mileage,intermediate_maintenance_mileage,fuel_cap_side,registry_manufacturer,fuel_distance_enabled,deprecated,image_pin_url_3x,registry_model,short_name,image_map_url_2x,name,fuel_type,image_large_url,image_small_url,manufacturer,image_map_url_3x,tyres_info
,,0bb419819f29428c2344299218df958b,[],[],,,,AUDI,True,False,,Q5,Q5,,AUDI Q5,,,,AUDI,,[]
,,b2137d7803939b377a7596d965fd1106,[],[],,,,AUDI,True,False,,Q8,Q8,,AUDI Q8,,,,AUDI,,[]
,,a757f7fab28a6173d36b8f169e221623,[],[],,,,AUDI,True,False,,R8 V10,R8 V10,,AUDI R8 V10,,,,AUDI,,[]
,,d719aa047175611c78343536d6f70c60,[],[],,,,BENTLEY,True,False,,GT,GT,,BENTLEY GT,,,,BENTLEY,,[]
,,49c21dc0d9675c403463e1ef5485f979,[],[],,,,BMW,True,False,,330i,330i,,BMW 330i,,,,BMW,,[]
,,d02a10f21bdbcca0d9396c312a34b7c4,[],[],,,,BMW,True,False,,430-CONV,430-CONV,,BMW 430-CONV,,,,BMW,,[]
,,76f4ef3a955e6d9d9fd3864fe682dca0,[],[],,,,BMW,True,False,,740 Xi,740 Xi,,BMW 740 Xi,,,,BMW,,[]
,,e2e12bd759f4119e965fad8bb668e3fa,[],[],,,,BMW,True,False,,740i,740i,,BMW 740i,,,,BMW,,[]
,,f16477baf3306e6fa191f2a249912a8d,[],[],,,,BMW,True,False,,740i,740i,,BMW 740i,,,,BMW,,[]
,,f673c5b3bc4f97a56b96b99b31920e09,[],[],,,,BMW,True,False,,X3,X3,,BMW X3,,,,BMW,,[]
,,eeae216e1108d68be203dd55bdcc44dd,[],[],,,,CADILLAC,True,False,,ESCALADE,ESCALADE,,CADILLAC ESCALADE,,,,CADILLAC,,[]
,,dd7f17dcde09112cf2389fd745aae518,[],[],,,,CHEVROLET,True,False,,MALIBU,MALIBU,,CHEVROLET MALIBU,,,,CHEVROLET,,[]
,,5b11dfa2563c658cf8e095481ddff61d,[],[],,,,CHEVROLET,True,False,,TAHOE,TAHOE,,CHEVROLET TAHOE,,,,CHEVROLET,,[]
,,c95797087efca69f1d767ff65c45f205,[],[],,,,DODGE,True,False,,CHARGER,CHARGER,,DODGE CHARGER,,,,DODGE,,[]
