deprecated,manufacturer,tyres_info,model_specifications,image_pin_url_3x,first_maintenance_mileage,fuel_distance_enabled,default_tags,fuel_type,image_small_url,registry_model,registry_manufacturer,intermediate_maintenance_mileage,image_map_url_3x,fuel_cap_side,short_name,maintenance_mileage,code,image_map_url_2x,image_pin_url_2x,image_large_url,name
False,AUDI,[],[],,,True,[],,,Q5,AUDI,,,,Q5,,0bb419819f29428c2344299218df958b,,,,AUDI Q5
False,AUDI,[],[],,,True,[],,,Q8,AUDI,,,,Q8,,b2137d7803939b377a7596d965fd1106,,,,AUDI Q8
False,AUDI,[],[],,,True,[],,,R8 V10,AUDI,,,,R8 V10,,a757f7fab28a6173d36b8f169e221623,,,,AUDI R8 V10
False,BENTLEY,[],[],,,True,[],,,GT,BENTLEY,,,,GT,,d719aa047175611c78343536d6f70c60,,,,BENTLEY GT
False,BMW,[],[],,,True,[],,,330i,BMW,,,,330i,,49c21dc0d9675c403463e1ef5485f979,,,,BMW 330i
False,BMW,[],[],,,True,[],,,430-CONV,BMW,,,,430-CONV,,d02a10f21bdbcca0d9396c312a34b7c4,,,,BMW 430-CONV
False,BMW,[],[],,,True,[],,,740 Xi,BMW,,,,740 Xi,,76f4ef3a955e6d9d9fd3864fe682dca0,,,,BMW 740 Xi
False,BMW,[],[],,,True,[],,,740i,BMW,,,,740i,,e2e12bd759f4119e965fad8bb668e3fa,,,,BMW 740i
False,BMW,[],[],,,True,[],,,740i,BMW,,,,740i,,f16477baf3306e6fa191f2a249912a8d,,,,BMW 740i
False,BMW,[],[],,,True,[],,,X3,BMW,,,,X3,,f673c5b3bc4f97a56b96b99b31920e09,,,,BMW X3
False,CADILLAC,[],[],,,True,[],,,ESCALADE,CADILLAC,,,,ESCALADE,,eeae216e1108d68be203dd55bdcc44dd,,,,CADILLAC ESCALADE
False,CHEVROLET,[],[],,,True,[],,,MALIBU,CHEVROLET,,,,MALIBU,,dd7f17dcde09112cf2389fd745aae518,,,,CHEVROLET MALIBU
False,CHEVROLET,[],[],,,True,[],,,TAHOE,CHEVROLET,,,,TAHOE,,5b11dfa2563c658cf8e095481ddff61d,,,,CHEVROLET TAHOE
False,DODGE,[],[],,,True,[],,,CHARGER,DODGE,,,,CHARGER,,c95797087efca69f1d767ff65c45f205,,,,DODGE CHARGER
False,FERRARI,[],[],,,True,[],,,488,FERRARI,,,,488,,ce32a4ef5c10181b7a266276e0fdda41,,,,FERRARI 488
False,FIAT,[],[],,,True,[],,,500 HATCHBACK,FIAT,,,,500 HATCHBACK,,c718a0af167de949833107437e9bb15e,,,,FIAT 500 HATCHBACK
False,FORD,[],[],,,True,[],,,FUSION,FORD,,,,FUSION,,d2b5d0614ce640321a7e294f9a34ae8a,,,,FORD FUSION
False,FORD,[],[],,,True,[],,,MUSTANG-v6conv,FORD,,,,MUSTANG-v6conv,,7de1b6cd7378b4cd947a99f1ae82eefa,,,,FORD MUSTANG-v6conv
False,FORD,[],[],,,True,[],,,RAPTOR F150,FORD,,,,RAPTOR F150,,83331273fa53740f77f6c78be0564b22,,,,FORD RAPTOR F150
False,INFINITI,[],[],,,True,[],,,QX80,INFINITI,,,,QX80,,bf572c9f34edf81a04d149d1d8d025e4,,,,INFINITI QX80
False,JAGUAR,[],[],,,True,[],,,E-PACE,JAGUAR,,,,E-PACE,,64b85d6fe90ea532558a2ace76d76418,,,,JAGUAR E-PACE
False,JAGUAR,[],[],,,True,[],,,E-PACE,JAGUAR,,,,E-PACE,,f3517bf0265c5d88eb8f877c6ffb95e9,,,,JAGUAR E-PACE
False,JAGUAR,[],[],,,True,[],,,F-PACE,JAGUAR,,,,F-PACE,,8800d6fabf24009663470abc16a8daf2,,,,JAGUAR F-PACE
False,LAMBORGHINI,[],[],,,True,[],,,URUS,LAMBORGHINI,,,,URUS,,6035579795058a549ac88c91dcd25bb3,,,,LAMBORGHINI URUS
False,LAND ROVER,[],[],,,True,[],,,DEFENDER,LAND ROVER,,,,DEFENDER,,95f55caaac3a41cf2520e14bdbb4920c,,,,LAND ROVER DEFENDER
False,LEXUS,[],[],,,True,[],,,GX460,LEXUS,,,,GX460,,486acbad42e9e7cec80e22f5e97915ce,,,,LEXUS GX460
False,MASERATI,[],[],,,True,[],,,GHIBLI,MASERATI,,,,GHIBLI,,7016b3c24602689acf1962ef6bd7b139,,,,MASERATI GHIBLI
False,MERCEDES,[],[],,,True,[],,,A45,MERCEDES,,,,A45,,376f6a84ee5915fb8ea6987456a827ff,,,,MERCEDES A45
False,MERCEDES,[],[],,,True,[],,,C300-4DOOR,MERCEDES,,,,C300-4DOOR,,d3b241209bd23b8c9a22f5f34f8b3aba,,,,MERCEDES C300-4DOOR
False,MERCEDES,[],[],,,True,[],,,C63 AMG,MERCEDES,,,,C63 AMG,,e10e9e29d394d90ac15172dde3d1ef26,,,,MERCEDES C63 AMG
