manufacturer,image_pin_url_3x,model_specifications,fuel_type,short_name,image_map_url_3x,maintenance_mileage,fuel_distance_enabled,registry_model,image_large_url,registry_manufacturer,intermediate_maintenance_mileage,image_map_url_2x,fuel_cap_side,image_small_url,default_tags,image_pin_url_2x,tyres_info,deprecated,first_maintenance_mileage,name,code
AUDI,,[],,Q5,,,True,Q5,,AUDI,,,,,[],,[],False,,AUDI Q5,0bb419819f29428c2344299218df958b
AUDI,,[],,Q8,,,True,Q8,,AUDI,,,,,[],,[],False,,AUDI Q8,b2137d7803939b377a7596d965fd1106
AUDI,,[],,R8 V10,,,True,R8 V10,,AUDI,,,,,[],,[],False,,AUDI R8 V10,a757f7fab28a6173d36b8f169e221623
BENTLEY,,[],,GT,,,True,GT,,BENTLEY,,,,,[],,[],False,,BENTLEY GT,d719aa047175611c78343536d6f70c60
BMW,,[],,330i,,,True,330i,,BMW,,,,,[],,[],False,,BMW 330i,49c21dc0d9675c403463e1ef5485f979
BMW,,[],,430-CONV,,,True,430-CONV,,BMW,,,,,[],,[],False,,BMW 430-CONV,d02a10f21bdbcca0d9396c312a34b7c4
BMW,,[],,740 Xi,,,True,740 Xi,,BMW,,,,,[],,[],False,,BMW 740 Xi,76f4ef3a955e6d9d9fd3864fe682dca0
BMW,,[],,740i,,,True,740i,,BMW,,,,,[],,[],False,,BMW 740i,e2e12bd759f4119e965fad8bb668e3fa
BMW,,[],,740i,,,True,740i,,BMW,,,,,[],,[],False,,BMW 740i,f16477baf3306e6fa191f2a249912a8d
BMW,,[],,X3,,,True,X3,,BMW,,,,,[],,[],False,,BMW X3,f673c5b3bc4f97a56b96b99b31920e09
CADILLAC,,[],,ESCALADE,,,True,ESCALADE,,CADILLAC,,,,,[],,[],False,,CADILLAC ESCALADE,eeae216e1108d68be203dd55bdcc44dd
CHEVROLET,,[],,MALIBU,,,True,MALIBU,,CHEVROLET,,,,,[],,[],False,,CHEVROLET MALIBU,dd7f17dcde09112cf2389fd745aae518
CHEVROLET,,[],,TAHOE,,,True,TAHOE,,CHEVROLET,,,,,[],,[],False,,CHEVROLET TAHOE,5b11dfa2563c658cf8e095481ddff61d
DODGE,,[],,CHARGER,,,True,CHARGER,,DODGE,,,,,[],,[],False,,DODGE CHARGER,c95797087efca69f1d767ff65c45f205
FERRARI,,[],,488,,,True,488,,FERRARI,,,,,[],,[],False,,FERRARI 488,ce32a4ef5c10181b7a266276e0fdda41
FIAT,,[],,500 HATCHBACK,,,True,500 HATCHBACK,,FIAT,,,,,[],,[],False,,FIAT 500 HATCHBACK,c718a0af167de949833107437e9bb15e
FORD,,[],,FUSION,,,True,FUSION,,FORD,,,,,[],,[],False,,FORD FUSION,d2b5d0614ce640321a7e294f9a34ae8a
FORD,,[],,MUSTANG-v6conv,,,True,MUSTANG-v6conv,,FORD,,,,,[],,[],False,,FORD MUSTANG-v6conv,7de1b6cd7378b4cd947a99f1ae82eefa
FORD,,[],,RAPTOR F150,,,True,RAPTOR F150,,FORD,,,,,[],,[],False,,FORD RAPTOR F150,83331273fa53740f77f6c78be0564b22
INFINITI,,[],,QX80,,,True,QX80,,INFINITI,,,,,[],,[],False,,INFINITI QX80,bf572c9f34edf81a04d149d1d8d025e4
