code,registry_manufacturer,model_specifications,fuel_type,first_maintenance_mileage,intermediate_maintenance_mileage,maintenance_mileage,name,image_map_url_3x,registry_model,image_large_url,deprecated,short_name,image_small_url,fuel_cap_side,image_pin_url_3x,fuel_distance_enabled,image_map_url_2x,tyres_info,default_tags,image_pin_url_2x,manufacturer
0bb419819f29428c2344299218df958b,AUDI,[],,,,,AUDI Q5,,Q5,,False,Q5,,,,True,,[],[],,AUDI
b2137d7803939b377a7596d965fd1106,AUDI,[],,,,,AUDI Q8,,Q8,,False,Q8,,,,True,,[],[],,AUDI
a757f7fab28a6173d36b8f169e221623,AUDI,[],,,,,AUDI R8 V10,,R8 V10,,False,R8 V10,,,,True,,[],[],,AUDI
d719aa047175611c78343536d6f70c60,BENTLEY,[],,,,,BENTLEY GT,,GT,,False,GT,,,,True,,[],[],,BENTLEY
49c21dc0d9675c403463e1ef5485f979,BMW,[],,,,,BMW 330i,,330i,,False,330i,,,,True,,[],[],,BMW
d02a10f21bdbcca0d9396c312a34b7c4,BMW,[],,,,,BMW 430-CONV,,430-CONV,,False,430-CONV,,,,True,,[],[],,BMW
76f4ef3a955e6d9d9fd3864fe682dca0,BMW,[],,,,,BMW 740 Xi,,740 Xi,,False,740 Xi,,,,True,,[],[],,BMW
e2e12bd759f4119e965fad8bb668e3fa,BMW,[],,,,,BMW 740i,,740i,,False,740i,,,,True,,[],[],,BMW
f16477baf3306e6fa191f2a249912a8d,BMW,[],,,,,BMW 740i,,740i,,False,740i,,,,True,,[],[],,BMW
f673c5b3bc4f97a56b96b99b31920e09,BMW,[],,,,,BMW X3,,X3,,False,X3,,,,True,,[],[],,BMW
eeae216e1108d68be203dd55bdcc44dd,CADILLAC,[],,,,,CADILLAC ESCALADE,,ESCALADE,,False,ESCALADE,,,,True,,[],[],,CADILLAC
dd7f17dcde09112cf2389fd745aae518,CHEVROLET,[],,,,,CHEVROLET MALIBU,,MALIBU,,False,MALIBU,,,,True,,[],[],,CHEVROLET
5b11dfa2563c658cf8e095481ddff61d,CHEVROLET,[],,,,,CHEVROLET TAHOE,,TAHOE,,False,TAHOE,,,,True,,[],[],,CHEVROLET
c95797087efca69f1d767ff65c45f205,DODGE,[],,,,,DODGE CHARGER,,CHARGER,,False,CHARGER,,,,True,,[],[],,DODGE
ce32a4ef5c10181b7a266276e0fdda41,FERRARI,[],,,,,FERRARI 488,,488,,False,488,,,,True,,[],[],,FERRARI
c718a0af167de949833107437e9bb15e,FIAT,[],,,,,FIAT 500 HATCHBACK,,500 HATCHBACK,,False,500 HATCHBACK,,,,True,,[],[],,FIAT
d2b5d0614ce640321a7e294f9a34ae8a,FORD,[],,,,,FORD FUSION,,FUSION,,False,FUSION,,,,True,,[],[],,FORD
7de1b6cd7378b4cd947a99f1ae82eefa,FORD,[],,,,,FORD MUSTANG-v6conv,,MUSTANG-v6conv,,False,MUSTANG-v6conv,,,,True,,[],[],,FORD
83331273fa53740f77f6c78be0564b22,FORD,[],,,,,FORD RAPTOR F150,,RAPTOR F150,,False,RAPTOR F150,,,,True,,[],[],,FORD
bf572c9f34edf81a04d149d1d8d025e4,INFINITI,[],,,,,INFINITI QX80,,QX80,,False,QX80,,,,True,,[],[],,INFINITI
