first_maintenance_mileage,image_pin_url_2x,code,default_tags,model_specifications,maintenance_mileage,intermediate_maintenance_mileage,fuel_cap_side,registry_manufacturer,fuel_distance_enabled,deprecated,image_pin_url_3x,registry_model,short_name,image_map_url_2x,name,fuel_type,image_large_url,image_small_url,manufacturer,image_map_url_3x,tyres_info
,,d5e2b43e3a97eb6f212e1fe8c1913440,[],[],,,,AUDI,True,False,,A3,A3,,AUDI A3,,,,AUDI,,[]
,,ffc48342e10ca89d6354e2a443effb46,[],[],,,,AUDI,True,False,,A3 PROGRESS +,A3 PROGRESS +,,AUDI A3 PROGRESS +,,,,AUDI,,[]
,,1a59a12127c00a316c6d59ba9f010ff2,[],[],,,,AUDI,True,False,,A4 Sport,A4 Sport,,AUDI A4 Sport,,,,AUDI,,[]
,,166dc110b5c17a26f629b04ad5ef84b5,[],"[{'name': 'FuelTankVolume', 'value_localized': '70 model.specification.FuelTankVolume.unit(0)', 'value': '70', 'name_localized': 'Fuel Tank Volume', 'icon_localized': 'model.specification.FuelTankVolume.default_icon', 'value_parsed': 70, 'id': '166dc110b5c17a26f629b04ad5ef84b5_FuelTankVolume'}]",,,,AUDI,True,False,,Q5 SPORT,Q5 SPORT,,AUDI Q5 SPORT,,,,AUDI,,[]
,,060d95d42109dfbff62726b8b47a6c5b,[],[],,,,CHEVROLET,True,False,,GROOVE,GROOVE,,CHEVROLET GROOVE,,,,CHEVROLET,,[]
,,8432d16ed3e8f19cfb3a650dabbececb,[],[],,,,FORD,True,False,,EXPLORER,EXPLORER,,FORD EXPLORER,,,,FORD,,[]
,,46873d3314c7719e466d116c6be75bf4,[],[],,,,FORD,True,False,,TERRITORY,TERRITORY,,FORD TERRITORY,,,,FORD,,[]
,,dffe41779c62ac9ed46b81df31ae5966,[],[],,,,GEELY,True,False,,COOLRAY,COOLRAY,,GEELY COOLRAY,,,,GEELY,,[]
,,ce631fb3a351b3c5d1cd1288e7f40500,[],[],,,,HONDA,True,False,,HRV,HRV,,HONDA HRV,,,,HONDA,,[]
,,cbf6f28c116ae09b0f6eab866c2a7529,[],[],,,,HYUNDAI,True,False,,ACCENT 1.6L,ACCENT 1.6L,,HYUNDAI ACCENT 1.6L,,,,HYUNDAI,,[]
,,a91ee052190cb087e24a80bcf5ac9dda,[],[],,,,HYUNDAI,True,False,,ACCENT SMART,ACCENT SMART,,HYUNDAI ACCENT SMART,,,,HYUNDAI,,[]
,,146016c1e4b92b0bdb7e03e1541b05c8,[],[],,,,HYUNDAI,True,False,,CRETA,CRETA,,HYUNDAI CRETA,,,,HYUNDAI,,[]
,,107234b99e40c8cc0f607d87ea8eaf32,[],[],,,,HYUNDAI,True,False,,KONA,KONA,,HYUNDAI KONA,,,,HYUNDAI,,[]
,,b76c561fa7c9ddf5c138148e025b1fe8,[],[],,,,HYUNDAI,True,False,,TUCSON,TUCSON,,HYUNDAI TUCSON,,,,HYUNDAI,,[]
,,667872b2a43234bfabc19da103ce28a2,[],[],,,,JETOUR,True,False,,X70,X70,,JETOUR X70,,,,JETOUR,,[]
,,21e7120758e92de87f56ec05188cc647,[],[],,,,KIA,True,False,,K5 2.5L,K5 2.5L,,KIA K5 2.5L,,,,KIA,,[]
,,da1113ef347b669582aeaa622f236442,[],[],,,,KIA,True,False,,K5 2.5L (old),K5 2.5L (old),,KIA K5 2.5L (old),,,,KIA,,[]
,,279fc8443fb5f40955fb77fed491d567,[],[],,,,KIA,True,False,,K5 2L,K5 2L,,KIA K5 2L,,,,KIA,,[]
,,10efcb5b766336c65c978406d299a52d,[],[],,,,KIA,True,False,,SELTOS,SELTOS,,KIA SELTOS,,,,KIA,,[]
,,b32cfa5fbacf5325d8f03c98ee412282,[],[],,,,KIA,True,False,,SELTOS (old),SELTOS (old),,KIA SELTOS (old),,,,KIA,,[]
,,4de4446e36d41a3fe6f7d329334db809,[],[],,,,KIA,True,False,,SPORTAGE 2L,SPORTAGE 2L,,KIA SPORTAGE 2L,,,,KIA,,[]
