deprecated,manufacturer,tyres_info,model_specifications,image_pin_url_3x,first_maintenance_mileage,fuel_distance_enabled,default_tags,fuel_type,image_small_url,registry_model,registry_manufacturer,intermediate_maintenance_mileage,image_map_url_3x,fuel_cap_side,short_name,maintenance_mileage,code,image_map_url_2x,image_pin_url_2x,image_large_url,name
False,AUDI,[],[],,,True,[],,,A3,AUDI,,,,A3,,d5e2b43e3a97eb6f212e1fe8c1913440,,,,AUDI A3
False,AUDI,[],[],,,True,[],,,A3 PROGRESS +,AUDI,,,,A3 PROGRESS +,,ffc48342e10ca89d6354e2a443effb46,,,,AUDI A3 PROGRESS +
False,AUDI,[],[],,,True,[],,,A4 Sport,AUDI,,,,A4 Sport,,1a59a12127c00a316c6d59ba9f010ff2,,,,AUDI A4 Sport
False,AUDI,[],"[{'name': 'FuelTankVolume', 'value_localized': '70 model.specification.FuelTankVolume.unit(0)', 'value': '70', 'name_localized': 'Fuel Tank Volume', 'icon_localized': 'model.specification.FuelTankVolume.default_icon', 'value_parsed': 70, 'id': '166dc110b5c17a26f629b04ad5ef84b5_FuelTankVolume'}]",,,True,[],,,Q5 SPORT,AUDI,,,,Q5 SPORT,,166dc110b5c17a26f629b04ad5ef84b5,,,,AUDI Q5 SPORT
False,CHEVROLET,[],[],,,True,[],,,GROOVE,CHEVROLET,,,,GROOVE,,060d95d42109dfbff62726b8b47a6c5b,,,,CHEVROLET GROOVE
False,FORD,[],[],,,True,[],,,EXPLORER,FORD,,,,EXPLORER,,8432d16ed3e8f19cfb3a650dabbececb,,,,FORD EXPLORER
False,FORD,[],[],,,True,[],,,TERRITORY,FORD,,,,TERRITORY,,46873d3314c7719e466d116c6be75bf4,,,,FORD TERRITORY
False,GEELY,[],[],,,True,[],,,COOLRAY,GEELY,,,,COOLRAY,,dffe41779c62ac9ed46b81df31ae5966,,,,GEELY COOLRAY
False,HONDA,[],[],,,True,[],,,HRV,HONDA,,,,HRV,,ce631fb3a351b3c5d1cd1288e7f40500,,,,HONDA HRV
False,HYUNDAI,[],[],,,True,[],,,ACCENT 1.6L,HYUNDAI,,,,ACCENT 1.6L,,cbf6f28c116ae09b0f6eab866c2a7529,,,,HYUNDAI ACCENT 1.6L
False,HYUNDAI,[],[],,,True,[],,,ACCENT SMART,HYUNDAI,,,,ACCENT SMART,,a91ee052190cb087e24a80bcf5ac9dda,,,,HYUNDAI ACCENT SMART
