manufacturer,image_pin_url_3x,model_specifications,fuel_type,short_name,image_map_url_3x,maintenance_mileage,fuel_distance_enabled,registry_model,image_large_url,registry_manufacturer,intermediate_maintenance_mileage,image_map_url_2x,fuel_cap_side,image_small_url,default_tags,image_pin_url_2x,tyres_info,deprecated,first_maintenance_mileage,name,code
AUDI,,[],,A3,,,True,A3,,AUDI,,,,,[],,[],False,,AUDI A3,d5e2b43e3a97eb6f212e1fe8c1913440
AUDI,,[],,A3 PROGRESS +,,,True,A3 PROGRESS +,,AUDI,,,,,[],,[],False,,AUDI A3 PROGRESS +,ffc48342e10ca89d6354e2a443effb46
AUDI,,[],,A4 Sport,,,True,A4 Sport,,AUDI,,,,,[],,[],False,,AUDI A4 Sport,1a59a12127c00a316c6d59ba9f010ff2
AUDI,,"[{'name': 'FuelTankVolume', 'value_localized': '70 model.specification.FuelTankVolume.unit(0)', 'value': '70', 'name_localized': 'Fuel Tank Volume', 'icon_localized': 'model.specification.FuelTankVolume.default_icon', 'value_parsed': 70, 'id': '166dc110b5c17a26f629b04ad5ef84b5_FuelTankVolume'}]",,Q5 SPORT,,,True,Q5 SPORT,,AUDI,,,,,[],,[],False,,AUDI Q5 SPORT,166dc110b5c17a26f629b04ad5ef84b5
CHEVROLET,,[],,GROOVE,,,True,GROOVE,,CHEVROLET,,,,,[],,[],False,,CHEVROLET GROOVE,060d95d42109dfbff62726b8b47a6c5b
FORD,,[],,EXPLORER,,,True,EXPLORER,,FORD,,,,,[],,[],False,,FORD EXPLORER,8432d16ed3e8f19cfb3a650dabbececb
FORD,,[],,TERRITORY,,,True,TERRITORY,,FORD,,,,,[],,[],False,,FORD TERRITORY,46873d3314c7719e466d116c6be75bf4
GEELY,,[],,COOLRAY,,,True,COOLRAY,,GEELY,,,,,[],,[],False,,GEELY COOLRAY,dffe41779c62ac9ed46b81df31ae5966
HONDA,,[],,HRV,,,True,HRV,,HONDA,,,,,[],,[],False,,HONDA HRV,ce631fb3a351b3c5d1cd1288e7f40500
HYUNDAI,,[],,ACCENT 1.6L,,,True,ACCENT 1.6L,,HYUNDAI,,,,,[],,[],False,,HYUNDAI ACCENT 1.6L,cbf6f28c116ae09b0f6eab866c2a7529
HYUNDAI,,[],,ACCENT SMART,,,True,ACCENT SMART,,HYUNDAI,,,,,[],,[],False,,HYUNDAI ACCENT SMART,a91ee052190cb087e24a80bcf5ac9dda
HYUNDAI,,[],,CRETA,,,True,CRETA,,HYUNDAI,,,,,[],,[],False,,HYUNDAI CRETA,146016c1e4b92b0bdb7e03e1541b05c8
HYUNDAI,,[],,KONA,,,True,KONA,,HYUNDAI,,,,,[],,[],False,,HYUNDAI KONA,107234b99e40c8cc0f607d87ea8eaf32
HYUNDAI,,[],,TUCSON,,,True,TUCSON,,HYUNDAI,,,,,[],,[],False,,HYUNDAI TUCSON,b76c561fa7c9ddf5c138148e025b1fe8
JETOUR,,[],,X70,,,True,X70,,JETOUR,,,,,[],,[],False,,JETOUR X70,667872b2a43234bfabc19da103ce28a2
KIA,,[],,K5 2.5L,,,True,K5 2.5L,,KIA,,,,,[],,[],False,,KIA K5 2.5L,21e7120758e92de87f56ec05188cc647
KIA,,[],,K5 2.5L (old),,,True,K5 2.5L (old),,KIA,,,,,[],,[],False,,KIA K5 2.5L (old),da1113ef347b669582aeaa622f236442
KIA,,[],,K5 2L,,,True,K5 2L,,KIA,,,,,[],,[],False,,KIA K5 2L,279fc8443fb5f40955fb77fed491d567
KIA,,[],,SELTOS,,,True,SELTOS,,KIA,,,,,[],,[],False,,KIA SELTOS,10efcb5b766336c65c978406d299a52d
KIA,,[],,SELTOS (old),,,True,SELTOS (old),,KIA,,,,,[],,[],False,,KIA SELTOS (old),b32cfa5fbacf5325d8f03c98ee412282
KIA,,[],,SPORTAGE 2L,,,True,SPORTAGE 2L,,KIA,,,,,[],,[],False,,KIA SPORTAGE 2L,4de4446e36d41a3fe6f7d329334db809
MAZDA,,[],,3,,,True,3,,MAZDA,,,,,[],,[],False,,MAZDA 3,5ba68ec2e173d189636348953c3af710
MAZDA,,[],,6,,,True,6,,MAZDA,,,,,[],,[],False,,MAZDA 6,017b4340c7f180145b70223a0c784d5e
MAZDA,,[],,6 (old),,,True,6 (old),,MAZDA,,,,,[],,[],False,,MAZDA 6 (old),4414607894b8177b8df8ac53b7952c68
MAZDA,,[],,6 PURE,,,True,6 PURE,,MAZDA,,,,,[],,[],False,,MAZDA 6 PURE,1a73b740ace648057d12067720286a0a
MAZDA,,[],,CX-60 AWD,,,True,CX-60 AWD,,MAZDA,,,,,[],,[],False,,MAZDA CX-60 AWD,e7acbb85472fcb039b1eb584bf602db5
