code,registry_manufacturer,model_specifications,fuel_type,first_maintenance_mileage,intermediate_maintenance_mileage,maintenance_mileage,name,image_map_url_3x,registry_model,image_large_url,deprecated,short_name,image_small_url,fuel_cap_side,image_pin_url_3x,fuel_distance_enabled,image_map_url_2x,tyres_info,default_tags,image_pin_url_2x,manufacturer
d5e2b43e3a97eb6f212e1fe8c1913440,AUDI,[],,,,,AUDI A3,,A3,,False,A3,,,,True,,[],[],,AUDI
ffc48342e10ca89d6354e2a443effb46,AUDI,[],,,,,AUDI A3 PROGRESS +,,A3 PROGRESS +,,False,A3 PROGRESS +,,,,True,,[],[],,AUDI
1a59a12127c00a316c6d59ba9f010ff2,AUDI,[],,,,,AUDI A4 Sport,,A4 Sport,,False,A4 Sport,,,,True,,[],[],,AUDI
166dc110b5c17a26f629b04ad5ef84b5,AUDI,"[{'name': 'FuelTankVolume', 'value_localized': '70 model.specification.FuelTankVolume.unit(0)', 'value': '70', 'name_localized': 'Fuel Tank Volume', 'icon_localized': 'model.specification.FuelTankVolume.default_icon', 'value_parsed': 70, 'id': '166dc110b5c17a26f629b04ad5ef84b5_FuelTankVolume'}]",,,,,AUDI Q5 SPORT,,Q5 SPORT,,False,Q5 SPORT,,,,True,,[],[],,AUDI
060d95d42109dfbff62726b8b47a6c5b,CHEVROLET,[],,,,,CHEVROLET GROOVE,,GROOVE,,False,GROOVE,,,,True,,[],[],,CHEVROLET
8432d16ed3e8f19cfb3a650dabbececb,FORD,[],,,,,FORD EXPLORER,,EXPLORER,,False,EXPLORER,,,,True,,[],[],,FORD
46873d3314c7719e466d116c6be75bf4,FORD,[],,,,,FORD TERRITORY,,TERRITORY,,False,TERRITORY,,,,True,,[],[],,FORD
dffe41779c62ac9ed46b81df31ae5966,GEELY,[],,,,,GEELY COOLRAY,,COOLRAY,,False,COOLRAY,,,,True,,[],[],,GEELY
ce631fb3a351b3c5d1cd1288e7f40500,HONDA,[],,,,,HONDA HRV,,HRV,,False,HRV,,,,True,,[],[],,HONDA
cbf6f28c116ae09b0f6eab866c2a7529,HYUNDAI,[],,,,,HYUNDAI ACCENT 1.6L,,ACCENT 1.6L,,False,ACCENT 1.6L,,,,True,,[],[],,HYUNDAI
a91ee052190cb087e24a80bcf5ac9dda,HYUNDAI,[],,,,,HYUNDAI ACCENT SMART,,ACCENT SMART,,False,ACCENT SMART,,,,True,,[],[],,HYUNDAI
146016c1e4b92b0bdb7e03e1541b05c8,HYUNDAI,[],,,,,HYUNDAI CRETA,,CRETA,,False,CRETA,,,,True,,[],[],,HYUNDAI
107234b99e40c8cc0f607d87ea8eaf32,HYUNDAI,[],,,,,HYUNDAI KONA,,KONA,,False,KONA,,,,True,,[],[],,HYUNDAI
b76c561fa7c9ddf5c138148e025b1fe8,HYUNDAI,[],,,,,HYUNDAI TUCSON,,TUCSON,,False,TUCSON,,,,True,,[],[],,HYUNDAI
667872b2a43234bfabc19da103ce28a2,JETOUR,[],,,,,JETOUR X70,,X70,,False,X70,,,,True,,[],[],,JETOUR
21e7120758e92de87f56ec05188cc647,KIA,[],,,,,KIA K5 2.5L,,K5 2.5L,,False,K5 2.5L,,,,True,,[],[],,KIA
da1113ef347b669582aeaa622f236442,KIA,[],,,,,KIA K5 2.5L (old),,K5 2.5L (old),,False,K5 2.5L (old),,,,True,,[],[],,KIA
279fc8443fb5f40955fb77fed491d567,KIA,[],,,,,KIA K5 2L,,K5 2L,,False,K5 2L,,,,True,,[],[],,KIA
10efcb5b766336c65c978406d299a52d,KIA,[],,,,,KIA SELTOS,,SELTOS,,False,SELTOS,,,,True,,[],[],,KIA
b32cfa5fbacf5325d8f03c98ee412282,KIA,[],,,,,KIA SELTOS (old),,SELTOS (old),,False,SELTOS (old),,,,True,,[],[],,KIA
4de4446e36d41a3fe6f7d329334db809,KIA,[],,,,,KIA SPORTAGE 2L,,SPORTAGE 2L,,False,SPORTAGE 2L,,,,True,,[],[],,KIA
5ba68ec2e173d189636348953c3af710,MAZDA,[],,,,,MAZDA 3,,3,,False,3,,,,True,,[],[],,MAZDA
017b4340c7f180145b70223a0c784d5e,MAZDA,[],,,,,MAZDA 6,,6,,False,6,,,,True,,[],[],,MAZDA
4414607894b8177b8df8ac53b7952c68,MAZDA,[],,,,,MAZDA 6 (old),,6 (old),,False,6 (old),,,,True,,[],[],,MAZDA
1a73b740ace648057d12067720286a0a,MAZDA,[],,,,,MAZDA 6 PURE,,6 PURE,,False,6 PURE,,,,True,,[],[],,MAZDA
e7acbb85472fcb039b1eb584bf602db5,MAZDA,[],,,,,MAZDA CX-60 AWD,,CX-60 AWD,,False,CX-60 AWD,,,,True,,[],[],,MAZDA
2b2279d293245dbb4c1fb1ccbcd8d796,MAZDA,[],,,,,MAZDA CX-60 V-GRADE,,CX-60 V-GRADE,,False,CX-60 V-GRADE,,,,True,,[],[],,MAZDA
6b44f1a36f594327d758859644d7a092,MAZDA,[],,,,,MAZDA CX5,,CX5,,False,CX5,,,,True,,[],[],,MAZDA
f6256376c4137dd2cf213adc155827f9,MAZDA,"[{'name': 'FuelTankVolume', 'value_localized': '58 model.specification.FuelTankVolume.unit(0)', 'value': '58', 'name_localized': 'Fuel Tank Volume', 'icon_localized': 'model.specification.FuelTankVolume.default_icon', 'value_parsed': 58, 'id': 'f6256376c4137dd2cf213adc155827f9_FuelTankVolume'}]",,,,,MAZDA CX5 (old),,CX5 (old),,False,CX5 (old),,,,True,,[],[],,MAZDA
988fdd87bb74149fea6469a48b30d3d9,MAZDA,[],,,,,MAZDA CX9,,CX9,,False,CX9,,,,True,,[],[],,MAZDA
bab16d48e1ff579d2625185fe68af5df,MAZDA,[],,,,,MAZDA CX9 (old),,CX9 (old),,False,CX9 (old),,,,True,,[],[],,MAZDA
3bb9300d801eaf9911843951ce53d3e6,MG,[],,,,,MG RX 5,,RX 5,,False,RX 5,,,,True,,[],[],,MG
7dfcc48e048f9bde7832200941ba305f,MITSUBISHI,[],,,,,MITSUBISHI ATTRAGE GLX,,ATTRAGE GLX,,False,ATTRAGE GLX,,,,True,,[],[],,MITSUBISHI
22dfbd225866bc2d0cd4e92a688d48e3,MITSUBISHI,[],,,,,MITSUBISHI PAJERO,,PAJERO,,False,PAJERO,,,,True,,[],[],,MITSUBISHI
6f4bc7a0d596e482637140aa950ed61a,MITSUBISHI,"[{'name': 'FuelTankVolume', 'value_localized': '45 model.specification.FuelTankVolume.unit(0)', 'value': '45', 'name_localized': 'Fuel Tank Volume', 'icon_localized': 'model.specification.FuelTankVolume.default_icon', 'value_parsed': 45, 'id': '6f4bc7a0d596e482637140aa950ed61a_FuelTankVolume'}]",,,,,MITSUBISHI XPANDER,,XPANDER,,False,XPANDER,,,,True,,[],[],,MITSUBISHI
a08b49228145abb53c9b1021db14a6a4,NISSAN,[],,,,,NISSAN ALTIMA,,ALTIMA,,False,ALTIMA,,,,True,,[],[],,NISSAN
