first_maintenance_mileage,image_pin_url_2x,code,default_tags,model_specifications,maintenance_mileage,intermediate_maintenance_mileage,fuel_cap_side,registry_manufacturer,fuel_distance_enabled,deprecated,image_pin_url_3x,registry_model,short_name,image_map_url_2x,name,fuel_type,image_large_url,image_small_url,manufacturer,image_map_url_3x,tyres_info
,,0fe3abcbfc83720274c71eecca166088,[],[],,,,AUDI,True,False,,A3,A3,,AUDI A3,,,,AUDI,,[]
,,a48fab25539e5bc32fad53d52533ec8a,[],[],,,,AUDI,True,False,,A3,A3,,AUDI A3,,,,AUDI,,[]
,,6b68bf84e8a42cbc9e5959247e636e65,[],[],,,,AUDI,True,False,,A5 CONV,A5 CONV,,AUDI A5 CONV,,,,AUDI,,[]
,,019e12fce8502facf01a1cf62f88a637,[],[],,,,AUDI,True,False,,A6,A6,,AUDI A6,,,,AUDI,,[]
,,a919774c832386a2ce5a85003a4744f1,[],[],,,,AUDI,True,False,,A6,A6,,AUDI A6,,,,AUDI,,[]
,,80b4f68b0913ce374578115b71aff36d,[],[],,,,BMW,True,False,,520i,520i,,BMW 520i,,,,BMW,,[]
,,080d589618a655a2d1509ebc1d0b156f,[],[],,,,BMW,True,False,,735,735,,BMW 735,,,,BMW,,[]
,,6024ab4f130d036331e85cce6c1b93f9,[],[],,,,BMW,True,False,,X6,X6,,BMW X6,,,,BMW,,[]
,,62a9e5370f2708a1516d81b0472a9ac1,[],[],,,,CITROEN,True,False,,SPACETOURER 7 SEATER,SPACETOURER 7 SEATER,,CITROEN SPACETOURER 7 SEATER,,,,CITROEN,,[]
,,329dfb0dd36ab198e6904b0ee69e1538,[],[],,,,DODGE,True,False,,CHALLENGER,CHALLENGER,,DODGE CHALLENGER,,,,DODGE,,[]
,,df12e6540262ba9a0871695b3493b9df,[],[],,,,FORD MUSTANG,True,False,,CONVERTIBLE,CONVERTIBLE,,FORD MUSTANG CONVERTIBLE,,,,FORD MUSTANG,,[]
,,1479668c54195081cedea47d2c513a23,[],[],,,,FORD MUSTANG,True,False,,COUPE,COUPE,,FORD MUSTANG COUPE,,,,FORD MUSTANG,,[]
,,c85914cf835fe69d491b092fc32c1e48,[],[],,,,HYUNDAI,True,False,,ELANTRA,ELANTRA,,HYUNDAI ELANTRA,,,,HYUNDAI,,[]
,,49431b23b75d76e63af083aacc08acf0,[],[],,,,HYUNDAI,True,False,,HI,HI,,HYUNDAI HI,,,,HYUNDAI,,[]
,,a22ad53083afc5ee29570cfa75df316f,[],[],,,,HYUNDAI,True,False,,HI,HI,,HYUNDAI HI,,,,HYUNDAI,,[]
,,6a4f49d7647588d61329a2ed3c0daf01,[],[],,,,HYUNDAI,True,False,,SONATA,SONATA,,HYUNDAI SONATA,,,,HYUNDAI,,[]
,,cdd284c83222407311748fde4527647f,[],[],,,,HYUNDAI,True,False,,SONATA,SONATA,,HYUNDAI SONATA,,,,HYUNDAI,,[]
,,8bf531415229d9112c769bb908a21b8a,[],[],,,,MERCEDES,True,False,,C200,C200,,MERCEDES C200,,,,MERCEDES,,[]
,,04a6d468a809cd795a97b4b557915881,[],[],,,,MERCEDES,True,False,,S500,S500,,MERCEDES S500,,,,MERCEDES,,[]
,,245305193986475591891dbed7cec8ea,[],[],,,,NISSAN,True,False,,ALTIMA,ALTIMA,,NISSAN ALTIMA,,,,NISSAN,,[]
,,f1446211e8d78c2fb30bd3d3c4986660,[],[],,,,NISSAN,True,False,,SENTRA,SENTRA,,NISSAN SENTRA,,,,NISSAN,,[]
,,63d3ce5a638cd7e08b014eed96d946b9,[],[],,,,NISSAN PATROL,True,False,,PLATINUM,PLATINUM,,NISSAN PATROL PLATINUM,,,,NISSAN PATROL,,[]
,,63a57d8047ff08a011f9af32d609684c,[],[],,,,RANGE ROVER,True,False,,VOGUE,VOGUE,,RANGE ROVER VOGUE,,,,RANGE ROVER,,[]
,,c45b0521258bd31cdc6c20aebe4f8019,[],[],,,,RANGE ROVER,True,False,,VOGUE,VOGUE,,RANGE ROVER VOGUE,,,,RANGE ROVER,,[]
,,63d37f1f6d37cee969a2c17bbcad0b50,[],[],,,,TOYOTA,True,False,,COROLLA,COROLLA,,TOYOTA COROLLA,,,,TOYOTA,,[]
,,89d7811d108ae8b85cf620a65d454764,[],[],,,,TOYOTA,True,False,,COROLLA,COROLLA,,TOYOTA COROLLA,,,,TOYOTA,,[]
,,33e41eaddec432d5854aa7a4eed9cc23,[],[],,,,TOYOTA,True,False,,RUSH,RUSH,,TOYOTA RUSH,,,,TOYOTA,,[]
,,1bd462d2e59810b233617a164d3a3dad,[],[],,,,TOYOTA,True,False,,YARIS,YARIS,,TOYOTA YARIS,,,,TOYOTA,,[]
,,dc43666da4a8f447cc1de448d1a4e83c,[],[],,,,TOYOTA,True,False,,YARIS,YARIS,,TOYOTA YARIS,,,,TOYOTA,,[]
