deprecated,manufacturer,tyres_info,model_specifications,image_pin_url_3x,first_maintenance_mileage,fuel_distance_enabled,default_tags,fuel_type,image_small_url,registry_model,registry_manufacturer,intermediate_maintenance_mileage,image_map_url_3x,fuel_cap_side,short_name,maintenance_mileage,code,image_map_url_2x,image_pin_url_2x,image_large_url,name
False,AUDI,[],[],,,True,[],,,A3,AUDI,,,,A3,,0fe3abcbfc83720274c71eecca166088,,,,AUDI A3
False,AUDI,[],[],,,True,[],,,A3,AUDI,,,,A3,,a48fab25539e5bc32fad53d52533ec8a,,,,AUDI A3
False,AUDI,[],[],,,True,[],,,A5 CONV,AUDI,,,,A5 CONV,,6b68bf84e8a42cbc9e5959247e636e65,,,,AUDI A5 CONV
False,AUDI,[],[],,,True,[],,,A6,AUDI,,,,A6,,019e12fce8502facf01a1cf62f88a637,,,,AUDI A6
False,AUDI,[],[],,,True,[],,,A6,AUDI,,,,A6,,a919774c832386a2ce5a85003a4744f1,,,,AUDI A6
False,BMW,[],[],,,True,[],,,520i,BMW,,,,520i,,80b4f68b0913ce374578115b71aff36d,,,,BMW 520i
False,BMW,[],[],,,True,[],,,735,BMW,,,,735,,080d589618a655a2d1509ebc1d0b156f,,,,BMW 735
False,BMW,[],[],,,True,[],,,X6,BMW,,,,X6,,6024ab4f130d036331e85cce6c1b93f9,,,,BMW X6
False,CITROEN,[],[],,,True,[],,,SPACETOURER 7 SEATER,CITROEN,,,,SPACETOURER 7 SEATER,,62a9e5370f2708a1516d81b0472a9ac1,,,,CITROEN SPACETOURER 7 SEATER
False,DODGE,[],[],,,True,[],,,CHALLENGER,DODGE,,,,CHALLENGER,,329dfb0dd36ab198e6904b0ee69e1538,,,,DODGE CHALLENGER
False,FORD MUSTANG,[],[],,,True,[],,,CONVERTIBLE,FORD MUSTANG,,,,CONVERTIBLE,,df12e6540262ba9a0871695b3493b9df,,,,FORD MUSTANG CONVERTIBLE
False,FORD MUSTANG,[],[],,,True,[],,,COUPE,FORD MUSTANG,,,,COUPE,,1479668c54195081cedea47d2c513a23,,,,FORD MUSTANG COUPE
False,HYUNDAI,[],[],,,True,[],,,ELANTRA,HYUNDAI,,,,ELANTRA,,c85914cf835fe69d491b092fc32c1e48,,,,HYUNDAI ELANTRA
False,HYUNDAI,[],[],,,True,[],,,HI,HYUNDAI,,,,HI,,49431b23b75d76e63af083aacc08acf0,,,,HYUNDAI HI
False,HYUNDAI,[],[],,,True,[],,,HI,HYUNDAI,,,,HI,,a22ad53083afc5ee29570cfa75df316f,,,,HYUNDAI HI
False,HYUNDAI,[],[],,,True,[],,,SONATA,HYUNDAI,,,,SONATA,,6a4f49d7647588d61329a2ed3c0daf01,,,,HYUNDAI SONATA
False,HYUNDAI,[],[],,,True,[],,,SONATA,HYUNDAI,,,,SONATA,,cdd284c83222407311748fde4527647f,,,,HYUNDAI SONATA
False,MERCEDES,[],[],,,True,[],,,C200,MERCEDES,,,,C200,,8bf531415229d9112c769bb908a21b8a,,,,MERCEDES C200
False,MERCEDES,[],[],,,True,[],,,S500,MERCEDES,,,,S500,,04a6d468a809cd795a97b4b557915881,,,,MERCEDES S500
False,NISSAN,[],[],,,True,[],,,ALTIMA,NISSAN,,,,ALTIMA,,245305193986475591891dbed7cec8ea,,,,NISSAN ALTIMA
False,NISSAN,[],[],,,True,[],,,SENTRA,NISSAN,,,,SENTRA,,f1446211e8d78c2fb30bd3d3c4986660,,,,NISSAN SENTRA
False,NISSAN PATROL,[],[],,,True,[],,,PLATINUM,NISSAN PATROL,,,,PLATINUM,,63d3ce5a638cd7e08b014eed96d946b9,,,,NISSAN PATROL PLATINUM
False,RANGE ROVER,[],[],,,True,[],,,VOGUE,RANGE ROVER,,,,VOGUE,,63a57d8047ff08a011f9af32d609684c,,,,RANGE ROVER VOGUE
False,RANGE ROVER,[],[],,,True,[],,,VOGUE,RANGE ROVER,,,,VOGUE,,c45b0521258bd31cdc6c20aebe4f8019,,,,RANGE ROVER VOGUE
False,TOYOTA,[],[],,,True,[],,,COROLLA,TOYOTA,,,,COROLLA,,63d37f1f6d37cee969a2c17bbcad0b50,,,,TOYOTA COROLLA
False,TOYOTA,[],[],,,True,[],,,COROLLA,TOYOTA,,,,COROLLA,,89d7811d108ae8b85cf620a65d454764,,,,TOYOTA COROLLA
False,TOYOTA,[],[],,,True,[],,,RUSH,TOYOTA,,,,RUSH,,33e41eaddec432d5854aa7a4eed9cc23,,,,TOYOTA RUSH
False,TOYOTA,[],[],,,True,[],,,YARIS,TOYOTA,,,,YARIS,,1bd462d2e59810b233617a164d3a3dad,,,,TOYOTA YARIS
False,TOYOTA,[],[],,,True,[],,,YARIS,TOYOTA,,,,YARIS,,dc43666da4a8f447cc1de448d1a4e83c,,,,TOYOTA YARIS
