manufacturer,image_pin_url_3x,model_specifications,fuel_type,short_name,image_map_url_3x,maintenance_mileage,fuel_distance_enabled,registry_model,image_large_url,registry_manufacturer,intermediate_maintenance_mileage,image_map_url_2x,fuel_cap_side,image_small_url,default_tags,image_pin_url_2x,tyres_info,deprecated,first_maintenance_mileage,name,code
AUDI,,[],,A3,,,True,A3,,AUDI,,,,,[],,[],False,,AUDI A3,0fe3abcbfc83720274c71eecca166088
AUDI,,[],,A3,,,True,A3,,AUDI,,,,,[],,[],False,,AUDI A3,a48fab25539e5bc32fad53d52533ec8a
AUDI,,[],,A5 CONV,,,True,A5 CONV,,AUDI,,,,,[],,[],False,,AUDI A5 CONV,6b68bf84e8a42cbc9e5959247e636e65
AUDI,,[],,A6,,,True,A6,,AUDI,,,,,[],,[],False,,AUDI A6,019e12fce8502facf01a1cf62f88a637
AUDI,,[],,A6,,,True,A6,,AUDI,,,,,[],,[],False,,AUDI A6,a919774c832386a2ce5a85003a4744f1
BMW,,[],,520i,,,True,520i,,BMW,,,,,[],,[],False,,BMW 520i,80b4f68b0913ce374578115b71aff36d
BMW,,[],,735,,,True,735,,BMW,,,,,[],,[],False,,BMW 735,080d589618a655a2d1509ebc1d0b156f
BMW,,[],,X6,,,True,X6,,BMW,,,,,[],,[],False,,BMW X6,6024ab4f130d036331e85cce6c1b93f9
CITROEN,,[],,SPACETOURER 7 SEATER,,,True,SPACETOURER 7 SEATER,,CITROEN,,,,,[],,[],False,,CITROEN SPACETOURER 7 SEATER,62a9e5370f2708a1516d81b0472a9ac1
DODGE,,[],,CHALLENGER,,,True,CHALLENGER,,DODGE,,,,,[],,[],False,,DODGE CHALLENGER,329dfb0dd36ab198e6904b0ee69e1538
FORD MUSTANG,,[],,CONVERTIBLE,,,True,CONVERTIBLE,,FORD MUSTANG,,,,,[],,[],False,,FORD MUSTANG CONVERTIBLE,df12e6540262ba9a0871695b3493b9df
FORD MUSTANG,,[],,COUPE,,,True,COUPE,,FORD MUSTANG,,,,,[],,[],False,,FORD MUSTANG COUPE,1479668c54195081cedea47d2c513a23
HYUNDAI,,[],,ELANTRA,,,True,ELANTRA,,HYUNDAI,,,,,[],,[],False,,HYUNDAI ELANTRA,c85914cf835fe69d491b092fc32c1e48
HYUNDAI,,[],,HI,,,True,HI,,HYUNDAI,,,,,[],,[],False,,HYUNDAI HI,49431b23b75d76e63af083aacc08acf0
HYUNDAI,,[],,HI,,,True,HI,,HYUNDAI,,,,,[],,[],False,,HYUNDAI HI,a22ad53083afc5ee29570cfa75df316f
HYUNDAI,,[],,SONATA,,,True,SONATA,,HYUNDAI,,,,,[],,[],False,,HYUNDAI SONATA,6a4f49d7647588d61329a2ed3c0daf01
HYUNDAI,,[],,SONATA,,,True,SONATA,,HYUNDAI,,,,,[],,[],False,,HYUNDAI SONATA,cdd284c83222407311748fde4527647f
MERCEDES,,[],,C200,,,True,C200,,MERCEDES,,,,,[],,[],False,,MERCEDES C200,8bf531415229d9112c769bb908a21b8a
MERCEDES,,[],,S500,,,True,S500,,MERCEDES,,,,,[],,[],False,,MERCEDES S500,04a6d468a809cd795a97b4b557915881
NISSAN,,[],,ALTIMA,,,True,ALTIMA,,NISSAN,,,,,[],,[],False,,NISSAN ALTIMA,245305193986475591891dbed7cec8ea
NISSAN,,[],,SENTRA,,,True,SENTRA,,NISSAN,,,,,[],,[],False,,NISSAN SENTRA,f1446211e8d78c2fb30bd3d3c4986660
NISSAN PATROL,,[],,PLATINUM,,,True,PLATINUM,,NISSAN PATROL,,,,,[],,[],False,,NISSAN PATROL PLATINUM,63d3ce5a638cd7e08b014eed96d946b9
RANGE ROVER,,[],,VOGUE,,,True,VOGUE,,RANGE ROVER,,,,,[],,[],False,,RANGE ROVER VOGUE,63a57d8047ff08a011f9af32d609684c
RANGE ROVER,,[],,VOGUE,,,True,VOGUE,,RANGE ROVER,,,,,[],,[],False,,RANGE ROVER VOGUE,c45b0521258bd31cdc6c20aebe4f8019
TOYOTA,,[],,COROLLA,,,True,COROLLA,,TOYOTA,,,,,[],,[],False,,TOYOTA COROLLA,63d37f1f6d37cee969a2c17bbcad0b50
TOYOTA,,[],,COROLLA,,,True,COROLLA,,TOYOTA,,,,,[],,[],False,,TOYOTA COROLLA,89d7811d108ae8b85cf620a65d454764
TOYOTA,,[],,RUSH,,,True,RUSH,,TOYOTA,,,,,[],,[],False,,TOYOTA RUSH,33e41eaddec432d5854aa7a4eed9cc23
TOYOTA,,[],,YARIS,,,True,YARIS,,TOYOTA,,,,,[],,[],False,,TOYOTA YARIS,1bd462d2e59810b233617a164d3a3dad
TOYOTA,,[],,YARIS,,,True,YARIS,,TOYOTA,,,,,[],,[],False,,TOYOTA YARIS,dc43666da4a8f447cc1de448d1a4e83c
