first_maintenance_mileage,image_pin_url_2x,code,default_tags,model_specifications,maintenance_mileage,intermediate_maintenance_mileage,fuel_cap_side,registry_manufacturer,fuel_distance_enabled,deprecated,image_pin_url_3x,registry_model,short_name,image_map_url_2x,name,fuel_type,image_large_url,image_small_url,manufacturer,image_map_url_3x,tyres_info
,,dd887e4eff546a6c6f14824cc89a5ff2,[],[],,,,AUDI,True,False,,A6,A6,,AUDI A6,,,,AUDI,,[]
,,8edafe9a6eefe2407f6be4e83fa55fdb,[],[],,,,BMW,True,False,,420,420,,BMW 420,,,,BMW,,[]
,,38cb09e65189f8fe4183cd107aca47e1,[],[],,,,CHEVROLET,True,False,,CAMARO,CAMARO,,CHEVROLET CAMARO,,,,CHEVROLET,,[]
,,c3a9b01970e98eff1cf572dec520d076,[],[],,,,FORD,True,False,,MUSTANG,MUSTANG,,FORD MUSTANG,,,,FORD,,[]
,,b6ee3deb626a1623e484c9501b72bf25,[],[],,,,HYUNDAI,True,False,,ACCENT,ACCENT,,HYUNDAI ACCENT,,,,HYUNDAI,,[]
,,d5fa430ba6eb9a16cbe1199a5da2b5dd,[],[],,,,HYUNDAI,True,False,,CRETA,CRETA,,HYUNDAI CRETA,,,,HYUNDAI,,[]
,,88816151a3348e7fc98e11aeb43117c5,[],[],,,,HYUNDAI,True,False,,ELANTRA,ELANTRA,,HYUNDAI ELANTRA,,,,HYUNDAI,,[]
,,15c0879ea5c70c220f4d19c2a9980687,[],[],,,,HYUNDAI,True,False,,H1,H1,,HYUNDAI H1,,,,HYUNDAI,,[]
,,b86530b4b11bf70a311c636a3298af39,[],[],,,,HYUNDAI,True,False,,KONA,KONA,,HYUNDAI KONA,,,,HYUNDAI,,[]
,,1b94c5ef12e1c450e8f111555357179d,[],[],,,,HYUNDAI,True,False,,SANTA FE,SANTA FE,,HYUNDAI SANTA FE,,,,HYUNDAI,,[]
,,b215cd4af2dcdfba537f28c99f2c3922,[],[],,,,HYUNDAI,True,False,,SONATA,SONATA,,HYUNDAI SONATA,,,,HYUNDAI,,[]
